Date,Open,High,Low,Close,Volume
2020-01-10,72.09,72.09,70.98,71.28,657620
2020-01-13,71.28,72.625,70.97,72.36,1798938
2020-01-14,72.17,72.885,71.60,72.54,1389762
2020-01-15,72.33,74.48,72.33,74.20,1931436
2020-01-16,74.21,74.69,73.64,74.66,1301520
2020-01-17,74.77,76.06,74.47,75.54,1231333
2020-01-21,75.20,75.38,74.0551,74.91,1368095
2020-01-22,74.97,75.84,74.53,74.65,1278174
2020-01-23,74.47,74.74,73.87,74.35,891948
2020-01-24,74.65,74.65,71.699,72.02,1319015
2020-01-27,70.60,71.555,70.07,70.90,1264292
2020-01-28,71.25,72.31,70.79,72.01,942333
2020-01-29,71.51,71.93,70.23,70.57,2025323
2020-01-30,70.71,70.75,69.18,70.65,1876240
2020-01-31,70.41,70.53,68.01,68.16,1814699
2020-02-03,68.60,69.58,68.29,68.60,1654914
2020-02-04,69.83,71.36,69.07,70.99,2080834
2020-02-05,71.70,71.77,70.38,70.81,1170018
2020-02-06,71.18,72.40,70.70,72.25,1164395
2020-02-07,72.10,72.735,71.62,72.19,953393
2020-02-10,71.98,72.92,71.97,72.89,1323932
2020-02-11,73.01,74.03,72.97,73.11,833563
2020-02-12,73.44,74.235,73.23,74.10,765943
2020-02-13,73.52,74.125,73.12,73.15,853624
2020-02-14,73.37,74.175,72.93,74.02,965944
2020-02-18,73.72,74.91,73.51,74.13,1827700
2020-02-19,74.57,76.60,74.56,76.08,1491590
2020-02-20,76.05,76.05,74.2801,75.66,1306022
2020-02-21,75.49,75.77,73.74,74.19,1465976
2020-02-24,71.35,72.27,68.15,68.26,4126615
2020-02-25,68.42,69.49,62.42,62.79,5181028
2020-02-26,63.37,64.62,59.05,60.76,6644751
2020-02-27,59.00,60.75,56.53,57.75,7752092
2020-02-28,57.50,64.32,55.77,60.77,10008660
2020-03-02,61.10,61.10,55.32,57.96,5761670
2020-03-03,57.96,61.63,55.24,57.61,7189933
2020-03-04,58.10,59.84,55.57,59.77,3712642
2020-03-05,57.53,57.98,54.245,55.45,7273583
2020-03-06,52.96,56.44,50.87,53.00,7839828
2020-03-09,48.29,50.23,46.01,47.26,7105198
2020-03-10,49.19,50.73,44.59,50.36,7168397
2020-03-11,48.02,48.34,40.90,42.01,9188598
2020-03-12,37.14,42.13,31.80,36.20,15789810
2020-03-13,42.08,43.63,37.77,42.85,9856010
2020-03-16,35.00,39.23,34.85,36.31,9548823
2020-03-17,37.00,37.50,32.11,33.92,7113875
2020-03-18,31.75,32.30,21.70,29.50,14709340
2020-03-19,29.03,37.33,27.51,32.92,10497670
2020-03-20,34.50,36.92,32.31,33.97,7341409
2020-03-23,33.57,39.31,33.00,37.33,6333388
2020-03-24,41.24,43.49,40.53,42.94,6404927
2020-03-25,44.02,46.64,40.5801,45.90,7807810
2020-03-26,46.00,46.77,43.62,45.94,7112202
2020-03-27,43.85,48.65,42.74,47.15,12341820
2020-03-30,44.98,46.42,44.11,45.23,9283348
2020-03-31,44.43,47.6178,43.27,45.46,7538536
2020-04-01,42.29,43.57,37.755,38.88,11750060
2020-04-02,37.95,38.77,33.33,33.95,6102664
2020-04-03,33.70,34.104,28.50,33.57,10849130
2020-04-06,36.81,38.155,33.05,34.51,7803766
