Date,Open,High,Low,Close,Volume
2020-01-10,130.57,132.49,130.09,132.35,552879
2020-01-13,132.16,133.61,132.16,133.53,572086
2020-01-14,132.63,132.74,130.815,131.79,475539
2020-01-15,131.12,132.32,131.12,132.06,800913
2020-01-16,132.31,133.86,131.98,133.69,387028
2020-01-17,133.85,134.28,133.34,133.99,537001
2020-01-21,134.32,135.71,134.16,135.55,760507
2020-01-22,136.38,136.62,134.55,134.93,528841
2020-01-23,135.01,136.55,134.50,136.41,400840
2020-01-24,136.63,136.99,135.86,136.96,402189
2020-01-27,136.56,137.46,136.06,136.64,417589
2020-01-28,136.71,138.15,136.34,137.44,487371
2020-01-29,137.58,137.785,136.45,136.58,458149
2020-01-30,136.91,137.67,135.69,137.49,746146
2020-01-31,137.23,138.14,136.39,137.21,749798
2020-02-03,137.71,138.54,136.90,137.15,451692
2020-02-04,137.49,139.79,137.49,139.35,370395
2020-02-05,139.16,140.22,138.68,139.14,578121
2020-02-06,139.53,141.07,138.67,140.35,348049
2020-02-07,140.58,141.47,140.37,141.19,433377
2020-02-10,142.11,142.54,141.235,142.34,754436
2020-02-11,142.38,143.19,141.04,141.94,589903
2020-02-12,141.65,143.14,141.33,142.53,402697
2020-02-13,142.49,144.37,142.49,144.14,541861
2020-02-14,144.64,145.53,143.94,145.51,569981
2020-02-18,146.04,146.49,144.99,146.11,539435
2020-02-19,146.12,146.191,144.96,145.03,484177
2020-02-20,145.18,147.75,144.79,147.70,558550
2020-02-21,147.82,148.88,147.43,147.77,703105
2020-02-24,146.49,148.48,145.73,145.91,728161
2020-02-25,146.22,146.73,142.77,143.07,825004
2020-02-26,143.29,145.16,142.30,142.32,841757
2020-02-27,140.97,142.06,134.12,134.20,1072831
2020-02-28,131.51,132.08,125.70,129.26,1818268
2020-03-02,130.21,135.62,129.86,135.40,993365
2020-03-03,135.67,139.80,134.635,137.27,1181040
2020-03-04,139.67,145.1299,139.49,145.00,1180101
2020-03-05,143.15,145.04,141.53,144.77,917888
2020-03-06,141.49,143.56,137.84,143.30,865273
2020-03-09,136.98,138.90,134.03,134.30,1198655
2020-03-10,137.21,140.13,133.42,140.07,1365701
2020-03-11,137.05,137.63,131.7176,133.88,1012669
2020-03-12,126.48,130.00,117.45,117.61,1357257
2020-03-13,124.03,126.9694,117.04,126.00,1146884
2020-03-16,113.54,116.27,104.89,104.95,1137916
2020-03-17,107.67,115.76,102.85,113.17,1353493
2020-03-18,105.82,110.64,96.69,100.10,1118423
2020-03-19,99.27,102.35,96.17,99.47,854971
2020-03-20,99.82,100.35,85.45,87.50,1731907
2020-03-23,87.25,87.41,82.0001,84.67,1247324
2020-03-24,88.32,93.62,86.36,89.18,1483759
2020-03-25,88.60,105.20,88.60,97.84,1311892
2020-03-26,98.15,103.37,96.195,102.79,1149076
2020-03-27,101.76,111.96,100.485,107.60,1287339
2020-03-30,108.58,109.25,100.82,107.13,1139710
2020-03-31,105.82,107.82,99.37,103.03,2256021
2020-04-01,98.20,99.23,93.24,98.74,1274807
2020-04-02,96.75,99.77,92.115,94.25,1515094
2020-04-03,92.99,96.24,92.44,94.31,1079980
2020-04-06,99.40,106.08,99.15,105.28,1144069
2020-04-07,110.10,112.16,103.385,103.79,781560
2020-04-08,104.64,111.78,102.96,110.93,1048316
2020-04-09,112.35,119.49,112.35,116.65,1328665
2020-04-13,115.47,117.00,110.04,111.37,818755
2020-04-14,112.66,115.85,111.10,114.02,1283953
2020-04-15,109.40,111.19,108.00,109.98,871536
2020-04-16,110.41,110.745,107.55,108.31,594081
2020-04-17,111.06,114.43,110.34,113.50,642531
2020-04-20,111.68,112.75,108.46,108.49,593717
2020-04-21,105.87,108.91,105.14,107.54,888752
2020-04-22,109.16,110.74,107.40,108.31,665901
2020-04-23,107.87,108.50,104.22,104.98,696178
2020-04-24,105.67,107.10,104.01,106.43,578541
2020-04-27,107.00,111.01,106.555,110.68,479746
2020-04-28,113.30,115.94,111.98,112.15,821155
2020-04-29,114.87,115.68,111.86,112.68,762892
2020-04-30,110.66,112.39,109.81,111.92,620222
2020-05-01,109.41,110.59,108.92,109.63,847445
2020-05-04,108.21,110.88,106.97,110.30,977059
2020-05-05,111.64,113.78,110.80,112.41,833994
2020-05-06,113.00,114.22,109.92,110.01,768273
2020-05-07,110.77,116.06,109.27,113.75,925043
2020-05-08,115.89,117.14,113.67,115.57,598166
2020-05-11,114.08,114.85,112.495,113.01,929820
2020-05-12,113.47,113.47,108.65,108.74,1126182
2020-05-13,107.94,109.95,107.1331,108.09,829184
2020-05-14,106.06,106.72,102.89,105.52,1054664
2020-05-15,104.67,107.06,102.23,106.87,1782826
2020-05-18,111.69,115.57,111.69,114.36,913978
2020-05-19,113.65,114.86,110.82,111.12,631861
2020-05-20,112.05,112.635,109.96,111.49,734200
2020-05-21,111.47,114.46,111.47,113.82,735659
2020-05-22,114.08,114.71,112.63,114.28,430690
2020-05-26,118.08,119.195,116.00,116.80,586521
2020-05-27,119.62,119.85,114.0371,116.88,843357
2020-05-28,118.19,118.19,114.70,117.66,602766
2020-05-29,116.37,118.51,114.98,116.36,863736
2020-06-01,116.47,118.82,115.50,117.57,472046
2020-06-02,118.15,119.45,117.00,117.76,643690
2020-06-03,118.93,122.99,118.93,122.39,700218
2020-06-04,121.73,121.7799,118.56,118.77,755797
2020-06-05,122.26,126.13,122.26,124.44,860901
2020-06-08,125.97,127.74,124.17,126.53,801036
2020-06-09,123.85,124.77,122.125,124.66,684516
2020-06-10,123.29,124.04,121.35,121.84,593422
2020-06-11,117.22,118.716,115.22,115.46,849961
2020-06-12,119.66,120.43,114.82,119.08,1113802
2020-06-15,115.04,119.40,114.53,118.01,1204056
2020-06-16,122.77,122.77,119.18,121.09,833817
2020-06-17,122.04,122.6962,117.84,118.64,631869
2020-06-18,117.07,117.67,115.50,117.09,862119
2020-06-19,118.73,119.47,114.64,114.68,2247866
2020-06-22,114.64,116.19,113.01,114.19,662940
2020-06-23,115.21,116.26,113.30,113.54,644416
2020-06-24,111.92,112.53,108.06,110.52,805384
2020-06-25,109.78,111.46,109.10,111.35,671490
2020-06-26,110.76,111.90,109.43,110.27,735058
2020-06-29,111.31,111.745,108.78,111.52,441568
2020-06-30,111.76,115.09,111.67,114.67,1039866
2020-07-01,115.03,117.96,114.22,117.67,504088
2020-07-02,119.52,119.56,116.32,117.53,601481
2020-07-06,120.02,120.08,115.96,116.03,396411
2020-07-07,114.44,115.8996,113.88,114.57,544374
2020-07-08,114.57,115.18,113.38,113.82,662088
2020-07-09,113.28,113.28,111.25,112.56,466569
2020-07-10,112.49,114.325,112.025,113.60,530942
