Date,Open,High,Low,Close,Volume
2020-01-10,146.20,146.57,145.05,145.39,848173
2020-01-13,145.76,146.98,145.54,146.80,987538
2020-01-14,146.41,147.63,146.11,147.15,944731
2020-01-15,146.77,148.15,146.65,147.30,800192
2020-01-16,147.98,149.04,147.50,149.02,804480
2020-01-17,149.19,150.63,148.07,150.26,1058863
2020-01-21,148.08,148.44,143.42,144.37,2757179
2020-01-22,145.00,147.1916,143.75,144.12,1297129
2020-01-23,142.43,145.06,141.25,144.96,1863062
2020-01-24,144.97,145.02,139.84,141.02,2073428
2020-01-27,137.73,139.63,133.36,138.00,2641198
2020-01-28,138.71,141.79,138.325,141.25,1958468
2020-01-29,141.50,143.235,140.38,142.61,1290673
2020-01-30,140.535,143.54,138.83,143.31,1848612
2020-01-31,142.15,142.25,138.95,140.06,2070215
2020-02-03,141.70,144.46,140.87,141.48,1527564
2020-02-04,144.47,148.24,143.6775,147.40,1812857
2020-02-05,149.72,150.17,147.31,147.71,1872525
2020-02-06,148.29,148.87,145.78,146.22,1065851
2020-02-07,144.91,145.40,142.78,144.07,1717590
2020-02-10,143.01,145.845,142.45,145.73,1169798
2020-02-11,145.87,148.95,145.22,147.19,1461280
2020-02-12,148.04,150.97,148.04,150.78,1583792
2020-02-13,149.45,149.53,146.66,146.72,1933876
2020-02-14,146.98,147.36,143.90,144.90,2441278
2020-02-18,144.23,145.86,144.23,144.94,2353889
2020-02-19,144.56,147.91,144.56,147.63,2018045
2020-02-20,147.53,148.9097,146.27,146.84,1279602
2020-02-21,145.38,145.52,142.54,143.24,1858050
2020-02-24,136.82,137.38,134.22,134.83,3197451
2020-02-25,135.99,136.05,123.48,124.08,5128449
2020-02-26,126.29,127.67,119.85,120.19,4964341
2020-02-27,117.00,127.28,114.46,119.64,6958568
2020-02-28,116.25,124.33,116.00,124.00,6660793
2020-03-02,123.07,123.68,116.6422,122.96,6375455
2020-03-03,122.76,123.74,113.88,114.28,6796506
2020-03-04,115.49,118.54,111.28,118.33,7343706
2020-03-05,113.79,115.00,108.80,110.22,6977165
2020-03-06,104.64,113.62,103.89,110.66,6790291
2020-03-09,102.00,108.92,101.76,104.19,6687359
2020-03-10,108.83,110.03,102.80,109.98,5395484
2020-03-11,106.20,106.50,99.56,100.11,8901640
2020-03-12,90.00,97.81,88.76,93.71,9065674
2020-03-13,98.23,100.78,91.60,95.61,8552816
2020-03-16,84.68,91.0734,78.12,86.42,9327208
2020-03-17,87.52,89.61,67.74,75.24,12101620
2020-03-18,67.15,67.16,46.5622,63.81,25881830
2020-03-19,61.18,72.70,52.65,66.80,17497680
2020-03-20,73.71,84.00,69.52,74.58,18154670
2020-03-23,75.02,80.70,67.28,70.13,12931810
2020-03-24,76.05,81.3606,75.00,79.14,9113056
2020-03-25,83.505,92.68,79.23,85.25,8717945
2020-03-26,87.60,96.003,80.59,82.81,10449610
2020-03-27,78.70,82.79,76.25,78.85,5749800
2020-03-30,76.71,78.43,72.84,76.16,6097793
2020-03-31,74.98,79.24,74.52,74.81,5176088
2020-04-01,70.00,71.41,67.65,69.15,7651268
