Date,Open,High,Low,Close,Volume
2020-01-10,59.66,61.07,59.43,60.22,4941493
2020-01-13,60.26,60.49,59.31,59.62,4044960
2020-01-14,59.47,60.115,59.13,59.84,5413569
2020-01-15,59.53,59.69,57.725,58.13,7231292
2020-01-16,58.45,58.56,57.30,57.53,7222343
2020-01-17,57.54,57.61,56.555,56.89,6122646
2020-01-21,56.40,56.60,55.70,56.18,6499846
2020-01-22,56.49,56.49,55.87,55.97,4152002
2020-01-23,55.48,55.84,53.95,55.33,5106995
2020-01-24,55.14,55.28,53.96,54.49,4607590
2020-01-27,53.17,53.35,52.25,52.70,7797172
2020-01-28,53.02,53.67,52.29,52.93,5148687
2020-01-29,54.60,55.94,52.36,53.59,9915477
2020-01-30,52.78,54.62,52.76,54.35,5282610
2020-01-31,53.99,55.73,53.65,54.50,9482645
2020-02-03,54.54,54.695,52.04,52.06,7341415
2020-02-04,53.37,53.84,52.2415,53.39,7008960
2020-02-05,54.01,55.74,54.01,55.54,6227668
2020-02-06,55.82,56.09,55.28,55.46,3572139
2020-02-07,55.00,55.41,54.50,54.69,5589065
2020-02-10,54.39,55.09,53.89,55.07,4114111
2020-02-11,55.55,57.16,55.08,56.76,6780852
2020-02-12,58.29,59.015,57.6499,58.93,8065043
2020-02-13,58.69,60.07,58.31,59.50,6661113
2020-02-14,59.49,59.90,58.05,58.33,6811949
2020-02-18,57.18,57.30,56.30,56.47,5258787
2020-02-19,56.65,57.93,56.29,57.69,7065112
2020-02-20,58.70,60.35,58.25,60.26,13576290
2020-02-21,59.95,60.22,58.93,59.13,6490798
2020-02-24,57.00,57.01,55.28,55.87,10276810
2020-02-25,56.07,56.15,52.775,53.12,8826260
2020-02-26,53.11,54.46,52.09,52.27,6041580
2020-02-27,50.68,50.76,47.835,47.93,13247460
2020-02-28,45.93,47.53,45.02,47.42,14193680
2020-03-02,47.89,48.21,45.691,47.73,11884660
2020-03-03,47.53,48.25,44.81,45.17,8506446
2020-03-04,46.10,46.25,44.81,45.88,6923959
2020-03-05,42.70,42.79,39.63,41.21,15767450
2020-03-06,40.14,40.85,38.05,39.15,13936970
2020-03-09,31.89,37.25,30.78,33.82,14834820
2020-03-10,36.08,36.71,33.04,34.52,12203680
2020-03-11,33.11,34.14,29.43,31.36,13536660
2020-03-12,28.17,28.17,22.50,22.89,23939000
2020-03-13,25.84,26.29,22.71,24.92,17766890
2020-03-16,20.52,23.75,19.99,20.29,14482360
2020-03-17,20.83,21.75,18.46,20.30,13424790
2020-03-18,18.60,19.10,15.58,16.75,17496950
2020-03-19,17.01,17.77,15.26,16.72,17581680
2020-03-20,17.61,19.86,16.43,18.95,19580410
2020-03-23,18.71,18.82,16.50,16.62,12971090
2020-03-24,17.99,18.77,16.825,17.50,14391440
2020-03-25,18.25,22.33,16.5701,21.11,18300250
2020-03-26,22.25,24.86,22.08,23.14,18509020
2020-03-27,22.05,23.93,20.60,23.15,11426340
2020-03-30,22.83,24.70,21.50,24.33,10262980
2020-03-31,25.53,25.64,22.69,23.62,11633030
2020-04-01,21.93,22.69,20.65,20.87,9305056
2020-04-02,22.19,24.80,20.94,21.22,11990430
2020-04-03,22.40,22.51,18.27,20.06,14114520
2020-04-06,21.16,23.53,21.065,23.09,10180000
