Date,Open,High,Low,Close,Volume
2020-01-10,21.00,21.00,19.05,19.14,4504819
2020-01-13,19.26,20.36,18.60,20.26,2207943
2020-01-14,20.45,20.4979,19.55,20.00,1782859
2020-01-15,19.94,20.58,19.94,20.24,2054963
2020-01-16,21.68,21.87,20.77,21.01,4928102
2020-01-17,21.50,21.50,20.55,20.62,3348525
2020-01-21,20.79,21.49,20.645,20.94,2089578
2020-01-22,22.08,23.20,21.70,21.97,10920660
2020-01-23,22.17,22.65,21.40,21.47,3663943
2020-01-24,21.60,21.8793,20.90,21.12,2947764
2020-01-27,22.10,23.12,21.12,22.74,10294740
2020-01-28,23.50,23.50,21.8501,22.36,5649269
2020-01-29,22.23,22.34,20.45,20.55,4675832
2020-01-30,21.05,21.74,20.80,20.99,3061810
2020-01-31,21.14,21.32,20.05,20.51,2833631
2020-02-03,20.66,21.06,19.70,20.38,3214618
2020-02-04,20.09,20.88,19.75,20.87,1824436
2020-02-05,20.99,21.20,19.67,20.05,2656824
2020-02-06,20.27,20.32,19.70,19.88,1929739
2020-02-07,19.79,23.39,19.79,23.24,10144170
2020-02-10,23.50,23.95,22.3832,23.65,9356771
2020-02-11,22.09,22.74,21.28,21.35,6188339
2020-02-12,19.64,19.67,18.50,19.01,19231790
2020-02-13,19.36,19.80,18.89,19.045,6837002
2020-02-14,19.27,19.29,18.85,19.00,5384464
2020-02-18,19.14,19.35,18.57,18.91,4129369
2020-02-19,19.09,19.24,18.725,18.92,3148012
2020-02-20,18.86,19.17,18.42,18.54,4562216
2020-02-21,18.47,18.55,17.91,18.23,3696712
2020-02-24,19.23,19.28,18.30,18.59,7605391
2020-02-25,22.15,26.55,20.51,23.76,65001880
2020-02-26,29.05,29.98,27.08,29.16,78016790
2020-02-27,35.88,36.00,23.05,26.16,68256340
2020-02-28,23.38,25.95,22.015,25.93,24425130
2020-03-02,27.00,30.75,25.21,29.88,33084030
2020-03-03,27.804,28.60,26.60,27.91,17599110
2020-03-04,27.99,28.72,26.80,27.49,11817670
2020-03-05,27.49,28.95,26.535,28.01,14669980
2020-03-06,27.98,29.80,27.67,29.61,21097490
2020-03-09,30.00,30.00,24.16,24.29,14124080
2020-03-10,25.71,25.94,21.28,22.34,13019520
2020-03-11,22.54,25.7491,22.5235,23.61,14825430
2020-03-12,22.90,24.28,21.90,22.30,11305350
2020-03-13,23.00,23.47,19.31,21.30,11853050
2020-03-16,23.76,27.80,22.22,26.49,39850790
2020-03-17,29.36,32.70,27.3148,28.18,44484140
2020-03-18,27.13,32.54,26.55,31.58,28702290
2020-03-19,32.78,34.98,25.19,28.27,36952750
2020-03-20,29.25,30.23,26.20,28.20,16522450
2020-03-23,28.71,29.81,26.25,26.57,11080850
