Date,Open,High,Low,Close,Volume
2020-01-10,57.47,57.50,56.2734,56.67,19148560
2020-01-13,57.01,57.78,56.86,57.45,16192030
2020-01-14,57.80,58.295,56.46,57.52,26550790
2020-01-15,57.03,57.12,55.84,56.17,21638610
2020-01-16,56.80,57.84,56.76,57.68,22732680
2020-01-17,58.02,58.12,57.01,57.66,20549200
2020-01-21,57.37,59.18,57.27,58.97,24821720
2020-01-22,59.515,60.25,58.85,59.17,22604370
2020-01-23,60.33,60.56,59.03,59.20,26146120
2020-01-24,60.00,60.02,57.24,57.76,28555350
2020-01-27,55.15,55.99,54.62,55.41,27310070
2020-01-28,56.25,56.78,55.24,56.47,18544880
2020-01-29,55.99,57.19,55.292,55.30,19306750
2020-01-30,54.18,55.07,53.22,55.03,30783780
2020-01-31,55.15,55.20,52.70,53.09,28550850
2020-02-03,53.254,54.11,53.00,53.78,20481020
2020-02-04,55.29,56.02,54.94,55.50,19998620
2020-02-05,57.02,57.26,55.82,56.77,19795260
2020-02-06,58.08,59.17,57.41,58.68,23358720
2020-02-07,57.97,58.00,56.77,56.88,20891080
2020-02-10,56.30,57.34,56.20,57.33,15929040
2020-02-11,57.88,58.84,56.33,57.25,26776850
2020-02-12,59.04,61.19,58.90,59.27,47180810
2020-02-13,59.005,60.625,58.86,59.33,23679690
2020-02-14,60.16,60.56,58.26,58.50,20920170
2020-02-18,57.07,58.0367,56.62,57.75,21547970
2020-02-19,58.58,60.25,58.56,59.99,23335540
2020-02-20,59.88,59.99,57.69,59.00,20797110
2020-02-21,58.63,58.73,55.89,56.99,27051210
2020-02-24,53.31,55.46,52.61,55.01,33321080
2020-02-25,54.84,55.45,51.55,52.10,41894210
2020-02-26,52.65,54.27,51.88,52.37,28100930
2020-02-27,50.63,52.85,49.99,50.58,36349250
2020-02-28,48.65,52.916,48.39,52.56,40288570
2020-03-02,53.20,54.69,52.10,54.59,33272720
2020-03-03,54.60,55.40,51.10,51.80,36893230
2020-03-04,53.02,55.3761,52.21,55.29,28222020
2020-03-05,53.45,55.61,53.34,53.72,26223050
2020-03-06,52.20,53.19,50.00,51.47,30313740
2020-03-09,45.48,48.60,44.9201,45.97,31260750
2020-03-10,48.15,48.26,45.29,47.86,31652860
2020-03-11,46.20,46.32,42.845,43.72,38525900
2020-03-12,39.40,42.5397,38.00,38.81,40117180
2020-03-13,41.57,43.02,38.35,42.99,35264760
2020-03-16,37.35,39.14,34.45,34.47,36879090
2020-03-17,35.49,39.13,34.02,37.38,34869000
2020-03-18,34.26,36.555,31.13,34.69,36519000
2020-03-19,34.66,37.30,33.65,36.29,31015190
2020-03-20,37.77,38.59,35.84,36.11,37667450
2020-03-23,36.99,39.47,35.69,38.25,45286040
2020-03-24,41.82,44.42,41.14,43.27,45588000
2020-03-25,43.91,44.88,40.03,42.50,54091020
2020-03-26,44.90,45.75,43.33,44.79,62564930
2020-03-27,43.25,45.28,42.31,43.48,39791530
2020-03-30,44.17,45.57,43.1475,44.52,33763950
2020-03-31,44.40,45.17,41.91,42.06,36723660
2020-04-01,40.55,42.30,39.33,39.89,37452840
2020-04-02,39.79,41.59,39.52,41.09,31457660
2020-04-03,40.97,41.86,40.55,41.22,28522390
2020-04-06,43.35,46.69,43.34,46.37,37899130
2020-04-07,48.09,48.37,46.04,46.54,34646390
2020-04-08,47.08,48.69,46.80,48.29,27694410
2020-04-09,49.30,49.81,45.35,46.13,39840440
2020-04-13,44.90,46.39,44.39,46.17,30449950
2020-04-14,47.00,48.38,46.6242,47.62,25737980
2020-04-15,46.40,46.66,45.635,46.43,22389410
2020-04-16,47.02,47.20,44.66,45.53,26588970
2020-04-17,46.78,46.89,44.85,45.70,23388330
2020-04-20,44.52,45.08,43.30,43.40,30463350
2020-04-21,43.00,43.07,41.185,41.41,32482200
2020-04-22,43.11,44.20,42.745,43.91,21398340
2020-04-23,43.82,44.715,43.42,43.77,22273100
2020-04-24,43.80,44.32,42.98,44.16,16592830
2020-04-27,44.997,45.39,44.58,45.28,16667220
2020-04-28,46.21,47.69,45.28,45.31,25234950
2020-04-29,46.58,50.14,46.33,49.83,35742960
2020-04-30,49.48,49.58,47.37,47.89,28585360
2020-05-01,46.36,46.92,44.52,45.06,28193970
2020-05-04,44.19,44.69,43.61,44.46,21377060
2020-05-05,45.45,46.95,45.11,45.41,21007550
2020-05-06,46.07,47.12,45.92,46.08,22011850
2020-05-07,47.117,47.50,46.34,46.59,16372090
2020-05-08,47.29,48.46,47.29,48.25,17444960
2020-05-11,47.74,48.73,47.44,48.20,17353520
2020-05-12,48.52,48.5642,45.64,45.69,26738910
2020-05-13,45.87,45.88,42.95,43.53,35117460
2020-05-14,43.06,45.78,42.51,45.73,27543460
2020-05-15,43.28,44.78,43.24,44.41,28803930
2020-05-18,45.83,46.15,44.95,45.92,20325860
2020-05-19,45.78,46.23,45.02,45.12,17389550
2020-05-20,46.51,47.04,46.0933,46.64,17876490
2020-05-21,46.50,46.5738,44.76,45.22,17445290
2020-05-22,45.148,45.31,44.24,44.94,13385400
2020-05-26,46.22,46.685,45.45,45.80,24303860
2020-05-27,45.95,49.58,43.90,49.45,56071470
2020-05-28,48.70,48.79,46.07,46.47,38331500
2020-05-29,46.62,48.02,46.212,47.91,26354600
2020-06-01,47.49,47.67,46.32,46.34,21901340
2020-06-02,46.49,46.85,45.57,46.82,23035580
2020-06-03,48.04,49.42,47.45,48.92,34662060
2020-06-04,48.86,51.98,48.6034,51.22,34830810
2020-06-05,52.66,54.82,52.59,53.72,34110670
2020-06-08,54.495,54.64,52.231,53.70,22850620
2020-06-09,52.65,53.50,52.45,53.15,17840780
2020-06-10,52.92,53.30,51.57,52.47,18766680
2020-06-11,50.42,51.085,48.195,48.52,29897580
2020-06-12,50.285,50.48,47.36,48.69,24293580
2020-06-15,47.36,49.73,47.10,49.24,18092300
2020-06-16,51.16,52.15,49.86,51.02,20987220
2020-06-17,51.30,51.51,50.535,50.96,13905120
2020-06-18,50.50,51.04,50.02,50.48,13220200
2020-06-19,51.16,52.75,50.75,50.83,28081460
2020-06-22,51.10,51.40,50.24,51.15,15952190
2020-06-23,50.69,50.89,49.5683,49.84,23194170
2020-06-24,49.65,50.10,48.02,48.29,19346520
2020-06-25,48.24,49.31,47.275,49.19,14971940
2020-06-26,49.15,49.35,48.14,48.49,16929670
2020-06-29,48.69,49.15,47.58,49.145,24666250
2020-06-30,51.78,52.47,50.97,51.52,47852080
2020-07-01,51.52,51.555,49.61,49.70,25218350
2020-07-02,50.50,50.75,49.48,49.83,18562400
2020-07-06,50.75,51.43,50.48,50.92,16320960
2020-07-07,50.52,50.59,49.01,49.09,19797880
2020-07-08,49.56,49.75,48.96,49.71,15311880
2020-07-09,49.85,50.39,48.73,49.98,18510810
2020-07-10,50.01,50.71,49.40,50.70,18128740
2020-07-13,51.31,52.283,49.38,49.46,23296370
2020-07-14,49.08,49.79,47.95,49.71,17455170
2020-07-15,50.21,50.65,49.405,50.51,15911410
2020-07-16,49.82,50.285,49.23,50.10,14014040
2020-07-17,50.307,50.43,49.28,49.47,15003820
2020-07-20,49.66,51.32,49.535,51.21,17604200
2020-07-21,51.62,52.66,51.23,51.52,16665370
2020-07-22,51.58,51.77,51.02,51.65,11412630
2020-07-23,51.74,54.20,51.57,52.64,33399940
