Date,Open,High,Low,Close,Volume
2020-01-10,44.70,44.83,43.81,44.06,1392677
2020-01-13,44.46,44.46,43.87,44.30,1932827
2020-01-14,44.30,44.67,43.235,43.53,1610223
2020-01-15,43.80,43.98,43.19,43.23,1549254
2020-01-16,44.78,44.82,43.64,44.13,2612973
2020-01-17,44.63,45.46,44.34,45.40,3327556
2020-01-21,45.01,45.16,44.58,45.05,2243877
2020-01-22,44.26,45.765,44.2355,45.355,2425631
2020-01-23,45.04,45.60,44.425,44.90,1683845
2020-01-24,45.20,45.63,44.955,45.38,2106633
2020-01-27,43.74,44.96,43.63,44.565,2299713
2020-01-28,44.67,45.62,44.165,45.57,2199669
2020-01-29,45.76,46.575,45.495,46.11,3546615
2020-01-30,45.41,45.95,45.30,45.90,1675906
2020-01-31,45.50,45.55,44.59,44.81,2696455
2020-02-03,45.27,46.02,45.09,46.00,1614883
2020-02-04,47.26,48.19,46.82,48.01,3701442
2020-02-05,48.76,48.82,47.60,48.25,2563959
2020-02-06,47.92,48.32,47.65,48.20,1885501
2020-02-07,48.21,48.68,48.005,48.49,1719192
2020-02-10,48.21,48.23,47.84,48.05,2440839
2020-02-11,48.60,48.73,47.96,48.27,2229374
2020-02-12,48.50,48.9132,48.00,48.55,3567474
2020-02-13,48.40,48.95,48.21,48.62,1718643
2020-02-14,47.05,47.80,46.48,46.57,4138203
2020-02-18,45.95,46.34,45.32,45.41,5809413
2020-02-19,46.11,46.40,45.88,46.15,2114584
2020-02-20,46.68,46.90,45.97,46.67,3937505
2020-02-21,46.17,46.29,44.00,44.54,4228928
2020-02-24,42.85,43.45,41.86,42.02,3779180
2020-02-25,42.70,42.73,39.83,40.06,16156530
2020-02-26,40.44,41.79,40.25,41.50,7419697
2020-02-27,40.07,41.325,40.05,40.13,3939516
2020-02-28,38.75,40.71,38.70,40.61,4994838
2020-03-02,40.85,41.2769,40.05,40.91,3635106
2020-03-03,41.50,41.80,39.22,39.85,3850707
2020-03-04,40.71,41.50,40.03,41.43,2556284
2020-03-05,40.13,40.92,40.02,40.48,2742741
2020-03-06,38.66,39.68,38.58,39.51,3169216
2020-03-09,35.65,35.65,33.25,34.24,8473104
2020-03-10,37.68,38.04,35.685,36.92,4958819
2020-03-11,35.61,36.50,35.155,35.87,5615681
2020-03-12,32.33,34.00,32.03,32.12,4443890
2020-03-13,34.91,35.29,33.05,33.94,5294953
2020-03-16,30.67,32.52,29.94,30.80,3788916
2020-03-17,31.16,33.33,30.06,31.66,3603759
2020-03-18,28.32,30.30,27.93,28.91,4047345
2020-03-19,29.00,31.34,28.16,30.62,3208626
2020-03-20,31.39,31.58,29.66,29.91,4092453
2020-03-23,30.63,30.69,28.37,29.14,3477322
2020-03-24,30.95,32.15,30.64,31.89,2996418
2020-03-25,31.87,34.45,31.64,33.42,2572213
2020-03-26,33.07,34.88,32.95,34.82,2670717
2020-03-27,32.89,33.78,32.39,32.98,2413146
2020-03-30,33.31,33.93,32.78,33.88,2973216
2020-03-31,34.00,35.22,33.76,34.05,3245678
2020-04-01,33.00,33.48,32.055,32.43,3850334
2020-04-02,32.50,33.20,31.85,32.61,3758091
2020-04-03,33.36,33.53,32.075,32.38,2210844
2020-04-06,33.62,34.255,33.47,33.87,3555565
2020-04-07,35.11,35.775,34.46,34.50,3317870
2020-04-08,35.21,36.20,34.93,35.93,3118740
2020-04-09,36.70,36.8609,35.67,36.14,2641651
2020-04-13,35.99,36.79,35.81,36.70,2805066
2020-04-14,37.18,38.24,36.82,36.85,2674466
2020-04-15,35.34,35.39,34.3994,34.89,3659313
2020-04-16,35.66,35.71,34.64,34.97,3458581
2020-04-17,35.74,36.74,35.26,36.62,3403212
2020-04-20,35.71,37.09,35.26,35.405,3854840
2020-04-21,34.10,34.84,33.79,34.02,4170287
2020-04-22,35.12,35.1398,34.51,34.95,1896122
2020-04-23,35.43,35.735,34.96,35.25,1095629
2020-04-24,35.51,36.04,35.005,36.00,1683220
2020-04-27,35.67,36.99,35.67,36.96,2606240
2020-04-28,38.23,38.50,36.59,37.59,3504853
2020-04-29,38.29,39.80,38.19,39.61,3465317
2020-04-30,38.71,39.22,37.36,37.78,3199107
2020-05-01,37.21,37.68,36.635,37.405,1483982
2020-05-04,37.45,38.04,37.12,38.00,1671654
2020-05-05,38.45,38.89,38.23,38.38,1765701
2020-05-06,38.27,38.83,37.94,38.51,1229800
2020-05-07,39.07,40.615,38.81,40.30,3219406
2020-05-08,40.50,40.81,40.30,40.74,1520775
2020-05-11,40.50,40.50,39.77,40.18,1467633
2020-05-12,40.51,40.90,39.73,40.00,1698690
2020-05-13,40.03,40.19,38.21,38.71,2428275
2020-05-14,38.17,38.87,37.47,38.83,1542171
2020-05-15,38.44,39.48,37.93,38.99,1518471
2020-05-18,40.11,41.00,39.99,40.92,2187350
2020-05-19,40.70,41.26,40.46,40.69,1247279
2020-05-20,41.64,41.77,41.05,41.31,2595838
2020-05-21,41.73,41.73,40.575,40.63,1864809
2020-05-22,40.77,40.78,40.16,40.26,1355072
2020-05-26,41.77,41.77,40.38,40.43,2674779
2020-05-27,40.81,40.83,39.46,40.67,2575275
2020-05-28,40.86,41.42,40.40,40.64,2339546
2020-05-29,40.44,40.47,39.76,40.23,3214692
2020-06-01,40.63,41.10,40.39,41.00,2113541
2020-06-02,41.42,41.55,40.745,41.04,2555438
2020-06-03,41.38,42.00,41.20,41.47,1700050
2020-06-04,41.01,41.555,40.98,41.32,2091344
2020-06-05,41.95,42.59,41.89,42.32,1333015
2020-06-08,42.39,42.59,41.89,42.45,1499127
2020-06-09,41.84,42.38,41.77,41.99,1189694
2020-06-10,42.38,42.46,41.60,42.17,1011503
2020-06-11,40.75,41.51,40.23,40.29,1820284
2020-06-12,41.46,42.24,41.01,42.18,2688287
2020-06-15,41.20,43.26,41.19,42.88,2929184
