Date,Open,High,Low,Close,Volume
2020-01-10,58.23,58.39,57.574,57.96,1051871
2020-01-13,57.98,58.005,57.30,57.84,1357167
2020-01-14,57.77,58.085,57.68,57.90,1147409
2020-01-15,57.87,58.25,57.15,57.54,1212363
2020-01-16,57.75,58.61,57.69,58.58,1305471
2020-01-17,58.85,59.78,58.54,59.65,1701083
2020-01-21,59.00,59.03,57.573,57.95,2252759
2020-01-22,58.13,58.68,57.48,57.63,3227321
2020-01-23,56.80,58.28,55.92,58.22,1323786
2020-01-24,58.12,58.12,55.225,55.84,2244658
2020-01-27,53.12,54.59,53.10,54.16,2779155
2020-01-28,54.82,55.64,54.42,55.00,1484689
2020-01-29,55.16,56.2199,55.13,56.02,1430706
2020-01-30,53.13,55.29,52.77,54.80,3359660
2020-01-31,54.75,54.91,53.41,53.85,2146671
2020-02-03,54.19,54.67,52.75,54.19,2456112
2020-02-04,55.43,55.68,54.65,54.75,1985185
2020-02-05,55.17,55.625,54.90,55.11,2200240
2020-02-06,55.78,55.85,55.08,55.10,1596516
2020-02-07,53.49,54.04,52.31,52.81,2369945
2020-02-10,52.25,52.25,50.97,51.00,2534867
2020-02-11,51.60,52.91,51.31,52.49,2002840
2020-02-12,52.85,54.28,52.84,54.21,1983031
2020-02-13,53.41,53.64,52.91,53.43,2246208
2020-02-14,52.44,53.00,52.44,52.46,2044491
2020-02-18,52.09,52.35,51.49,51.69,2179285
2020-02-19,51.70,52.35,51.70,52.02,2285652
2020-02-20,51.49,51.58,48.37,48.51,5621362
2020-02-21,48.12,48.1588,46.85,46.97,4550091
2020-02-24,44.49,44.65,42.18,42.58,6497091
2020-02-25,42.95,43.06,39.18,39.31,5898828
2020-02-26,39.56,39.57,36.16,36.21,8128396
2020-02-27,35.07,37.09,33.175,34.74,10504570
2020-02-28,33.28,37.26,33.21,37.26,9206207
2020-03-02,37.10,37.10,33.98,35.59,7318891
2020-03-03,35.39,35.90,33.08,33.62,5704622
2020-03-04,34.25,34.25,31.47,33.00,7154924
2020-03-05,31.31,31.38,28.00,28.59,8778712
2020-03-06,27.40,30.25,26.55,27.10,12408840
2020-03-09,23.93,24.0899,19.71,19.81,12091770
2020-03-10,22.24,22.25,17.12,20.50,21711660
2020-03-11,19.36,19.45,14.78,15.03,21658320
2020-03-12,11.49,13.43,9.60,9.65,29444970
2020-03-13,13.33,13.60,9.87,11.10,43494130
2020-03-16,10.46,13.41,10.10,10.94,35890790
2020-03-17,11.51,11.62,9.83,10.03,25250510
2020-03-18,9.73,9.99,7.03,7.77,24363470
2020-03-19,8.03,8.85,7.25,8.23,16537280
2020-03-20,9.09,10.98,8.23,8.72,27443910
2020-03-23,8.95,10.59,8.44,9.67,27174060
2020-03-24,12.00,15.7601,11.30,13.75,46798340
2020-03-25,17.15,18.00,14.33,16.96,47730680
2020-03-26,16.80,20.28,15.00,15.71,51251060
2020-03-27,14.31,14.31,12.01,12.02,44214060
2020-03-30,11.11,11.84,9.82,10.68,32858290
2020-03-31,10.54,12.40,10.41,10.96,35119850
2020-04-01,10.50,10.59,9.45,9.55,31934380
2020-04-02,9.16,9.90,8.08,8.40,33277220
2020-04-03,9.06,9.25,8.12,8.46,24203850
2020-04-06,9.20,10.18,8.8001,10.01,40974240
2020-04-07,12.27,13.00,10.36,11.01,56733100
2020-04-08,11.46,11.95,10.91,11.72,28293130
2020-04-09,12.72,14.18,12.25,13.11,53319990
2020-04-13,12.05,12.05,11.00,11.36,34352070
2020-04-14,12.49,12.98,11.63,12.35,38677050
2020-04-15,11.60,12.25,11.39,12.08,20560300
2020-04-16,11.94,12.14,11.13,11.35,20442250
2020-04-17,12.20,12.50,11.80,12.38,25069500
2020-04-20,11.96,12.30,11.46,11.49,26653410
2020-04-21,11.10,11.57,10.81,11.00,22928580
2020-04-22,11.30,11.47,10.65,10.87,18083410
2020-04-23,10.95,11.69,10.92,11.47,23018730
2020-04-24,11.37,11.48,10.66,10.86,22325520
2020-04-27,11.04,11.87,10.91,11.44,28613970
2020-04-28,12.33,13.38,11.93,13.09,37342580
2020-04-29,14.44,16.46,14.0802,16.41,62157740
2020-04-30,16.22,17.48,15.18,16.40,57984430
2020-05-01,15.25,15.74,13.70,13.84,43335650
2020-05-04,12.57,14.48,12.22,14.44,39664540
2020-05-05,12.75,13.22,11.03,11.18,155971800
2020-05-06,11.79,11.94,10.88,11.12,128458000
2020-05-07,11.40,12.50,11.39,12.00,82249030
2020-05-08,12.83,13.13,12.00,12.43,77120960
2020-05-11,12.16,12.29,11.525,11.73,42615410
2020-05-12,11.89,11.96,11.07,11.09,36548920
2020-05-13,11.00,11.03,9.90,10.31,55477620
2020-05-14,9.94,11.33,9.24,10.76,68694310
2020-05-15,10.52,11.37,10.32,10.92,45461280
2020-05-18,11.88,13.47,11.76,12.88,104714100
2020-05-19,12.92,13.15,11.88,12.43,65613270
2020-05-20,12.76,13.01,12.075,12.78,63558500
2020-05-21,12.96,14.35,12.8101,14.03,77421100
2020-05-22,14.72,15.00,13.72,13.90,65214390
2020-05-26,15.36,16.17,15.25,16.03,76937900
2020-05-27,17.76,17.8378,15.83,17.59,102210000
2020-05-28,17.38,17.44,15.9276,16.07,78868260
2020-05-29,15.28,16.06,15.05,15.66,77548610
2020-06-01,15.88,17.35,15.71,17.29,62400030
2020-06-02,17.98,18.29,16.97,17.39,62632150
2020-06-03,16.80,18.43,16.70,17.98,78460850
2020-06-04,18.16,20.00,17.39,19.59,88301350
2020-06-05,24.21,24.29,21.60,22.43,109690000
2020-06-08,25.28,26.91,24.00,26.86,105202600
2020-06-09,25.05,25.50,23.15,24.13,85767940
2020-06-10,22.71,22.71,19.40,20.65,126632800
