Date,Open,High,Low,Close,Volume
2020-01-10,60.955,61.175,60.7975,60.8875,5125500
2020-01-13,60.7625,61.7062,60.7625,61.60,5879784
2020-01-14,61.5575,61.95,61.45,61.9325,8252852
2020-01-15,62.145,63.0485,62.1362,62.895,6397296
2020-01-16,62.72,63.0775,62.585,63.0675,7914316
2020-01-17,63.0925,63.4375,62.8525,63.35,9354120
2020-01-21,63.5075,64.325,63.2025,64.2225,11486412
2020-01-22,64.7375,65.195,64.415,64.975,7066372
2020-01-23,64.84,65.6875,64.84,65.02,10213960
2020-01-24,64.2575,66.02,64.0425,65.93,10310856
2020-01-27,65.655,66.9387,65.5725,66.685,8678916
2020-01-28,66.685,67.25,65.9275,66.4525,8262972
2020-01-29,66.6875,66.7025,66.03,66.44,6008696
2020-01-30,66.4675,67.5625,66.255,67.4825,6329752
2020-01-31,67.365,67.665,66.6825,67.05,7537132
2020-02-03,67.1725,67.37,66.5525,66.7025,11041464
2020-02-04,66.5675,66.8275,65.98,66.135,10482852
2020-02-05,66.0725,66.915,65.5525,66.6775,8666788
2020-02-06,66.6875,67.5825,66.59,67.0825,7874456
2020-02-07,67.3775,67.9125,67.2975,67.385,6410064
2020-02-10,67.5775,67.9525,67.3325,67.935,7667060
2020-02-11,68.19,68.4975,67.9875,68.0375,7850920
2020-02-12,67.8575,68.0687,67.53,67.565,5836544
2020-02-13,67.565,68.9675,67.565,68.8675,7500848
2020-02-14,68.9225,69.77,68.885,69.63,7354956
2020-02-18,70.00,70.8363,69.5925,70.51,9809232
2020-02-19,68.755,69.28,68.6375,68.6675,21135372
2020-02-20,68.985,69.285,68.3275,69.2575,10731452
2020-02-21,69.3825,69.69,69.0175,69.3975,11030736
2020-02-24,68.70,69.6525,68.4825,68.485,9093044
2020-02-25,68.485,68.975,67.45,67.5825,10285576
2020-02-26,67.2325,68.325,67.00,67.3675,9552512
2020-02-27,67.01,67.7325,63.9025,63.9625,14604044
2020-02-28,62.0375,63.4775,60.77,63.19,27474784
