Date,Open,High,Low,Close,Volume
2020-01-10,372.37,375.00,369.76,374.39,1178234
2020-01-13,375.73,377.76,374.81,376.83,668067
2020-01-14,375.80,376.1826,373.08,374.67,740595
2020-01-15,374.68,381.7783,374.68,380.26,650657
2020-01-16,381.61,384.61,379.57,383.78,839062
2020-01-17,384.68,384.68,378.29,379.97,1237734
2020-01-21,379.38,381.19,373.96,378.13,1420863
2020-01-22,378.50,380.34,375.22,375.32,864257
2020-01-23,375.80,381.64,374.76,381.50,1099446
2020-01-24,383.02,384.18,380.20,381.64,738008
2020-01-27,378.36,380.99,375.779,379.07,665308
2020-01-28,380.50,383.98,374.22,381.84,674463
2020-01-29,384.48,384.48,378.14,382.65,639823
2020-01-30,373.10,385.005,369.18,384.87,1397519
2020-01-31,383.33,384.3286,372.08,374.57,1086568
2020-02-03,367.33,370.00,362.76,363.75,1316256
2020-02-04,366.63,367.90,360.00,361.81,1054419
2020-02-05,362.58,368.89,358.80,367.80,815258
2020-02-06,366.72,366.72,362.50,363.75,860033
2020-02-07,363.38,366.17,361.12,361.42,790321
2020-02-10,361.05,364.03,357.62,363.29,716764
2020-02-11,364.56,371.98,363.8101,368.04,697646
2020-02-12,367.61,369.23,363.98,367.73,935444
2020-02-13,366.70,370.47,365.04,368.00,848566
2020-02-14,368.82,371.64,367.01,370.94,635087
2020-02-18,367.70,372.64,365.75,372.42,810889
2020-02-19,373.22,374.39,365.96,366.15,864665
2020-02-20,365.28,367.62,360.53,363.25,995296
2020-02-21,360.66,365.93,358.03,365.01,880309
2020-02-24,357.99,365.85,357.7245,359.39,997495
2020-02-25,361.07,361.435,338.78,339.97,1459067
2020-02-26,342.50,347.15,334.31,334.32,934426
2020-02-27,329.49,337.79,325.00,331.57,2054478
2020-02-28,320.00,329.82,313.98,328.84,2921170
2020-03-02,330.46,336.93,321.86,335.99,1547061
2020-03-03,335.99,347.90,329.01,329.38,1207954
2020-03-04,335.57,347.99,330.52,346.97,1193710
2020-03-05,339.48,342.03,325.86,327.78,1214057
2020-03-06,319.32,331.90,315.84,328.96,1361290
2020-03-09,306.94,320.735,280.00,313.28,1355483
2020-03-10,324.69,335.14,321.63,334.89,1826739
2020-03-11,325.45,330.355,311.87,317.85,1484375
2020-03-12,296.99,308.96,289.2602,290.50,2525949
2020-03-13,303.66,315.645,289.59,314.50,2307453
2020-03-16,274.59,300.435,274.59,282.59,1520192
2020-03-17,288.36,319.89,287.5801,319.33,2113402
2020-03-18,301.01,325.845,298.61,323.00,1779423
2020-03-19,321.15,322.99,289.51,296.91,1711637
2020-03-20,300.94,301.165,274.775,284.02,1768558
2020-03-23,280.85,283.25,263.31,269.86,1497432
2020-03-24,280.25,284.00,272.63,281.28,1655312
2020-03-25,281.79,301.9799,279.00,288.36,1615682
2020-03-26,290.63,321.92,290.63,321.19,1425505
2020-03-27,311.89,318.77,301.60,312.15,1504802
2020-03-30,317.41,322.92,308.86,313.72,1261675
2020-03-31,309.17,311.00,300.38,302.55,1981613
2020-04-01,293.85,309.99,290.615,306.99,1226512
