Date,Open,High,Low,Close,Volume
2020-01-10,37.23,37.64,37.07,37.31,1859327
2020-01-13,37.22,37.426,36.90,36.92,2447759
2020-01-14,36.94,37.51,36.90,37.50,2727966
2020-01-15,37.38,38.395,37.38,38.13,2736537
2020-01-16,38.27,38.80,38.23,38.62,2059100
2020-01-17,38.62,38.69,38.26,38.54,2209205
2020-01-21,38.51,38.62,38.09,38.52,1958494
2020-01-22,38.68,39.24,38.62,38.68,2445575
2020-01-23,38.61,38.91,38.325,38.87,1912185
2020-01-24,38.79,38.885,37.80,37.96,2912605
2020-01-27,37.67,37.775,36.80,36.82,2094078
2020-01-28,37.00,37.29,36.83,37.01,1822901
2020-01-29,36.96,37.26,36.36,37.16,2315216
2020-01-30,37.20,37.22,36.58,37.16,2352793
2020-01-31,36.70,37.14,36.65,36.89,3231315
2020-02-03,37.03,37.75,36.97,37.54,2428807
2020-02-04,37.67,38.12,37.26,37.26,3247868
2020-02-05,37.26,38.4099,37.26,38.00,2897141
2020-02-06,38.11,38.21,37.73,37.83,2283424
2020-02-07,37.81,38.05,37.60,37.88,1302271
2020-02-10,37.86,38.32,37.64,38.29,1810836
2020-02-11,38.49,39.37,38.41,38.84,1978112
2020-02-12,38.85,39.51,38.78,39.24,1822185
2020-02-13,39.22,39.70,39.10,39.56,1749292
2020-02-14,39.65,40.06,39.51,40.06,1825522
2020-02-18,40.01,40.25,39.76,39.95,1828227
2020-02-19,40.11,40.15,39.39,39.40,1888222
2020-02-20,39.38,39.38,38.28,39.04,2425725
2020-02-21,38.89,39.40,38.8101,39.37,1854635
2020-02-24,38.79,39.03,38.07,38.14,2629730
2020-02-25,38.08,38.08,36.04,36.13,3499664
2020-02-26,36.15,36.30,35.03,35.05,3559379
2020-02-27,34.85,35.42,33.51,34.50,3885257
2020-02-28,33.65,33.65,31.90,33.21,6020229
2020-03-02,33.31,34.19,32.86,34.17,3885155
2020-03-03,34.22,34.97,33.05,33.30,3208772
2020-03-04,33.77,35.50,33.72,35.45,4961192
2020-03-05,34.55,35.105,33.845,34.35,3470954
2020-03-06,32.98,34.44,32.83,34.32,3078686
2020-03-09,31.53,31.87,29.325,30.13,4954659
2020-03-10,31.32,32.37,30.46,32.35,4503926
2020-03-11,31.29,31.47,29.21,30.00,5745381
2020-03-12,27.98,29.45,26.46,26.60,6385514
2020-03-13,28.38,28.89,25.86,28.85,5398178
2020-03-16,25.66,28.57,24.75,24.89,3893822
2020-03-17,25.53,26.53,23.24,23.57,4547844
2020-03-18,21.62,22.27,19.54,21.99,5335191
2020-03-19,21.98,24.30,20.55,23.95,3611587
2020-03-20,24.39,25.68,22.92,23.31,6081243
2020-03-23,23.10,23.10,20.97,22.16,5404724
2020-03-24,23.49,26.02,23.35,25.76,4211477
2020-03-25,25.83,27.47,24.33,26.29,4666461
2020-03-26,26.59,28.72,26.1983,28.24,3597545
2020-03-27,26.83,30.39,26.7365,29.55,3399444
2020-03-30,29.65,30.00,27.51,28.45,3588883
2020-03-31,28.63,28.63,26.97,27.26,2982451
2020-04-01,26.33,26.97,25.30,26.84,3880525
2020-04-02,26.67,28.03,26.0747,27.79,6675475
2020-04-03,27.50,28.12,25.75,26.21,6458705
2020-04-06,27.62,27.81,26.405,27.24,2995969
2020-04-07,28.64,29.12,27.27,27.36,3158493
2020-04-08,27.45,29.84,27.20,29.45,2547492
2020-04-09,30.22,31.80,30.15,30.76,4053068
2020-04-13,30.47,30.75,29.22,29.98,2122210
2020-04-14,30.46,30.7749,29.50,30.41,2359292
2020-04-15,29.41,29.87,29.06,29.50,2733902
2020-04-16,29.50,29.89,28.61,29.69,4127268
2020-04-17,30.37,31.59,30.16,31.37,3055891
2020-04-20,30.71,31.87,30.5101,31.03,3348548
2020-04-21,29.91,30.98,29.75,30.31,2488563
2020-04-22,30.92,31.33,30.23,31.09,3442247
2020-04-23,31.25,31.645,30.83,31.23,2170343
2020-04-24,31.77,32.81,31.45,32.60,2481240
2020-04-27,33.24,33.83,32.72,33.68,2376890
2020-04-28,34.81,35.64,33.47,33.71,3463156
2020-04-29,34.72,35.13,34.05,34.64,3530393
2020-04-30,34.16,34.23,32.9423,33.53,2636587
2020-05-01,32.92,33.03,32.25,32.97,1812469
2020-05-04,32.74,33.11,32.06,32.95,2200730
2020-05-05,33.32,34.11,32.88,32.89,2798204
2020-05-06,33.05,33.06,32.18,32.78,2553536
2020-05-07,32.63,33.03,31.40,32.12,4350131
2020-05-08,32.50,33.39,32.29,32.77,2407654
2020-05-11,32.43,32.76,31.885,32.50,2625313
2020-05-12,32.58,32.85,32.05,32.07,3763959
2020-05-13,31.94,32.045,31.115,31.75,3145315
2020-05-14,31.29,32.705,30.69,32.65,2665670
2020-05-15,32.39,32.93,32.01,32.60,2708390
2020-05-18,33.52,35.83,33.25,35.53,3769580
2020-05-19,35.27,36.03,35.03,35.35,2427675
2020-05-20,35.93,36.78,35.40,35.50,2650701
2020-05-21,35.50,35.96,35.225,35.30,1905255
2020-05-22,35.29,35.73,35.08,35.72,1524139
2020-05-26,36.58,37.09,35.59,35.74,2330385
2020-05-27,36.11,36.75,35.68,35.97,2344940
2020-05-28,36.47,36.88,35.82,36.44,2298071
2020-05-29,36.38,36.455,35.445,36.05,3487192
2020-06-01,36.06,36.41,35.65,36.09,1692935
2020-06-02,36.42,36.51,35.805,35.90,2319128
2020-06-03,36.29,36.62,36.08,36.38,3020957
2020-06-04,36.20,36.47,35.03,35.44,3377254
2020-06-05,36.09,37.05,35.66,36.72,4298180
2020-06-08,36.83,38.27,36.80,38.16,2784764
2020-06-09,37.57,37.75,36.31,36.40,1985118
2020-06-10,36.34,36.74,35.73,36.19,2744882
2020-06-11,35.31,35.38,33.69,33.77,3303474
2020-06-12,34.59,34.80,33.04,33.68,3070804
2020-06-15,32.96,33.505,32.05,33.31,2684562
2020-06-16,34.37,34.80,33.56,33.76,2237810
2020-06-17,33.88,34.0899,33.19,33.59,2601569
2020-06-18,33.39,33.84,33.15,33.63,1886263
2020-06-19,34.19,34.295,33.445,34.08,4532772
2020-06-22,33.99,34.31,33.1825,34.15,2443636
2020-06-23,34.41,34.46,32.95,33.00,2368754
2020-06-24,32.71,32.99,32.07,32.57,2928784
2020-06-25,32.38,32.76,31.96,32.63,2935236
2020-06-26,32.59,32.59,31.24,31.57,4581862
2020-06-29,31.86,32.96,31.26,32.94,2523466
2020-06-30,32.84,32.855,32.28,32.56,2012782
2020-07-01,32.59,33.31,32.41,33.15,1748334
2020-07-02,33.50,33.86,32.68,32.79,1847248
2020-07-06,33.21,33.45,32.765,33.03,1443054
2020-07-07,32.72,32.93,32.42,32.75,2782595
2020-07-08,32.83,33.38,32.60,33.19,2200490
2020-07-09,33.06,33.0625,31.66,32.31,2339167
2020-07-10,32.25,32.98,32.20,32.96,1677693
2020-07-13,33.06,33.63,32.775,33.23,2439965
2020-07-14,33.12,34.06,33.12,33.84,2430771
2020-07-15,34.26,34.58,33.95,34.02,1737921
2020-07-16,34.03,34.42,33.735,33.84,1597313
2020-07-17,34.08,34.17,33.415,33.72,1590511
2020-07-20,33.54,33.81,33.12,33.42,2225929
2020-07-21,33.41,33.84,33.205,33.53,1937231
2020-07-22,33.31,33.76,32.94,33.59,2689659
2020-07-23,33.58,33.79,33.055,33.23,3177502
2020-07-24,33.00,34.225,32.35,34.19,5891158
2020-07-27,34.57,35.55,33.635,33.74,3406046
2020-07-28,33.60,34.21,33.39,33.74,1830920
2020-07-29,33.76,33.92,33.28,33.64,1795895
2020-07-30,33.28,33.915,32.72,33.85,2329835
2020-07-31,33.47,33.84,33.04,33.81,1914135
2020-08-03,33.71,33.7883,33.17,33.47,1532898
2020-08-04,33.55,34.105,33.55,34.03,1957000
2020-08-05,34.18,34.41,33.44,33.56,1823435
2020-08-06,33.44,34.12,33.42,33.98,1432605
2020-08-07,33.81,34.57,33.81,34.28,1958456
2020-08-10,34.44,35.26,34.40,34.98,2984394
2020-08-11,35.18,35.66,34.72,34.90,2225174
2020-08-12,35.08,35.49,34.89,35.26,2108180
2020-08-13,35.17,35.385,34.86,35.29,1328607
2020-08-14,35.18,35.22,34.88,34.94,1226875
2020-08-17,34.91,35.68,34.81,35.30,2016371
2020-08-18,35.30,36.35,35.30,36.09,2927432
2020-08-19,36.24,36.2799,35.37,35.41,2342651
2020-08-20,35.20,35.41,34.54,34.65,1621086
2020-08-21,34.70,34.945,34.51,34.53,1767075
2020-08-24,34.68,34.83,34.02,34.70,1390808
2020-08-25,34.93,35.02,34.26,34.56,1176042
2020-08-26,34.35,34.35,33.57,33.94,1405605
2020-08-27,33.95,34.25,33.51,33.73,2530669
2020-08-28,33.73,34.33,33.62,34.29,1569075
2020-08-31,34.33,34.71,34.18,34.41,2085602
2020-09-01,34.33,34.47,33.84,34.17,2185400
2020-09-02,34.25,35.5099,34.01,35.41,1431159
