Date,Open,High,Low,Close,Volume
2020-01-10,79.75,80.09,79.18,79.25,1278648
2020-01-13,79.27,79.68,78.81,79.68,1622486
2020-01-14,79.44,79.83,79.28,79.63,1521201
2020-01-15,79.58,79.96,79.32,79.46,1181542
2020-01-16,79.73,79.89,79.38,79.70,1572102
2020-01-17,79.82,80.74,79.56,80.49,2673227
2020-01-21,80.41,81.00,80.14,80.27,2218956
2020-01-22,80.35,80.46,79.22,79.47,1806497
2020-01-23,79.07,79.19,77.81,78.75,1586967
2020-01-24,78.85,78.85,77.58,77.70,1714990
2020-01-27,76.59,77.42,76.07,76.87,2306815
2020-01-28,77.37,77.585,76.55,76.76,2490274
2020-01-29,76.91,77.00,76.10,76.21,1318485
2020-01-30,75.68,76.11,74.84,75.99,2364163
2020-01-31,76.09,76.36,75.05,75.31,3829181
2020-02-03,75.65,76.82,75.41,75.64,1944082
2020-02-04,76.47,77.13,76.22,76.73,2085967
2020-02-05,77.35,78.29,77.205,77.77,1801462
2020-02-06,78.31,78.94,76.57,76.59,1352830
2020-02-07,76.23,76.45,74.9569,75.74,1867576
2020-02-10,75.68,77.01,75.65,77.00,3172428
2020-02-11,79.49,80.25,76.63,77.28,3727755
2020-02-12,78.00,79.29,77.45,78.85,2650768
2020-02-13,78.53,80.02,78.53,79.53,2695387
2020-02-14,79.75,79.75,77.57,78.14,1551926
2020-02-18,78.12,78.73,78.11,78.61,1902497
2020-02-19,78.77,79.07,78.49,78.62,1356000
2020-02-20,78.49,78.99,77.86,78.78,1405016
2020-02-21,78.38,78.57,77.47,78.27,2300314
2020-02-24,76.85,76.895,75.39,76.24,1946717
2020-02-25,76.35,76.44,73.49,74.02,2596931
2020-02-26,74.08,75.12,72.41,72.41,3233176
2020-02-27,70.73,72.01,69.49,69.52,4206866
2020-02-28,67.99,69.71,67.06,69.28,4338939
2020-03-02,69.41,70.47,67.55,70.36,3538401
2020-03-03,70.12,71.74,68.21,69.19,2445489
2020-03-04,70.15,71.11,69.37,70.98,2718395
2020-03-05,69.06,69.28,67.665,68.12,3066536
2020-03-06,66.21,67.53,64.77,65.82,4352409
2020-03-09,62.61,62.62,60.25,60.37,3560810
2020-03-10,62.02,64.23,59.43,64.18,2865852
2020-03-11,62.45,62.88,60.97,62.22,2850531
2020-03-12,58.68,59.60,55.35,56.55,3116784
2020-03-13,59.38,62.94,55.39,62.91,4004765
2020-03-16,56.87,60.74,52.84,57.23,4404870
2020-03-17,58.45,59.89,52.50,59.51,4066436
2020-03-18,55.79,56.44,51.34,56.03,3439818
2020-03-19,55.25,58.55,54.515,54.84,2884204
2020-03-20,55.52,55.58,48.38,49.51,3724197
2020-03-23,48.79,50.46,46.37,48.30,3214824
2020-03-24,51.65,52.34,49.60,51.48,3357624
2020-03-25,51.62,56.68,49.71,52.16,5590143
2020-03-26,52.79,56.59,52.49,56.35,3272037
2020-03-27,54.25,55.92,51.25,51.98,3339848
2020-03-30,51.49,55.50,50.56,54.92,3251783
2020-03-31,55.09,56.20,54.04,54.90,2484925
2020-04-01,52.29,53.19,50.81,51.67,3258626
2020-04-02,51.13,54.10,50.18,52.11,2678711
2020-04-03,51.80,53.27,49.48,49.59,2310619
2020-04-06,51.82,54.05,51.09,53.70,2223692
2020-04-07,56.45,56.75,54.19,54.26,2827194
2020-04-08,54.44,55.15,52.90,54.67,2470642
2020-04-09,55.60,57.66,55.45,56.80,2532358
2020-04-13,56.37,56.53,53.94,55.75,2116557
2020-04-14,56.96,57.02,55.47,55.59,1997807
2020-04-15,53.95,54.34,50.78,51.96,3606513
2020-04-16,52.36,53.30,49.575,53.02,3335078
2020-04-17,54.72,56.305,53.62,54.57,2450703
2020-04-20,53.40,55.38,52.08,53.92,2649715
2020-04-21,52.12,53.03,50.84,51.34,2785638
2020-04-22,52.41,52.68,50.465,50.69,2179516
2020-04-23,50.96,53.38,50.80,51.49,1897722
2020-04-24,51.74,52.365,51.22,52.03,1593598
2020-04-27,52.56,54.77,52.56,54.34,3014620
2020-04-28,54.50,56.9761,54.04,56.50,3392585
2020-04-29,57.83,62.57,57.83,61.36,6059645
2020-04-30,59.68,60.05,56.89,57.03,3186485
2020-05-01,56.02,56.32,55.01,55.89,2367772
2020-05-04,54.85,54.90,52.96,54.27,2753986
2020-05-05,54.85,55.34,54.06,54.22,2330030
2020-05-06,54.50,54.76,53.315,54.34,1721811
2020-05-07,54.95,55.67,53.38,53.63,2703468
2020-05-08,54.78,55.43,54.315,55.11,1833888
2020-05-11,54.68,54.68,52.48,53.60,1937753
2020-05-12,53.76,54.21,51.85,51.86,1619151
2020-05-13,51.39,51.54,48.47,49.06,2630253
2020-05-14,48.39,50.405,46.63,50.24,3047570
2020-05-15,49.71,51.29,49.07,50.90,4187626
2020-05-18,53.24,53.98,53.00,53.17,1965376
2020-05-19,52.92,53.38,51.65,52.29,2297501
2020-05-20,52.83,53.50,52.275,52.44,2002118
2020-05-21,52.34,53.27,51.76,51.86,2300340
2020-05-22,51.86,52.66,51.19,51.78,2026766
2020-05-26,53.64,54.53,53.23,54.09,3991468
2020-05-27,55.67,58.05,55.50,57.81,3861678
2020-05-28,57.64,57.81,55.04,55.17,2083768
2020-05-29,54.51,54.95,53.15,54.79,3461841
2020-06-01,54.89,56.41,54.89,55.58,2155006
2020-06-02,56.20,56.29,55.02,55.26,2492807
2020-06-03,56.36,57.395,55.66,57.13,2904100
2020-06-04,56.68,57.91,55.42,57.86,2883499
2020-06-05,59.90,62.87,59.90,60.78,4737426
2020-06-08,61.38,64.00,61.375,63.90,3272925
2020-06-09,62.78,62.98,60.24,60.34,2670376
2020-06-10,60.12,60.12,57.32,58.12,2521275
2020-06-11,55.17,55.96,54.02,54.45,2879832
2020-06-12,56.15,57.165,53.865,55.03,2353625
2020-06-15,53.42,56.90,53.36,56.32,3217695
2020-06-16,58.10,58.95,55.87,56.36,2340825
2020-06-17,56.26,56.60,55.19,55.39,1693731
2020-06-18,54.45,55.71,54.20,55.42,2130829
2020-06-19,56.57,56.97,53.33,53.33,9254848
2020-06-22,53.02,53.37,51.77,52.76,2868079
2020-06-23,53.55,54.70,53.03,54.10,3605434
2020-06-24,53.37,53.64,52.01,52.45,2753128
2020-06-25,52.02,53.20,51.07,52.80,3319223
2020-06-26,52.52,52.93,51.25,52.78,4731097
2020-06-29,53.21,55.28,53.13,54.29,2923963
2020-06-30,54.27,55.05,53.89,54.60,2381376
2020-07-01,54.46,56.00,54.20,54.54,2206232
2020-07-02,55.51,55.94,54.36,54.61,1689110
2020-07-06,55.62,55.93,54.60,55.26,1539978
2020-07-07,54.65,55.72,54.12,55.71,2534069
2020-07-08,55.46,55.49,53.11,53.60,3267139
2020-07-09,53.44,53.585,50.87,51.66,2627828
2020-07-10,51.68,54.32,51.53,53.82,1708391
2020-07-13,54.27,55.46,54.07,54.53,1953860
2020-07-14,54.31,55.27,53.82,54.86,1429195
2020-07-15,56.00,56.62,55.295,56.23,1740092
2020-07-16,56.02,56.98,55.43,56.25,1352877
2020-07-17,56.23,56.3148,55.03,55.69,1517594
2020-07-20,55.22,55.22,53.05,53.97,1712093
2020-07-21,54.14,55.42,54.01,54.50,1283125
2020-07-22,54.37,55.29,54.13,54.98,1411990
2020-07-23,57.07,57.73,55.91,56.33,2647338
2020-07-24,56.61,57.72,55.65,56.56,2397615
2020-07-27,56.12,57.45,55.76,57.01,3765107
2020-07-28,53.00,55.26,52.25,54.66,5147802
2020-07-29,54.66,55.505,53.75,54.02,5704695
2020-07-30,53.39,53.65,52.39,53.26,2506742
2020-07-31,52.92,53.80,52.23,53.73,3417014
2020-08-03,53.84,54.58,53.20,53.70,2273034
2020-08-04,53.45,54.07,52.97,53.14,1988006
2020-08-05,53.62,53.875,52.55,52.70,2431246
2020-08-06,52.50,53.95,52.43,53.68,2069205
2020-08-07,53.17,53.30,52.46,53.27,1817524
2020-08-10,53.46,55.26,53.33,55.01,2002519
2020-08-11,55.87,57.37,55.60,55.74,1690072
2020-08-12,56.11,56.31,54.08,54.15,1753010
2020-08-13,53.64,54.71,53.37,54.32,1256677
2020-08-14,53.94,55.37,53.94,54.85,1118355
2020-08-17,54.70,54.96,53.51,53.83,1962754
2020-08-18,53.82,54.62,53.50,54.12,1499195
2020-08-19,54.03,54.73,53.53,53.73,1076142
2020-08-20,53.42,53.625,52.83,52.86,1251469
2020-08-21,52.78,52.975,51.90,52.55,1960524
2020-08-24,52.71,54.71,52.35,54.49,1712236
2020-08-25,54.50,54.98,53.21,53.80,1083371
2020-08-26,53.57,54.00,52.82,53.66,1562089
2020-08-27,54.07,55.62,54.07,54.96,1839297
2020-08-28,54.98,55.26,54.28,55.11,1051860
2020-08-31,55.05,55.27,54.005,54.09,1704828
2020-09-01,53.72,53.85,52.99,53.02,1676941
2020-09-02,52.93,54.29,52.76,53.93,1719575
2020-09-03,54.54,55.95,53.64,54.29,1939312
2020-09-04,54.56,55.31,53.75,54.08,1320725
2020-09-08,53.97,54.335,53.34,53.83,1728461
2020-09-09,53.74,54.17,52.98,53.00,1387721
2020-09-10,53.01,53.62,51.5801,51.80,1729122
2020-09-11,51.84,52.545,51.51,52.32,1517495
2020-09-14,52.90,54.56,52.54,53.83,1594930
