Date,Open,High,Low,Close,Volume
2020-01-10,29.192,29.226,28.9933,29.1233,8541206
2020-01-13,29.1087,29.1893,28.8713,29.0333,8616821
2020-01-14,28.944,29.2527,28.8333,29.234,6491697
2020-01-15,29.1247,29.356,29.1187,29.21,5235837
2020-01-16,29.3267,29.5993,29.23,29.4047,13134683
2020-01-17,29.512,29.52,29.0773,29.3787,9103645
2020-01-21,29.328,29.7887,29.3207,29.3733,9333760
2020-01-22,29.412,29.5903,28.9013,29.0473,11312484
2020-01-23,28.8493,29.1273,28.726,29.07,10281595
2020-01-24,29.164,29.2747,28.6473,28.718,5623482
2020-01-27,28.392,28.5897,28.392,28.454,6724422
2020-01-28,28.49,28.656,28.3727,28.5373,6855762
2020-01-29,28.5133,28.635,28.2597,28.2753,5524377
2020-01-30,28.0467,28.0527,27.80,27.992,9356335
2020-01-31,27.6853,27.8633,27.00,27.0733,19126940
2020-02-03,27.1893,27.4713,27.058,27.082,11626239
2020-02-04,27.3187,27.7307,27.1647,27.1727,9998905
2020-02-05,27.3687,28.114,27.3513,27.9473,14070443
2020-02-06,26.952,27.4993,25.895,26.542,32780984
2020-02-07,26.4187,26.4993,25.7453,25.846,17819016
2020-02-10,25.6887,26.1333,25.6887,26.0873,12685134
2020-02-11,25.8753,26.2887,25.8513,25.984,18830751
2020-02-12,26.0793,26.2173,25.955,26.1647,12612204
2020-02-13,26.1227,26.4153,26.1227,26.1733,10855255
2020-02-14,26.2393,26.4007,25.9847,26.0593,13485233
2020-02-18,26.2153,26.624,26.0874,26.3993,16430167
2020-02-19,26.3307,26.5404,26.0333,26.1433,11728344
2020-02-20,26.0767,26.3813,25.9127,26.3453,16439767
2020-02-21,26.22,26.2807,25.958,26.10,9629245
2020-02-24,25.7433,26.086,25.6987,25.8513,11373714
2020-02-25,25.9807,26.06,25.1167,25.1567,15086437
2020-02-26,25.30,25.614,25.1147,25.1793,12108879
2020-02-27,24.7493,25.3953,24.671,24.698,16652587
2020-02-28,24.0607,24.8333,23.9247,24.5813,25376477
2020-03-02,24.4673,25.226,24.2967,25.226,18339906
2020-03-03,24.562,25.3653,24.15,24.278,21103294
2020-03-04,24.5347,25.1667,24.2413,25.1467,11014059
