Date,Open,High,Low,Close,Volume
2020-01-10,86.19,86.3035,85.17,85.27,1048480
2020-01-13,85.61,86.37,85.51,86.26,1183158
2020-01-14,86.72,87.46,86.21,86.62,1518429
2020-01-15,86.79,87.83,86.79,87.37,2091036
2020-01-16,88.09,88.2321,87.41,87.97,1478196
2020-01-17,88.20,88.28,87.88,88.24,1585576
2020-01-21,88.01,88.92,87.98,88.65,1796367
2020-01-22,89.21,89.945,88.94,89.60,1381399
2020-01-23,89.68,89.78,89.07,89.65,1259287
2020-01-24,89.95,89.96,88.5236,88.91,1005132
2020-01-27,88.02,88.57,87.5935,87.71,1512435
2020-01-28,87.77,89.06,87.77,88.66,1057296
2020-01-29,88.96,88.96,87.31,87.40,1416483
2020-01-30,86.72,88.04,86.38,87.96,1368562
2020-01-31,87.19,87.31,85.40,85.77,1718361
2020-02-03,86.45,87.42,86.415,86.56,1406234
2020-02-04,87.53,88.845,87.26,88.28,1238980
2020-02-05,88.82,88.92,87.775,88.03,1570575
2020-02-06,88.60,88.86,88.01,88.45,854991
2020-02-07,87.99,88.29,87.51,87.98,886913
2020-02-10,87.85,88.59,87.84,88.49,855017
2020-02-11,88.75,88.75,87.705,87.80,847272
2020-02-12,88.24,88.38,87.33,87.97,1019792
2020-02-13,87.70,88.8766,87.60,88.60,782699
2020-02-14,88.51,89.22,88.40,89.21,949121
2020-02-18,89.35,89.70,89.08,89.36,1117678
2020-02-19,89.72,90.35,89.50,90.11,1417349
2020-02-20,90.29,90.535,89.05,90.23,2253619
2020-02-21,89.95,90.04,88.72,89.05,1838096
2020-02-24,87.15,88.70,86.525,87.21,1768217
2020-02-25,87.50,87.86,83.47,83.61,2164359
2020-02-26,84.56,85.32,82.23,82.28,2276617
2020-02-27,81.10,82.57,78.87,78.90,2689881
2020-02-28,76.71,78.12,75.35,77.48,4052781
2020-03-02,77.61,82.23,76.88,82.08,3501057
2020-03-03,81.27,82.80,78.5672,79.06,2944584
2020-03-04,80.54,82.62,79.70,82.38,1913125
2020-03-05,80.31,80.82,78.52,79.32,2360844
2020-03-06,76.44,77.92,75.215,77.50,2592039
2020-03-09,72.36,75.13,69.52,72.46,3281985
2020-03-10,74.71,76.72,72.39,76.71,2699388
2020-03-11,74.15,75.98,73.05,74.68,4562913
2020-03-12,69.655,71.58,64.61,66.46,5742881
2020-03-13,69.73,71.56,65.11,71.56,4951083
2020-03-16,63.61,64.43,57.62,57.62,5565256
2020-03-17,58.47,61.27,54.48,60.79,7262431
2020-03-18,55.93,63.88,47.8727,63.30,5556901
2020-03-19,62.16,62.5047,54.47,58.03,5592540
2020-03-20,58.28,58.43,51.37,51.97,5751173
2020-03-23,51.69,52.50,48.50,50.39,5166845
2020-03-24,52.78,61.87,52.76,59.56,4925282
2020-03-25,59.00,65.67,54.3367,60.08,5912520
2020-03-26,60.17,66.14,60.0154,65.66,3445726
2020-03-27,62.55,63.9851,59.68,60.17,4114317
2020-03-30,60.68,64.95,60.28,64.42,3754828
2020-03-31,63.90,64.85,61.41,62.92,5369586
2020-04-01,59.42,62.15,59.12,60.605,5451539
2020-04-02,59.92,61.63,59.79,61.03,3716187
2020-04-03,60.91,61.51,58.85,59.55,6192903
2020-04-06,62.70,65.73,62.18,65.29,3475714
2020-04-07,68.28,68.792,64.64,64.82,4136384
2020-04-08,65.33,66.41,63.9398,65.06,3171849
2020-04-09,66.23,67.69,65.74,66.54,2877355
2020-04-13,65.56,65.745,63.49,64.15,1985084
2020-04-14,65.33,66.25,64.38,66.14,3233342
2020-04-15,64.79,65.14,63.9428,64.89,2366080
2020-04-16,65.01,65.225,63.31,63.77,2105459
2020-04-17,65.98,67.55,65.70,67.50,2764604
2020-04-20,66.11,67.67,65.85,66.46,2372407
2020-04-21,64.97,65.55,63.77,64.02,2776962
2020-04-22,65.54,67.70,65.29,66.82,2394208
2020-04-23,67.23,68.19,66.56,66.91,2476992
2020-04-24,67.63,68.68,66.74,68.09,3032785
2020-04-27,68.70,68.99,67.97,68.56,1849726
2020-04-28,69.60,70.6899,68.47,68.66,2096369
2020-04-29,70.27,70.86,68.16,69.86,2300213
2020-04-30,69.63,69.69,67.50,68.52,2463968
2020-05-01,67.14,67.70,65.95,66.60,2162839
2020-05-04,65.93,67.30,65.17,67.17,1704650
2020-05-05,68.02,68.84,67.51,67.68,1466609
2020-05-06,68.30,68.42,66.95,67.12,1549454
2020-05-07,68.13,68.43,67.5349,68.07,2120090
2020-05-08,68.66,68.81,66.90,67.11,2181285
2020-05-11,66.32,66.80,65.71,66.31,2235858
2020-05-12,66.43,66.88,63.89,64.03,2329012
2020-05-13,63.94,64.36,61.34,61.91,3206095
2020-05-14,61.08,63.17,60.15,63.13,3048678
2020-05-15,60.3469,63.47,60.0026,63.43,4548774
2020-05-18,65.29,66.62,64.98,66.33,3259058
2020-05-19,65.90,68.34,65.27,65.60,3509884
2020-05-20,66.62,67.91,65.99,67.81,2158409
2020-05-21,67.40,67.83,66.77,67.40,1977099
2020-05-22,67.21,67.74,66.74,67.58,1387434
2020-05-26,69.27,69.62,68.39,69.33,3085861
2020-05-27,69.98,71.09,69.16,71.06,2217885
2020-05-28,71.75,73.00,71.27,72.08,2998160
2020-05-29,71.87,72.60,70.73,72.28,3310113
2020-06-01,72.09,72.85,71.82,71.95,1628030
2020-06-02,72.13,73.23,71.66,73.22,1577139
2020-06-03,73.68,75.00,73.26,74.79,1523192
2020-06-04,74.26,74.50,73.36,74.19,1973578
2020-06-05,76.37,80.6412,76.37,80.05,3389591
2020-06-08,80.11,80.625,79.26,80.32,1848562
2020-06-09,79.46,79.595,77.70,77.83,1604053
2020-06-10,78.28,78.28,76.67,77.29,1704257
2020-06-11,76.26,76.545,72.51,72.56,2141106
2020-06-12,74.23,74.96,72.21,73.76,1856544
2020-06-15,71.82,75.56,71.68,75.05,1834194
2020-06-16,77.10,78.07,75.445,76.46,1960847
