Date,Open,High,Low,Close,Volume
2020-01-10,56.24,56.475,55.68,55.70,1122082
2020-01-13,55.84,56.20,55.68,56.05,1420868
2020-01-14,56.08,56.30,55.62,55.75,1703854
2020-01-15,55.58,55.68,55.035,55.21,1604764
2020-01-16,55.71,56.37,55.625,56.10,1425614
2020-01-17,56.10,57.16,56.10,57.08,1848263
2020-01-21,56.62,56.81,55.47,55.615,1608727
2020-01-22,55.85,56.15,55.57,55.61,1014749
2020-01-23,55.36,55.575,54.29,55.33,1073779
2020-01-24,55.33,55.34,54.00,54.36,1186327
2020-01-27,53.10,53.65,52.80,52.91,1150763
2020-01-28,53.51,54.34,53.2799,53.85,1605236
2020-01-29,55.90,55.90,54.21,54.48,1638031
2020-01-30,53.90,54.46,53.58,54.43,1162068
2020-01-31,53.99,54.08,52.92,52.95,2459376
2020-02-03,53.51,54.52,53.35,53.87,1299370
2020-02-04,54.62,55.045,54.54,54.58,738248
2020-02-05,55.56,56.37,55.35,56.14,989811
2020-02-06,56.55,56.56,55.90,56.12,1058742
2020-02-07,55.65,55.98,55.31,55.59,733622
2020-02-10,55.35,55.80,55.24,55.80,592905
2020-02-11,55.94,56.89,55.8328,56.34,748708
2020-02-12,56.40,57.00,56.365,56.515,758682
2020-02-13,56.12,56.51,55.64,55.99,1276306
2020-02-14,55.91,56.39,55.905,56.36,766534
2020-02-18,56.02,56.65,54.68,55.26,1324961
2020-02-19,55.56,56.00,55.31,55.91,726063
2020-02-20,55.68,56.37,55.58,55.98,929385
2020-02-21,55.59,55.65,54.37,54.41,1125358
2020-02-24,52.76,53.44,51.25,51.73,1299549
2020-02-25,52.05,52.34,49.12,49.48,1427507
2020-02-26,50.14,50.56,48.90,48.95,1491911
2020-02-27,48.05,48.90,46.46,46.81,1721796
2020-02-28,45.20,45.5784,43.10,44.39,3159853
2020-03-02,44.60,47.11,43.97,47.08,2399142
2020-03-03,46.97,47.63,44.56,44.75,2615197
2020-03-04,45.61,46.34,44.15,46.24,2419238
2020-03-05,44.45,44.79,43.44,43.89,1824263
2020-03-06,41.56,43.83,41.2093,42.28,3040992
2020-03-09,38.42,40.26,35.27,35.41,3157321
2020-03-10,37.37,38.68,34.72,37.57,4202419
2020-03-11,36.11,36.97,35.03,35.92,3555186
2020-03-12,32.72,33.78,30.8575,30.98,4020909
2020-03-13,33.36,35.62,31.59,35.55,3880412
2020-03-16,29.51,32.69,29.17,29.31,2457759
2020-03-17,30.11,30.775,27.60,28.66,3726932
2020-03-18,26.40,27.50,25.34,27.21,2941353
2020-03-19,26.53,29.01,25.51,26.89,2373492
2020-03-20,27.05,28.04,25.14,25.68,3215538
2020-03-23,25.31,25.84,23.31,24.16,2243117
2020-03-24,25.99,29.73,25.84,29.61,2697061
2020-03-25,30.23,34.86,29.78,32.59,2908800
2020-03-26,33.00,34.66,32.25,33.85,2493702
2020-03-27,32.00,34.05,31.51,32.60,2035063
2020-03-30,32.20,33.44,30.96,33.21,2070269
2020-03-31,32.92,33.115,30.88,31.34,2277746
2020-04-01,29.37,29.75,27.02,27.40,2325757
2020-04-02,27.01,28.14,26.09,26.60,2529411
2020-04-03,26.325,27.10,25.80,26.41,1790906
