Date,Open,High,Low,Close,Volume
2020-01-10,89.94,90.595,89.88,90.56,808525
2020-01-13,90.53,91.91,90.44,91.23,1074917
2020-01-14,91.16,92.04,91.0075,92.04,758269
2020-01-15,92.20,92.92,92.09,92.64,1034128
2020-01-16,92.86,93.46,92.77,93.24,1204233
2020-01-17,93.33,93.75,92.52,93.34,935066
2020-01-21,93.67,94.59,93.23,94.38,700621
2020-01-22,94.72,95.21,94.48,94.56,761523
2020-01-23,94.57,95.93,94.49,95.84,701139
2020-01-24,95.60,97.20,95.565,97.12,763107
2020-01-27,97.28,98.06,96.97,97.67,1228350
2020-01-28,97.86,98.3595,97.05,97.05,840075
2020-01-29,96.99,98.10,96.90,98.05,816274
2020-01-30,97.71,98.805,97.37,98.78,743983
2020-01-31,98.05,98.64,97.46,97.69,2172599
2020-02-03,97.93,98.5904,97.49,98.24,776460
2020-02-04,98.05,98.5775,97.62,97.62,1090628
2020-02-05,97.39,98.23,97.00,98.17,751837
2020-02-06,98.21,98.5546,97.84,97.99,984523
2020-02-07,98.36,98.49,97.84,98.06,1000869
2020-02-10,98.24,98.88,97.87,98.81,649042
2020-02-11,98.68,99.33,98.45,98.61,689573
2020-02-12,98.32,98.83,98.07,98.65,649270
2020-02-13,98.76,100.22,98.71,100.22,685061
2020-02-14,100.40,100.74,99.88,100.43,714985
2020-02-18,100.72,102.17,100.45,101.81,1066945
2020-02-19,101.66,101.98,101.12,101.54,894733
2020-02-20,101.16,101.74,101.02,101.09,1309365
2020-02-21,100.71,105.51,100.375,103.60,2333689
2020-02-24,103.31,103.31,100.94,100.94,1312558
2020-02-25,100.94,101.33,98.34,98.40,975091
2020-02-26,98.76,99.30,97.16,97.20,978438
2020-02-27,96.78,97.62,93.54,93.61,1451857
2020-02-28,91.38,91.91,88.60,89.49,1847867
2020-03-02,90.00,94.99,89.59,94.91,1534550
2020-03-03,94.69,97.53,94.10,94.49,1527005
2020-03-04,95.68,100.73,95.68,100.26,1217490
2020-03-05,98.39,100.34,98.05,99.67,988961
2020-03-06,96.88,99.71,95.345,99.31,1995707
2020-03-09,95.79,97.95,93.11,95.37,1250970
2020-03-10,96.39,98.285,92.31,96.19,997232
2020-03-11,94.11,94.135,88.15,89.55,1454247
2020-03-12,81.51,83.44,77.83,80.10,2171880
2020-03-13,83.83,84.38,76.8801,81.57,1233380
2020-03-16,75.50,78.26,67.61,68.11,1342795
2020-03-17,69.97,74.98,67.2708,74.83,1861789
2020-03-18,70.51,70.835,60.05,65.57,2921204
2020-03-19,65.26,72.17,61.73,68.36,1860865
2020-03-20,69.25,72.105,65.27,65.55,1976268
2020-03-23,64.01,66.45,61.215,62.91,1412427
2020-03-24,65.70,71.75,65.08,71.04,1116696
2020-03-25,70.81,75.88,67.75,72.66,1112863
2020-03-26,72.86,80.31,72.32,79.34,1217528
