Date,Open,High,Low,Close,Volume
2020-01-10,182.49,184.02,180.895,182.53,441783
2020-01-13,182.96,185.00,181.53,184.45,481008
2020-01-14,184.39,186.665,182.98,185.26,682674
2020-01-15,185.71,189.07,184.15,187.06,777651
2020-01-16,186.76,192.425,186.73,191.46,479035
2020-01-17,190.63,191.66,187.10,188.76,359456
2020-01-21,187.33,192.19,186.41,190.95,488915
2020-01-22,192.29,193.39,190.67,191.20,263351
2020-01-23,190.67,192.61,189.08,192.00,377639
2020-01-24,192.75,193.96,191.19,192.56,301002
2020-01-27,189.37,193.5065,188.11,193.01,389213
2020-01-28,193.20,195.145,192.4701,193.51,660362
2020-01-29,194.37,197.53,194.37,195.76,554250
2020-01-30,194.58,197.04,193.265,196.92,443367
2020-01-31,196.96,199.4895,193.03,194.04,471547
2020-02-03,195.25,196.89,194.27,194.84,445183
2020-02-04,197.86,200.46,196.57,197.72,462793
2020-02-05,198.94,199.97,193.96,194.30,403611
2020-02-06,194.83,202.40,194.46,198.41,410927
2020-02-07,198.24,202.37,197.00,200.03,400151
2020-02-10,199.76,203.22,199.39,202.64,342254
2020-02-11,204.35,205.52,202.16,203.25,410770
2020-02-12,203.60,203.60,200.50,201.81,461386
2020-02-13,200.00,207.28,198.475,205.41,438223
2020-02-14,205.62,212.845,205.62,212.32,1002425
2020-02-18,211.87,214.22,210.56,212.27,499060
2020-02-19,214.90,219.85,213.78,215.67,451529
2020-02-20,215.70,216.84,210.36,216.44,347955
2020-02-21,215.70,216.15,210.71,212.31,339364
2020-02-24,206.14,208.80,202.71,207.31,480505
2020-02-25,209.16,210.82,194.27,196.73,775028
2020-02-26,188.00,198.26,179.06,180.01,3118545
2020-02-27,174.54,187.34,172.7743,183.75,1873143
2020-02-28,182.99,190.00,176.62,189.97,1255272
2020-03-02,180.00,184.22,175.5112,181.51,1433799
2020-03-03,181.04,182.71,171.06,174.26,827142
2020-03-04,177.08,180.38,175.00,179.05,584555
2020-03-05,176.65,181.27,176.03,180.88,708190
2020-03-06,177.49,180.15,173.00,179.30,669228
2020-03-09,169.77,177.76,167.34,172.67,612742
2020-03-10,175.40,182.74,172.20,180.53,693642
2020-03-11,175.64,176.74,167.77,172.11,626851
2020-03-12,161.55,174.785,158.21,165.67,1073043
2020-03-13,170.63,171.4894,151.81,165.07,681264
2020-03-16,150.18,156.91,135.51,137.28,853701
2020-03-17,139.68,141.59,124.61,130.11,1167432
2020-03-18,123.20,137.52,121.00,130.01,937828
2020-03-19,131.20,151.01,128.37,139.99,886976
2020-03-20,139.71,154.25,138.78,142.60,631070
2020-03-23,143.28,149.96,129.09,143.80,1849597
2020-03-24,150.80,162.18,148.00,157.51,596247
2020-03-25,158.98,172.48,158.21,166.43,735738
2020-03-26,167.10,179.99,167.00,177.77,554761
2020-03-27,173.12,182.47,171.43,175.75,777341
2020-03-30,178.27,178.99,171.00,174.58,599109
2020-03-31,171.10,176.95,163.53,165.68,856985
2020-04-01,159.88,164.77,155.08,159.17,513504
2020-04-02,155.51,171.175,155.51,167.04,307593
2020-04-03,165.81,171.10,162.27,164.92,447466
2020-04-06,170.12,173.95,168.705,171.90,691844
2020-04-07,176.27,179.20,164.39,165.67,519680
2020-04-08,168.30,177.60,162.9896,175.87,267177
2020-04-09,179.73,186.09,176.335,182.94,379220
2020-04-13,181.63,184.2342,175.39,180.00,532770
2020-04-14,183.38,189.64,182.2589,185.16,340304
2020-04-15,184.55,188.44,181.5255,187.42,369371
2020-04-16,189.05,195.99,185.78,192.35,338944
2020-04-17,195.35,201.8126,192.41,199.34,354296
2020-04-20,199.21,206.56,196.51,203.98,517468
2020-04-21,201.95,203.97,191.895,197.51,297765
2020-04-22,200.24,202.46,198.37,200.01,258161
2020-04-23,200.91,209.8353,199.15,206.16,484002
2020-04-24,202.74,205.02,196.31,203.83,440691
2020-04-27,206.60,206.86,197.68,198.91,516126
2020-04-28,199.95,200.00,190.69,191.65,599844
2020-04-29,196.75,200.16,193.7493,196.55,511263
2020-04-30,195.54,203.105,195.54,199.72,689772
2020-05-01,196.82,199.65,191.91,194.89,317306
2020-05-04,195.28,197.81,191.38,192.89,579532
2020-05-05,195.16,204.67,194.805,201.26,398685
2020-05-06,203.17,209.88,202.79,206.56,446530
2020-05-07,210.00,216.66,207.99,215.15,769696
2020-05-08,202.99,225.8899,200.00,217.63,867326
2020-05-11,219.29,228.79,218.01,224.73,799098
2020-05-12,224.75,227.94,220.07,220.70,388993
2020-05-13,208.00,208.00,190.36,195.02,2416716
2020-05-14,192.04,203.12,191.067,201.56,916435
2020-05-15,201.90,205.87,200.89,203.98,558622
2020-05-18,207.90,211.30,199.52,201.26,552032
2020-05-19,201.62,203.99,195.41,195.66,405269
2020-05-20,199.32,199.77,193.02,195.45,430767
2020-05-21,195.04,196.54,186.68,193.89,404901
