Date,Open,High,Low,Close,Volume
2020-01-10,94.65,94.99,94.04,94.41,1429171
2020-01-13,94.56,95.08,94.12,95.07,1517034
2020-01-14,94.75,95.63,94.69,94.93,1907529
2020-01-15,94.08,95.00,93.82,94.32,2023912
2020-01-16,95.00,95.54,94.88,95.39,2203226
2020-01-17,95.47,97.10,95.41,97.10,2501504
2020-01-21,96.31,96.45,94.94,95.49,2076197
2020-01-22,95.77,96.08,95.37,95.95,1640439
2020-01-23,95.31,95.78,94.03,95.53,1992479
2020-01-24,95.66,95.66,92.50,93.52,1924172
2020-01-27,91.17,91.81,90.165,90.35,2104549
2020-01-28,91.18,92.5397,90.64,92.00,1755484
2020-01-29,92.52,93.02,91.90,91.91,1290033
2020-01-30,90.99,93.20,90.68,93.11,1442480
2020-01-31,92.04,92.60,90.58,91.06,2695880
2020-02-03,91.65,93.00,91.44,91.50,1508409
2020-02-04,93.21,94.42,93.20,93.53,2080855
2020-02-05,95.33,96.92,94.53,95.64,3808567
2020-02-06,96.58,96.62,95.32,95.33,1762505
2020-02-07,94.71,95.35,94.2331,94.67,1510300
2020-02-10,94.38,94.92,93.98,94.89,1178735
2020-02-11,95.35,96.83,94.98,95.87,1490552
2020-02-12,96.60,97.2425,95.93,95.95,1535764
2020-02-13,95.52,95.91,95.02,95.57,1449618
2020-02-14,94.59,94.935,93.89,94.48,1195688
2020-02-18,93.87,94.74,92.47,93.18,1442573
2020-02-19,93.50,93.65,93.07,93.10,1421919
2020-02-20,93.04,94.50,92.98,93.78,1422240
2020-02-21,92.93,93.33,91.43,92.60,2103102
2020-02-24,89.11,89.56,87.05,87.83,3387223
2020-02-25,88.22,88.22,83.483,84.06,2961217
2020-02-26,84.77,85.08,81.84,81.92,3067878
2020-02-27,79.31,80.67,77.26,77.52,3928182
2020-02-28,74.89,75.9431,73.19,75.45,5093043
2020-03-02,76.02,79.73,75.29,79.56,5089139
2020-03-03,79.47,80.13,74.38,75.06,3844487
2020-03-04,76.44,77.21,73.71,77.17,3976065
2020-03-05,74.06,74.18,71.27,72.26,3709377
2020-03-06,68.47,71.79,67.95,69.81,5168639
2020-03-09,63.75,65.83,57.375,58.24,7662053
2020-03-10,62.07,63.22,59.39,62.87,7946344
2020-03-11,60.05,60.61,57.20,57.97,5757006
2020-03-12,52.82,53.05,46.30,46.31,7775761
2020-03-13,51.81,52.99,46.64,52.92,8143862
2020-03-16,44.00,48.07,43.17,43.35,6806986
2020-03-17,44.56,46.97,40.00,46.77,8187837
2020-03-18,42.57,47.90,41.94,46.18,7466490
2020-03-19,44.77,47.89,43.01,44.37,5083796
2020-03-20,45.22,46.31,42.01,42.26,6519191
2020-03-23,41.01,42.00,38.62,39.22,6673425
2020-03-24,42.87,47.98,42.17,47.47,4764071
2020-03-25,50.50,56.41,47.25,51.61,5927509
2020-03-26,52.47,57.78,52.36,54.65,5747916
2020-03-27,51.57,55.345,50.7762,53.04,4724639
2020-03-30,52.15,54.12,51.035,53.75,3226989
