Date,Open,High,Low,Close,Volume
2020-01-10,41.20,41.52,40.86,41.07,912691
2020-01-13,41.10,41.2787,40.50,41.04,759701
2020-01-14,41.00,41.07,40.49,40.60,1070822
2020-01-15,40.20,40.62,39.94,40.24,1752195
2020-01-16,40.54,40.945,40.54,40.93,712096
2020-01-17,41.09,41.40,41.01,41.26,881595
2020-01-21,41.06,41.41,40.67,41.22,1523533
2020-01-22,41.47,41.555,40.99,41.09,757249
2020-01-23,40.88,41.245,40.36,41.11,716635
2020-01-24,41.12,41.21,40.19,40.37,583609
2020-01-27,39.58,39.96,39.35,39.54,799615
2020-01-28,39.68,40.23,39.25,40.15,1058261
2020-01-29,40.17,40.44,40.07,40.17,1065594
2020-01-30,39.75,40.04,39.3938,39.94,991391
2020-01-31,39.61,39.95,38.99,39.15,1156688
2020-02-03,39.39,39.89,39.18,39.47,1429683
2020-02-04,40.10,40.30,39.40,39.41,789163
2020-02-05,40.01,40.575,39.79,40.36,1060263
2020-02-06,40.48,40.48,39.075,39.11,1335229
2020-02-07,38.84,39.23,38.35,38.89,1063771
2020-02-10,38.75,39.44,38.69,39.36,953830
2020-02-11,39.65,40.44,39.51,40.18,866677
2020-02-12,40.39,41.13,40.12,40.77,1549487
2020-02-13,40.49,40.89,40.39,40.80,1122535
2020-02-14,40.88,40.90,40.185,40.50,1088982
2020-02-18,40.26,40.65,39.83,40.15,1231468
2020-02-19,40.27,40.28,39.395,39.50,986195
2020-02-20,39.44,39.73,39.2101,39.42,1218896
2020-02-21,39.13,40.09,39.06,40.02,1075336
2020-02-24,39.03,39.76,38.24,39.43,2300405
2020-02-25,39.58,39.58,37.94,37.96,1754652
2020-02-26,38.18,38.50,36.8838,37.08,1915499
2020-02-27,38.33,40.09,37.65,39.42,4043936
2020-02-28,38.59,39.42,37.40,38.13,3661267
2020-03-02,37.73,39.04,37.10,38.83,3123367
2020-03-03,38.91,39.87,38.02,38.56,2239029
2020-03-04,39.14,40.29,38.98,40.24,2348991
2020-03-05,39.38,39.77,38.91,39.12,2181176
2020-03-06,37.82,38.5835,37.525,38.24,3797272
2020-03-09,35.29,35.41,33.16,33.22,2935217
2020-03-10,34.12,34.29,32.2211,34.14,2691547
2020-03-11,33.06,33.26,31.79,32.54,2506264
2020-03-12,30.44,31.16,28.95,29.61,3349419
2020-03-13,31.08,32.45,29.87,32.45,2854256
2020-03-16,29.12,30.90,28.559,29.15,2383600
2020-03-17,29.65,31.19,29.00,29.86,2810946
2020-03-18,27.98,28.61,26.30,27.16,2774702
2020-03-19,27.04,29.14,26.405,26.98,1952801
2020-03-20,27.42,27.5699,25.04,25.13,2708195
2020-03-23,25.08,25.92,23.77,23.80,2913122
2020-03-24,24.80,27.80,24.77,27.60,1803617
2020-03-25,27.61,31.37,27.33,30.41,2697648
2020-03-26,30.85,32.33,30.41,31.49,1978204
2020-03-27,30.17,30.51,29.16,29.84,1906725
2020-03-30,29.86,30.89,28.73,30.51,1217116
2020-03-31,30.43,32.26,30.03,31.73,1867117
2020-04-01,30.28,30.97,29.52,30.79,1676644
2020-04-02,30.76,32.21,30.31,30.82,1893701
2020-04-03,30.86,31.00,29.86,30.56,1428112
2020-04-06,31.68,33.31,31.68,33.13,1177534
2020-04-07,34.01,34.32,32.485,32.58,1373825
2020-04-08,33.05,34.17,32.66,33.80,1100311
2020-04-09,34.18,34.97,32.745,33.55,2087947
2020-04-13,33.43,33.45,32.08,32.32,1292143
2020-04-14,33.18,34.1362,32.69,33.70,1485494
2020-04-15,32.56,33.04,32.115,32.55,1407618
2020-04-16,32.53,32.80,31.65,32.65,1727278
2020-04-17,33.40,34.97,33.34,34.91,2188364
2020-04-20,34.00,34.69,33.40,33.64,1831713
2020-04-21,33.45,34.01,32.41,32.44,1583085
2020-04-22,33.29,33.41,32.60,33.09,748339
2020-04-23,33.53,34.23,33.24,33.37,1401244
2020-04-24,33.68,34.12,33.34,33.98,1269262
2020-04-27,34.06,35.14,33.85,34.96,1780055
2020-04-28,35.94,37.20,35.87,37.12,1813442
2020-04-29,38.00,38.15,36.44,36.53,1839581
