Date,Open,High,Low,Close,Volume
2020-01-10,90.51,92.39,89.87,90.26,9670161
2020-01-13,91.05,92.73,90.5485,90.97,10372100
2020-01-14,91.13,91.61,90.29,90.56,7801839
2020-01-15,90.75,91.18,89.25,89.67,7259093
2020-01-16,90.22,92.229,89.82,91.79,9295519
2020-01-17,93.00,96.17,92.95,95.91,23694370
2020-01-21,95.33,95.7199,93.4229,94.54,10868540
2020-01-22,95.26,95.39,92.71,92.97,8342302
2020-01-23,92.85,92.95,91.46,92.00,11282020
2020-01-24,92.68,93.25,88.83,89.65,9471659
2020-01-27,87.304,88.22,86.45,87.05,9240203
2020-01-28,88.15,89.54,87.3861,89.15,9186993
2020-01-29,88.66,89.02,87.35,88.23,8167966
2020-01-30,87.31,87.86,86.19,87.78,8379356
2020-01-31,87.05,87.1677,85.04,85.31,9503569
2020-02-03,85.55,86.58,85.16,86.48,7794550
2020-02-04,88.25,88.95,87.37,88.93,9236376
2020-02-05,90.99,91.14,89.27,90.91,14220870
2020-02-06,88.06,90.775,86.19,90.61,21059030
2020-02-07,89.62,90.03,87.38,87.42,10725090
2020-02-10,86.78,88.635,86.50,88.60,7481257
2020-02-11,89.37,91.47,88.90,90.00,9452795
2020-02-12,91.65,92.44,91.29,91.72,9824153
2020-02-13,91.03,91.3799,89.7772,90.03,8428261
2020-02-14,90.55,90.80,88.79,89.60,6256463
2020-02-18,87.83,89.00,87.525,88.03,7251738
2020-02-19,88.92,90.62,88.65,90.56,7820938
2020-02-20,90.81,91.88,88.68,89.47,9754899
2020-02-21,88.56,89.03,86.33,87.03,12260940
2020-02-24,83.90,84.83,82.71,83.32,12158500
2020-02-25,83.94,84.40,79.64,80.22,14724970
2020-02-26,81.00,82.03,79.09,79.66,13137750
2020-02-27,77.13,78.19,75.33,75.94,17898300
2020-02-28,73.76,79.81,73.34,78.30,20905480
2020-03-02,79.015,80.71,77.13,80.56,15043360
2020-03-03,80.82,82.65,77.83,78.56,16356240
2020-03-04,79.12,81.91,78.05,81.80,9894894
2020-03-05,79.46,81.37,78.70,79.17,9396192
2020-03-06,76.33,78.08,75.83,77.47,11536520
2020-03-09,72.40,76.10,71.83,72.64,13898510
2020-03-10,74.80,79.04,74.16,78.89,13615620
2020-03-11,76.29,77.79,73.72,74.62,13385130
2020-03-12,69.52,72.53,67.00,67.02,19386250
2020-03-13,71.18,76.67,67.26,75.81,15971420
2020-03-16,68.28,71.17,64.46,64.48,16134660
2020-03-17,65.91,69.81,62.20,68.86,16864540
2020-03-18,63.56,65.56,58.00,61.19,18381230
2020-03-19,61.12,67.55,59.04,65.00,17127380
2020-03-20,65.03,67.98,60.79,60.91,16591460
2020-03-23,61.55,64.86,59.11,62.53,14920270
2020-03-24,66.00,67.62,62.19,65.46,18966800
2020-03-25,65.90,66.96,62.46,63.08,15969790
2020-03-26,64.00,69.655,63.25,68.98,15837900
2020-03-27,66.50,69.12,65.93,66.59,9739098
2020-03-30,67.19,69.50,66.06,69.03,9880831
2020-03-31,69.30,70.36,66.66,67.65,13216270
2020-04-01,65.00,68.70,65.00,65.90,14167920
2020-04-02,65.87,68.26,65.31,68.02,15432870
2020-04-03,67.68,68.69,64.55,65.23,8600729
2020-04-06,68.50,71.37,67.65,70.95,12153090
2020-04-07,73.66,74.90,70.86,72.73,11285560
2020-04-08,73.70,74.375,72.42,73.33,10695610
2020-04-09,74.62,74.84,70.00,71.58,15465070
2020-04-13,71.71,73.51,71.44,73.30,7896541
2020-04-14,75.00,77.665,74.975,77.55,11314130
2020-04-15,75.864,76.34,74.03,75.99,9951706
2020-04-16,76.86,77.69,75.38,76.85,8819658
2020-04-17,77.32,78.25,75.48,76.17,9925952
2020-04-20,75.022,76.23,74.10,74.31,7217662
2020-04-21,73.31,73.97,71.75,71.84,9273758
2020-04-22,73.79,75.34,72.75,74.68,7367881
2020-04-23,75.00,76.17,73.76,73.81,7673845
2020-04-24,73.92,76.11,73.66,76.04,6073839
2020-04-27,76.59,77.8201,75.49,75.98,7219462
2020-04-28,77.108,77.78,75.16,75.29,6250473
2020-04-29,77.17,79.24,76.83,78.97,11950170
2020-04-30,80.27,80.87,77.28,78.67,17113450
2020-05-01,76.85,77.59,74.68,75.64,9742126
2020-05-04,75.16,75.94,74.09,75.68,7202849
2020-05-05,76.75,78.81,76.56,77.63,7540822
