Date,Open,High,Low,Close,Volume
2020-01-10,122.10,122.375,120.50,120.72,1271757
2020-01-13,120.68,120.78,119.239,119.97,1392134
2020-01-14,120.04,120.13,118.81,118.96,1828055
2020-01-15,118.51,119.37,117.45,117.77,1409128
2020-01-16,118.39,118.92,117.45,118.05,1853653
2020-01-17,118.21,118.72,117.45,117.68,2094840
2020-01-21,117.25,118.22,117.17,117.80,1853268
2020-01-22,118.13,118.50,117.40,117.41,1770607
2020-01-23,117.34,118.62,116.04,118.21,1989100
2020-01-24,118.02,118.40,115.27,115.76,1548109
2020-01-27,114.07,115.50,113.50,114.85,2678141
2020-01-28,115.11,115.47,114.36,114.48,1558417
2020-01-29,114.73,115.42,113.96,114.27,1365941
2020-01-30,113.48,114.66,113.06,114.18,1627082
2020-01-31,113.84,114.04,111.48,112.19,5115003
2020-02-03,112.56,114.72,112.54,113.83,1662683
2020-02-04,115.78,116.80,115.25,116.35,1510178
2020-02-05,117.07,119.08,117.07,118.74,1715669
2020-02-06,119.34,119.65,118.14,118.19,1266983
2020-02-07,118.02,118.03,116.535,117.43,1059037
2020-02-10,116.89,118.40,116.71,118.26,1373643
2020-02-11,119.04,119.93,118.67,119.70,1260875
2020-02-12,120.48,120.60,119.67,120.06,1388782
2020-02-13,119.76,120.75,119.48,120.60,1290253
2020-02-14,120.91,121.97,120.68,121.78,1307722
2020-02-18,121.58,123.0082,121.02,122.49,1497159
2020-02-19,122.96,123.63,122.565,122.94,1061151
2020-02-20,122.84,124.16,121.94,123.81,1065417
2020-02-21,123.26,123.87,122.12,123.24,1316430
2020-02-24,122.00,123.18,121.05,121.62,1816419
2020-02-25,121.99,122.21,116.56,116.75,2295761
2020-02-26,118.40,121.41,117.96,119.20,2432274
2020-02-27,117.80,119.02,111.85,111.94,2738935
2020-02-28,108.62,110.6533,106.76,108.78,4151995
2020-03-02,109.22,112.00,105.95,111.98,3138075
2020-03-03,111.00,114.314,107.59,109.22,3487332
2020-03-04,109.38,110.50,105.81,109.56,4938746
2020-03-05,106.34,107.16,100.70,101.69,3136919
2020-03-06,97.59,103.42,97.34,102.51,3940181
2020-03-09,96.99,97.82,94.41,94.81,4067486
2020-03-10,97.16,101.92,95.78,101.85,3921190
2020-03-11,99.42,100.97,97.825,98.56,3731523
2020-03-12,92.67,96.46,91.03,91.35,5273933
2020-03-13,95.63,97.13,87.48,92.83,4298352
2020-03-16,84.34,84.34,73.19,73.93,4883698
2020-03-17,74.43,74.67,67.69,69.56,7862775
2020-03-18,65.30,65.95,56.30,59.97,8149994
2020-03-19,59.46,69.33,57.665,65.00,7958815
2020-03-20,65.43,70.00,63.85,63.90,10008900
2020-03-23,62.69,66.43,60.50,62.92,5970214
2020-03-24,67.82,71.80,66.07,71.58,8351476
2020-03-25,73.95,84.856,72.795,81.29,5655682
2020-03-26,82.34,86.83,81.31,85.60,5436631
2020-03-27,81.78,85.78,80.00,82.55,3493106
2020-03-30,82.59,85.50,80.58,84.87,3237503
2020-03-31,84.10,88.79,83.74,86.97,4875767
2020-04-01,82.30,85.37,79.8889,81.09,4468968
2020-04-02,80.00,82.27,75.63,79.40,4137832
2020-04-03,78.58,79.23,74.17,74.75,3534685
2020-04-06,80.00,88.06,78.15,87.18,5382039
2020-04-07,93.66,95.97,84.47,84.81,5867292
2020-04-08,85.75,91.855,84.7002,89.05,3023933
2020-04-09,90.38,92.635,87.8918,88.74,2693982
2020-04-13,89.02,89.02,85.10,87.00,2192341
2020-04-14,88.51,91.36,88.34,90.97,3034483
2020-04-15,86.58,89.35,86.20,88.56,2383547
2020-04-16,88.55,88.82,86.37,87.19,2610677
2020-04-17,90.06,92.02,88.72,91.72,5081026
2020-04-20,90.48,90.48,86.46,86.51,3565677
2020-04-21,83.65,85.51,81.63,82.70,4154852
2020-04-22,85.07,85.98,81.94,83.87,3265862
2020-04-23,84.72,85.33,82.32,82.63,3721585
2020-04-24,83.01,86.30,82.61,85.49,2213955
2020-04-27,86.91,91.10,86.495,90.83,3238419
2020-04-28,94.05,101.08,92.16,92.54,4800132
2020-04-29,97.14,98.70,95.125,97.05,3552799
2020-04-30,95.43,96.08,91.05,91.36,3058056
2020-05-01,88.25,89.58,87.37,88.96,1990071
2020-05-04,87.19,88.80,85.70,88.39,1864336
2020-05-05,90.00,90.98,88.08,88.77,2423184
2020-05-06,89.33,90.285,88.39,88.86,1938626
2020-05-07,90.64,91.865,89.76,89.85,2286414
2020-05-08,91.10,91.60,90.46,91.46,1479998
2020-05-11,90.10,91.41,88.855,90.75,1598148
2020-05-12,90.85,91.2152,86.12,86.62,2301585
2020-05-13,85.95,86.35,82.62,83.72,2193172
2020-05-14,82.26,84.69,79.86,84.52,2171095
2020-05-15,83.73,86.00,82.34,85.31,3067730
2020-05-18,89.90,92.40,88.78,90.63,2581887
2020-05-19,90.54,91.61,87.94,89.89,3319762
2020-05-20,90.82,92.30,90.00,90.89,2432082
2020-05-21,94.50,99.40,93.50,96.87,5012802
2020-05-22,92.98,96.69,91.87,93.88,5340108
