Date,Open,High,Low,Close,Volume
2020-01-10,90.74,91.18,90.59,90.89,1118858
2020-01-13,91.08,91.97,91.08,91.83,926022
2020-01-14,91.78,92.22,91.69,92.14,1293990
2020-01-15,92.27,92.94,92.27,92.56,1717695
2020-01-16,92.79,93.59,92.70,93.52,1131550
2020-01-17,93.90,93.90,93.40,93.46,832751
2020-01-21,93.21,93.85,93.05,93.81,802531
2020-01-22,94.13,94.61,94.10,94.33,669005
2020-01-23,94.13,94.51,93.86,94.41,932232
2020-01-24,94.50,94.93,94.19,94.64,760670
2020-01-27,94.18,94.76,94.01,94.64,867004
2020-01-28,94.73,95.18,94.35,94.36,1010669
2020-01-29,94.52,94.67,94.02,94.47,1800741
2020-01-30,94.30,95.85,94.07,95.73,1212237
2020-01-31,95.77,96.40,94.56,95.05,1324682
2020-02-03,95.39,96.275,95.31,95.84,1019656
2020-02-04,96.33,96.84,96.19,96.23,861910
2020-02-05,96.60,97.08,96.23,96.89,1058945
2020-02-06,96.94,97.18,96.52,96.60,1023298
2020-02-07,96.93,97.54,96.57,97.14,1100309
2020-02-10,97.14,98.04,97.01,97.83,1248577
2020-02-11,98.09,98.44,97.84,98.05,956602
2020-02-12,97.73,98.805,97.31,98.47,1101529
2020-02-13,98.24,99.35,98.16,99.01,1080663
2020-02-14,99.19,100.66,99.061,100.43,1450893
2020-02-18,100.46,100.46,99.81,100.27,1133022
2020-02-19,100.49,100.91,99.95,100.04,704799
2020-02-20,99.55,99.90,98.47,99.12,1171913
2020-02-21,99.11,99.71,98.82,99.43,1226516
2020-02-24,98.49,99.49,98.09,98.93,1288526
2020-02-25,99.09,99.82,96.935,97.05,1384282
2020-02-26,97.35,98.33,96.84,96.90,1490637
2020-02-27,96.16,97.24,91.33,91.34,1922558
2020-02-28,90.05,90.65,86.96,90.26,3320406
2020-03-02,90.90,94.29,90.39,94.08,1857393
2020-03-03,94.06,95.69,90.795,91.31,2056102
2020-03-04,93.63,96.62,93.52,96.56,1543078
2020-03-05,94.90,96.40,94.07,94.92,1681777
2020-03-06,92.90,95.87,92.00,95.52,1577739
2020-03-09,91.47,94.84,90.00,92.04,1966380
2020-03-10,93.81,94.105,90.00,93.34,1925912
2020-03-11,91.85,92.86,89.93,91.28,1971541
2020-03-12,84.99,86.449,79.58,79.59,2767651
2020-03-13,82.86,84.99,78.80,84.98,2672452
2020-03-16,76.50,80.89,75.68,76.12,2481894
2020-03-17,77.63,82.30,76.70,81.64,2568942
2020-03-18,78.40,79.98,73.81,75.89,1888766
2020-03-19,75.30,75.37,71.91,74.00,2460558
2020-03-20,73.64,74.50,70.5151,71.54,2674195
2020-03-23,70.69,71.86,65.37,66.26,2274355
2020-03-24,68.75,72.29,68.43,71.49,2055180
2020-03-25,71.00,73.22,68.13,71.74,2745392
2020-03-26,72.46,77.965,72.00,77.40,1959542
2020-03-27,74.83,78.87,73.93,75.60,1612740
2020-03-30,77.16,78.12,75.10,76.65,1776377
2020-03-31,75.35,76.13,74.2143,75.06,2442902
2020-04-01,72.87,72.92,71.32,72.71,1627301
2020-04-02,71.86,75.66,71.80,75.23,1691104
2020-04-03,74.10,75.39,71.70,72.53,2923918
2020-04-06,74.98,75.50,73.745,74.11,2269505
2020-04-07,76.53,77.425,74.77,74.96,2041234
2020-04-08,75.73,78.58,74.82,78.24,1294767
2020-04-09,78.92,82.92,78.92,81.82,1667859
2020-04-13,81.50,81.82,77.68,78.89,931729
2020-04-14,79.16,79.89,78.31,79.18,1501543
2020-04-15,77.50,77.96,75.77,77.00,1748270
2020-04-16,77.13,77.75,75.615,77.36,1390708
2020-04-17,79.78,80.58,78.26,80.28,1333091
2020-04-20,79.85,80.09,77.90,78.29,998084
2020-04-21,76.69,77.86,76.22,76.57,1210970
2020-04-22,77.56,78.97,77.17,77.87,1740001
2020-04-23,77.85,78.27,76.35,76.50,1435436
2020-04-24,76.81,76.97,75.34,76.10,1332218
2020-04-27,76.87,79.15,76.53,78.62,976828
2020-04-28,80.60,80.60,78.56,78.98,1104899
2020-04-29,80.29,80.615,78.52,79.77,1234646
2020-04-30,78.42,79.2899,77.25,78.34,1331298
2020-05-01,77.31,77.39,76.32,77.13,865456
2020-05-04,76.51,77.44,76.19,77.20,1175744
2020-05-05,77.95,78.3156,77.39,77.48,1531943
2020-05-06,85.23,85.23,78.50,78.55,2333762
2020-05-07,79.38,81.85,79.15,81.21,1757280
2020-05-08,81.82,82.38,81.09,81.31,1032288
2020-05-11,80.43,82.615,80.165,82.05,1264030
2020-05-12,81.98,82.43,80.20,80.25,951575
2020-05-13,79.95,80.64,78.60,79.17,1156924
2020-05-14,78.48,80.00,77.80,79.99,1419720
2020-05-15,79.22,79.71,78.40,79.47,2297231
2020-05-18,81.81,82.83,81.03,82.21,1292084
2020-05-19,81.82,82.53,80.96,81.01,1239277
2020-05-20,81.53,82.65,81.1008,81.71,715940
2020-05-21,80.92,82.15,80.57,80.81,677667
2020-05-22,81.09,81.20,80.44,81.12,591146
2020-05-26,82.43,83.49,82.11,82.77,1083337
2020-05-27,83.80,84.01,82.01,83.97,1879968
2020-05-28,84.88,85.49,83.94,84.89,1096679
2020-05-29,85.11,86.14,84.34,85.46,1878431
2020-06-01,85.47,85.59,84.74,85.05,767328
2020-06-02,85.13,87.32,84.51,86.63,1450685
2020-06-03,87.45,87.91,87.00,87.27,1089583
2020-06-04,86.77,87.19,85.72,86.84,1103234
2020-06-05,88.50,90.16,87.83,89.91,1604906
2020-06-08,89.54,90.20,89.12,89.81,1228348
2020-06-09,88.76,89.20,87.21,87.82,952987
2020-06-10,88.15,88.15,85.875,86.65,1242357
2020-06-11,84.94,84.99,81.54,81.66,1199306
2020-06-12,83.09,83.86,80.26,81.73,1296668
2020-06-15,80.00,82.38,79.26,81.66,1398566
2020-06-16,83.63,84.16,82.085,82.77,1282411
2020-06-17,83.05,83.74,82.16,82.62,1092589
