Date,Open,High,Low,Close,Volume
2020-01-10,63.42,63.8064,63.3091,63.66,4427851
2020-01-13,63.75,64.815,63.71,64.54,5262286
2020-01-14,64.55,64.92,64.41,64.92,5153316
2020-01-15,65.00,65.70,64.93,65.58,3772436
2020-01-16,65.69,66.185,65.61,66.15,3146095
2020-01-17,66.34,67.335,66.22,67.26,6072694
2020-01-21,67.34,68.295,67.26,68.12,4546617
2020-01-22,68.25,68.58,68.13,68.30,3369810
2020-01-23,67.97,68.99,67.90,68.96,3481587
2020-01-24,69.00,69.52,68.86,69.44,5049065
2020-01-27,69.41,70.07,69.34,69.74,4412299
2020-01-28,69.75,70.4423,69.515,70.05,4714571
2020-01-29,70.05,70.33,69.65,70.10,3252148
2020-01-30,70.06,70.90,69.73,70.85,3755428
2020-01-31,70.86,71.10,70.11,70.40,5468989
2020-02-03,70.67,70.775,70.19,70.70,3144607
2020-02-04,70.45,70.7601,69.41,69.54,5504430
2020-02-05,69.40,69.55,68.60,69.03,6441968
2020-02-06,68.75,69.43,68.56,68.84,5625664
2020-02-07,69.03,69.14,68.31,68.38,3732436
2020-02-10,68.54,68.60,68.0899,68.44,3659805
2020-02-11,68.57,68.78,68.27,68.59,3341918
2020-02-12,68.34,68.90,68.17,68.62,3545001
2020-02-13,68.60,69.67,68.54,69.54,4513560
2020-02-14,69.12,69.23,68.76,69.02,5032133
2020-02-18,69.17,69.55,69.15,69.40,5167521
2020-02-19,69.38,69.43,68.60,68.61,4894346
2020-02-20,67.55,69.92,67.53,69.81,5046866
2020-02-21,69.63,70.3714,68.96,68.99,5386374
2020-02-24,68.74,69.47,67.70,67.80,5644286
2020-02-25,67.90,68.13,66.59,66.86,5246595
2020-02-26,66.78,67.5477,66.15,66.19,5026437
2020-02-27,65.78,66.28,62.87,62.88,8529125
2020-02-28,61.70,61.86,59.07,60.36,15575380
2020-03-02,60.66,64.15,60.27,63.93,7744633
2020-03-03,64.73,66.00,63.61,63.90,9656733
2020-03-04,64.64,67.84,64.63,67.80,6517378
2020-03-05,67.00,68.56,66.31,67.57,7867244
2020-03-06,65.51,67.155,63.50,66.87,9790809
2020-03-09,62.86,65.11,61.70,62.16,8520034
2020-03-10,63.09,63.38,58.97,62.02,10316630
2020-03-11,60.44,60.74,57.09,58.18,7726640
2020-03-12,53.82,56.68,50.03,52.19,10790440
2020-03-13,55.12,55.19,51.00,53.97,9862382
2020-03-16,48.92,52.63,47.33,47.62,10451500
2020-03-17,49.01,56.58,48.933,56.56,10298360
2020-03-18,53.01,56.15,50.54,55.92,8141908
2020-03-19,55.92,56.02,50.51,50.90,6855363
2020-03-20,51.01,51.22,46.15,46.36,11839180
2020-03-23,45.68,45.84,41.96,43.23,10345980
2020-03-24,45.57,49.39,44.71,49.04,8055163
2020-03-25,48.91,52.00,47.22,50.14,8206540
2020-03-26,50.00,55.80,49.902,55.14,8650472
2020-03-27,53.22,58.26,53.00,56.01,10065110
2020-03-30,56.72,58.37,56.26,57.99,7222648
2020-03-31,57.00,57.29,53.59,54.14,9808419
2020-04-01,51.90,52.43,49.26,50.14,6933156
2020-04-02,49.41,52.85,49.31,52.40,5471118
2020-04-03,51.59,52.82,49.94,50.27,6180478
2020-04-06,52.53,56.20,52.23,55.40,6795841
2020-04-07,57.36,57.50,54.88,55.12,6086049
2020-04-08,55.28,58.62,54.80,58.18,5636153
2020-04-09,58.91,61.86,58.81,60.33,7530945
2020-04-13,60.00,60.23,57.16,57.72,4771812
2020-04-14,59.07,59.59,58.04,59.00,4522706
2020-04-15,57.98,57.99,55.48,55.89,5571903
2020-04-16,56.22,56.45,55.015,55.32,5003642
2020-04-17,56.50,57.85,56.01,57.47,4648081
2020-04-20,56.76,56.76,55.22,55.53,4436615
2020-04-21,54.91,55.82,54.40,55.50,5497974
2020-04-22,56.48,57.625,56.23,57.05,3663227
2020-04-23,57.01,57.50,56.10,56.80,4653205
2020-04-24,56.91,58.19,56.29,57.73,4860081
2020-04-27,58.19,59.225,57.97,58.48,4661921
2020-04-28,59.21,59.88,57.761,58.06,3713897
2020-04-29,59.22,59.295,57.27,57.37,4590319
2020-04-30,57.44,57.45,55.672,56.73,8494305
2020-05-01,56.18,56.32,54.09,54.41,4758658
2020-05-04,54.47,55.11,53.67,54.92,4480339
2020-05-05,55.24,56.259,55.16,55.63,4002683
2020-05-06,55.93,55.93,53.50,53.64,3796693
2020-05-07,54.28,54.75,53.87,54.23,4697698
2020-05-08,54.81,55.64,54.545,55.41,4349403
2020-05-11,54.87,56.00,54.02,55.81,6947118
2020-05-12,56.04,56.87,55.23,55.52,8898166
2020-05-13,55.17,55.46,53.32,53.79,7166296
2020-05-14,53.23,54.81,52.695,54.75,5028772
2020-05-15,53.60,53.72,51.99,52.54,7756250
2020-05-18,53.96,54.835,53.75,54.42,4266066
2020-05-19,54.09,54.37,53.56,53.57,3199363
2020-05-20,54.19,55.32,53.75,54.83,6340913
2020-05-21,54.73,55.10,53.69,53.83,3198469
2020-05-22,53.72,54.62,53.58,54.58,4437827
2020-05-26,55.50,55.825,54.54,54.66,6801394
2020-05-27,55.65,55.65,54.39,55.01,4483142
2020-05-28,55.69,57.05,55.52,56.91,4551371
2020-05-29,56.53,57.7081,56.18,57.07,6581795
2020-06-01,57.10,58.12,56.52,57.70,3119294
2020-06-02,57.94,58.04,57.07,58.00,4098443
2020-06-03,58.34,59.315,58.10,58.71,3717749
2020-06-04,58.41,58.6598,57.09,57.95,3346267
2020-06-05,58.35,60.02,58.26,58.45,4681570
2020-06-08,58.30,60.47,58.13,60.27,5035949
2020-06-09,59.35,59.69,58.26,59.36,7344153
2020-06-10,59.26,60.275,58.92,59.20,5150069
2020-06-11,58.00,58.19,55.82,56.09,5447569
2020-06-12,57.32,57.45,55.40,56.17,4533730
2020-06-15,55.30,56.96,54.52,56.42,4628187
2020-06-16,57.66,58.03,55.87,56.22,5001014
2020-06-17,56.48,56.515,55.30,56.04,4593228
2020-06-18,55.71,56.20,55.21,56.11,3770337
2020-06-19,56.89,57.10,53.61,53.61,10412150
2020-06-22,53.95,54.82,53.34,54.67,4692717
2020-06-23,55.29,55.44,53.255,53.27,6071064
2020-06-24,52.88,53.05,51.71,52.38,6370309
2020-06-25,52.10,52.25,50.72,51.25,6995173
2020-06-26,51.17,51.8774,50.40,50.92,6729957
2020-06-29,51.37,51.56,50.62,51.56,3956188
2020-06-30,51.65,52.16,51.13,51.85,5075908
2020-07-01,51.86,53.06,51.66,52.87,3873343
2020-07-02,53.29,53.43,52.6747,52.79,3413119
2020-07-06,52.99,53.49,52.06,52.61,3318805
2020-07-07,52.00,52.875,51.65,52.72,3520890
2020-07-08,52.52,53.32,52.445,53.06,3346092
2020-07-09,52.73,52.77,51.42,51.94,3700531
2020-07-10,52.00,53.41,52.00,53.23,4034485
2020-07-13,53.31,53.88,52.87,53.18,3562260
2020-07-14,53.06,54.18,53.05,53.68,6023677
2020-07-15,54.42,54.575,52.91,53.02,4380215
2020-07-16,53.16,53.91,53.05,53.74,3201491
2020-07-17,54.10,54.75,53.93,54.58,3806124
2020-07-20,54.34,54.65,54.055,54.26,3044343
2020-07-21,54.23,55.39,54.22,54.87,3954755
2020-07-22,54.72,56.27,53.96,55.78,3870388
2020-07-23,55.59,56.05,55.17,55.56,3690885
2020-07-24,55.84,56.30,54.65,54.85,2741849
2020-07-27,54.77,54.84,53.945,54.26,3341417
2020-07-28,54.10,55.64,54.10,55.28,2702962
2020-07-29,55.50,55.6187,54.73,55.39,3248597
2020-07-30,55.31,55.525,54.27,55.24,4484248
2020-07-31,54.87,54.98,53.77,54.61,5643630
2020-08-03,54.57,54.61,53.88,54.01,3927600
2020-08-04,53.88,54.73,53.80,54.44,3803598
2020-08-05,54.60,54.64,53.275,53.40,4557665
2020-08-06,53.30,54.07,53.07,53.89,2713519
2020-08-07,53.56,54.93,53.56,54.69,3145052
2020-08-10,54.84,55.3698,54.58,55.07,2255827
2020-08-11,55.27,55.38,54.03,54.19,5215717
2020-08-12,54.52,55.39,54.25,54.86,4673232
2020-08-13,54.62,55.05,54.45,55.01,3926136
2020-08-14,54.15,54.25,53.42,53.56,3122206
2020-08-17,53.56,54.025,53.25,53.59,2725576
2020-08-18,53.58,53.73,52.83,53.05,6647764
2020-08-19,53.37,53.48,52.94,53.19,2594243
2020-08-20,52.85,53.1226,52.08,52.25,3309634
2020-08-21,52.46,52.55,51.8633,52.37,3536874
2020-08-24,52.39,52.95,51.965,52.86,3386084
2020-08-25,53.03,53.06,52.19,52.41,2409164
2020-08-26,52.01,52.22,51.46,51.72,3015505
2020-08-27,51.75,52.36,51.6501,52.20,3543167
2020-08-28,52.30,52.505,51.8599,52.42,2866951
2020-08-31,52.11,52.65,52.04,52.18,3863932
2020-09-01,52.02,52.32,51.5891,51.81,3214258
2020-09-02,51.77,53.49,51.61,53.21,4047112
2020-09-03,53.41,53.94,52.19,52.60,4326023
2020-09-04,52.71,52.87,51.52,52.29,3475658
2020-09-08,52.43,53.3201,51.87,52.85,6763243
2020-09-09,53.16,53.81,52.67,52.85,4665389
2020-09-10,52.06,52.11,51.40,51.56,6263296
2020-09-11,51.53,51.96,51.215,51.76,3803110
2020-09-14,51.99,53.185,51.99,52.86,3705714
2020-09-15,53.12,53.80,52.74,53.01,3519028
2020-09-16,52.80,53.82,52.80,53.29,2842049
2020-09-17,52.98,53.55,52.56,53.52,3841906
2020-09-18,53.15,53.49,52.711,52.81,6289244
2020-09-21,52.72,53.145,52.2084,53.03,4813271
2020-09-22,52.94,53.67,52.7032,53.12,4047522
2020-09-23,53.30,53.30,52.48,52.53,2786670
2020-09-24,52.53,53.19,52.01,53.05,3146340
2020-09-25,52.70,53.8548,52.53,53.81,3061997
2020-09-28,54.00,54.70,53.61,53.71,4436051
2020-09-29,53.95,54.18,53.22,53.70,2952034
2020-09-30,53.98,54.50,53.88,54.22,4659988
2020-10-01,54.30,54.735,53.975,54.62,5565800
2020-10-02,54.31,56.57,54.09,56.26,6697081
2020-10-05,56.32,57.3591,56.27,57.17,5229106
2020-10-06,57.04,58.83,56.92,57.83,4779260
2020-10-07,58.18,58.61,57.68,57.80,3224350
2020-10-08,58.00,58.955,57.90,58.71,3003043
2020-10-09,59.00,59.20,58.38,58.74,3921017
