Date,Open,High,Low,Close,Volume
2020-01-10,144.25,144.95,143.66,144.79,1912849
2020-01-13,144.57,146.65,144.20,145.29,2061346
2020-01-14,145.51,147.24,145.15,147.13,1584823
2020-01-15,147.05,147.75,146.19,147.10,1357010
2020-01-16,147.35,149.05,147.03,148.54,1103946
2020-01-17,148.65,149.4899,147.60,147.77,1437017
2020-01-21,147.73,149.89,147.43,149.11,1628799
2020-01-22,149.30,149.65,145.94,146.01,1582572
2020-01-23,145.90,147.31,144.42,147.25,1561308
2020-01-24,147.21,147.80,144.64,144.82,1893343
2020-01-27,143.75,143.91,141.63,141.63,2061666
2020-01-28,141.83,142.37,139.95,139.99,1422355
2020-01-29,140.28,141.37,139.81,140.03,1667544
2020-01-30,139.03,139.94,136.10,136.45,2639777
2020-01-31,136.00,136.22,132.8601,133.15,2920301
2020-02-03,133.38,135.80,132.53,132.80,2812879
2020-02-04,131.58,139.24,130.01,137.29,5061182
2020-02-05,137.27,140.63,137.25,140.47,2811988
2020-02-06,141.78,142.64,140.02,140.86,2151276
2020-02-07,140.32,141.04,139.29,141.02,1983625
2020-02-10,142.11,143.10,139.83,143.06,2893640
2020-02-11,143.50,144.30,139.87,142.08,3060379
2020-02-12,141.99,142.48,137.98,139.17,4957391
2020-02-13,136.93,140.04,136.51,138.66,2557096
2020-02-14,138.86,139.2706,137.87,138.92,1501071
2020-02-18,138.96,139.58,137.85,139.17,1594349
2020-02-19,138.87,138.87,135.4201,137.01,2267773
2020-02-20,137.02,140.54,136.65,140.53,2202290
2020-02-21,139.85,142.77,139.85,142.25,3180155
2020-02-24,140.39,141.05,139.37,140.78,3097420
2020-02-25,140.78,141.04,134.81,135.28,4040708
2020-02-26,136.34,137.37,132.20,132.23,2228362
2020-02-27,130.04,132.54,125.02,125.80,3834703
2020-02-28,123.82,125.89,119.91,123.08,5790396
2020-03-02,123.45,127.33,120.35,127.22,3437933
2020-03-03,127.08,130.30,121.14,122.47,4913137
2020-03-04,123.32,124.44,120.09,123.49,3673550
2020-03-05,121.40,121.43,117.60,119.90,3553646
2020-03-06,116.96,119.69,115.05,119.06,3613082
2020-03-09,112.50,112.53,103.0001,103.04,6489414
2020-03-10,107.00,112.49,102.78,111.44,6010189
2020-03-11,108.68,109.55,100.00,101.50,5926562
2020-03-12,92.52,95.74,82.76,83.49,7611274
2020-03-13,88.85,91.27,81.60,89.77,7038747
2020-03-16,78.88,78.89,65.32,65.79,5743632
2020-03-17,66.55,67.47,53.96,58.86,10561640
2020-03-18,54.50,55.54,43.52,44.92,12166940
2020-03-19,46.31,59.50,45.50,55.74,10392160
2020-03-20,58.97,63.41,46.16,48.14,9258399
2020-03-23,48.50,52.12,46.05,50.16,10695030
2020-03-24,54.45,57.18,52.5601,54.73,7401777
2020-03-25,55.72,69.54,54.73,62.34,8662163
2020-03-26,62.69,65.49,58.40,62.10,8733597
2020-03-27,60.42,60.46,55.70,58.17,4837796
2020-03-30,57.57,58.00,54.8137,56.27,4848877
2020-03-31,56.61,57.32,52.80,54.86,6516218
2020-04-01,50.75,51.33,46.00,47.04,8728762
2020-04-02,46.12,48.48,42.25,44.01,7678994
2020-04-03,44.21,47.12,44.19,46.72,6759120
2020-04-06,50.60,55.44,49.96,54.06,8207236
2020-04-07,59.00,64.34,59.00,60.88,8424938
2020-04-08,62.00,65.35,60.30,62.91,6692140
2020-04-09,66.00,74.17,65.91,68.17,9096240
2020-04-13,68.60,68.92,62.19,65.30,4123221
2020-04-14,66.11,69.40,65.68,67.75,5105141
2020-04-15,63.80,64.30,59.8001,61.22,5168366
2020-04-16,62.01,62.335,52.11,53.10,8421642
2020-04-17,58.36,61.39,55.51,56.12,9278994
2020-04-20,54.04,57.00,52.24,53.83,6498387
2020-04-21,52.23,54.97,51.80,53.56,6130072
2020-04-22,54.89,55.15,51.50,52.46,5915051
2020-04-23,52.63,55.06,51.41,53.15,5860973
2020-04-24,53.38,53.635,48.63,51.49,10104320
2020-04-27,52.25,58.07,51.5025,57.19,7038027
2020-04-28,60.78,65.66,58.73,63.33,15427660
2020-04-29,66.37,72.58,66.31,68.80,16205680
2020-04-30,66.42,68.64,63.26,66.77,8991969
2020-05-01,63.50,64.65,60.5945,63.20,6430024
2020-05-04,60.40,63.5118,59.40,63.01,3763555
2020-05-05,64.94,66.28,60.09,60.55,5189489
2020-05-06,60.69,61.86,55.25,55.74,7686415
2020-05-07,55.91,58.78,55.27,57.00,6760737
2020-05-08,58.64,60.50,57.81,58.02,8342779
2020-05-11,57.60,57.67,54.91,55.08,9361376
2020-05-12,60.34,60.54,54.50,54.54,16602210
2020-05-13,53.20,54.50,49.22,51.17,13982330
2020-05-14,50.00,53.49,47.25,51.55,10654910
2020-05-15,50.45,52.14,49.38,51.32,7579168
2020-05-18,54.85,57.71,54.7761,56.91,9221226
2020-05-19,57.26,58.92,54.16,56.87,7025048
2020-05-20,58.59,59.36,54.96,55.67,7010020
2020-05-21,55.56,57.31,54.60,56.00,6061111
2020-05-22,56.23,56.40,53.88,54.59,5301519
2020-05-26,58.00,59.52,56.90,59.25,10442140
2020-05-27,62.55,63.30,59.43,63.19,9219958
2020-05-28,63.65,63.79,58.86,59.75,7866607
2020-05-29,57.68,59.38,56.36,57.70,8496086
2020-06-01,57.31,61.80,56.8625,61.60,6509014
2020-06-02,62.99,64.49,62.44,63.45,7797645
2020-06-03,65.70,74.79,65.50,72.88,17321720
2020-06-04,75.12,77.85,69.64,76.73,17516770
2020-06-05,83.39,92.957,83.36,88.60,23237070
2020-06-08,94.88,95.56,89.13,95.50,15401060
2020-06-09,88.00,90.32,83.74,86.47,12537800
2020-06-10,87.56,87.56,78.00,83.01,15585380
2020-06-11,71.69,78.65,70.40,71.92,13082550
2020-06-12,77.75,78.207,72.82,75.98,10647490
2020-06-15,71.87,75.86,70.82,74.39,9850035
2020-06-16,80.95,81.29,74.5901,75.52,11006210
2020-06-17,75.31,75.35,71.51,71.67,8312422
2020-06-18,70.01,72.45,68.58,70.96,8103255
2020-06-19,72.50,72.51,67.00,67.12,13314850
2020-06-22,66.35,68.84,65.09,68.55,6269637
2020-06-23,69.39,72.1099,69.3808,70.13,6921689
2020-06-24,67.93,68.17,62.6601,65.11,10487740
2020-06-25,63.29,66.63,63.0299,64.94,7431965
2020-06-26,63.84,64.69,61.45,61.90,11016460
2020-06-29,62.64,68.18,61.29,68.13,9412896
2020-06-30,71.36,71.50,67.57,68.38,10456540
2020-07-01,69.80,72.93,69.24,69.81,7979604
2020-07-02,71.81,72.96,68.6798,68.81,6470594
2020-07-06,69.72,70.59,67.01,68.93,6075550
2020-07-07,67.50,67.66,65.56,65.93,5294945
2020-07-08,66.00,66.7998,64.38,65.71,6884922
2020-07-09,64.25,64.4008,59.87,61.02,9286317
2020-07-10,60.50,64.24,60.31,63.98,5824104
2020-07-13,64.78,65.14,62.20,63.69,5124295
2020-07-14,63.08,63.96,61.37,61.93,5240531
2020-07-15,64.54,66.72,63.83,66.59,7163095
2020-07-16,65.00,65.61,62.595,62.90,5227218
2020-07-17,62.79,63.5599,62.08,62.40,4937504
2020-07-20,62.15,62.3899,60.12,60.42,5644371
2020-07-21,60.98,62.38,60.39,60.95,5214776
2020-07-22,61.06,62.14,60.12,62.03,4059744
2020-07-23,61.02,62.69,60.61,61.80,3274198
2020-07-24,61.60,62.28,60.30,60.57,3115431
2020-07-27,60.47,61.98,59.03,61.96,4299839
2020-07-28,61.57,65.07,61.35,64.14,5328369
2020-07-29,64.59,65.63,62.65,65.59,3809556
2020-07-30,63.50,64.60,62.6201,63.62,3311303
2020-07-31,63.31,63.90,61.50,62.35,5136773
2020-08-03,61.21,61.79,59.91,61.03,4152661
2020-08-04,61.23,63.63,61.07,62.99,4097731
2020-08-05,63.87,64.58,62.27,62.50,3406670
2020-08-06,62.71,62.71,61.19,61.20,4865148
2020-08-07,61.18,62.54,60.51,62.19,6391315
2020-08-10,65.22,69.1648,63.82,65.47,18253820
2020-08-11,68.16,70.99,66.83,67.15,13635280
2020-08-12,67.80,68.94,65.62,67.83,6876084
2020-08-13,67.17,68.249,65.73,66.02,5499412
2020-08-14,65.38,68.45,65.17,68.18,5334265
2020-08-17,68.35,68.39,66.18,68.18,4441601
2020-08-18,67.37,67.50,63.88,65.13,8189218
2020-08-19,65.12,65.64,63.74,63.88,4962327
2020-08-20,63.33,65.45,62.90,64.87,4220385
2020-08-21,64.80,65.54,63.90,64.52,3014054
2020-08-24,65.05,68.52,63.86,68.50,5515803
2020-08-25,69.36,70.14,66.52,68.65,5053549
2020-08-26,68.48,68.61,65.75,66.31,4363514
2020-08-27,66.62,69.10,66.62,67.57,4207394
2020-08-28,68.10,69.90,66.95,69.84,3676866
2020-08-31,69.81,69.83,67.44,67.85,4089872
2020-09-01,66.65,67.88,65.90,67.20,3491609
2020-09-02,66.64,68.0299,65.96,67.84,3595184
2020-09-03,68.50,70.98,66.87,68.00,5310080
2020-09-04,69.50,72.48,68.84,70.24,6858413
2020-09-08,69.46,70.75,68.79,70.05,3899297
2020-09-09,69.94,70.17,67.96,68.86,4332709
2020-09-10,68.59,69.825,66.00,66.19,4586158
2020-09-11,66.44,66.46,63.38,64.15,5096589
2020-09-14,65.00,67.925,64.5253,67.80,3529138
2020-09-15,68.03,71.825,67.69,71.07,6836278
2020-09-16,71.03,75.20,70.04,74.12,8908450
2020-09-17,71.47,74.24,70.875,71.88,4973249
2020-09-18,71.44,71.90,69.59,69.83,5821492
