Date,Open,High,Low,Close,Volume
2020-01-10,74.625,75.15,74.565,74.88,2288300
2020-01-13,74.90,75.90,74.875,75.585,1936554
2020-01-14,75.625,75.965,75.195,75.61,2682752
2020-01-15,75.89,77.235,75.89,77.07,2060666
2020-01-16,77.26,77.99,77.14,77.59,2855990
2020-01-17,77.74,78.65,77.57,78.60,2891424
2020-01-21,78.51,79.06,78.21,78.98,3016182
2020-01-22,79.09,79.405,78.54,78.775,1799462
2020-01-23,78.725,80.09,78.53,80.03,3067000
2020-01-24,79.895,80.255,79.505,79.88,1962268
2020-01-27,79.575,80.10,78.93,79.27,1898268
2020-01-28,79.475,79.975,79.275,79.91,2001302
2020-01-29,79.735,79.905,79.10,79.34,1924162
2020-01-30,79.385,80.69,79.185,80.565,1858280
2020-01-31,80.275,80.5975,79.785,80.32,3834760
2020-02-03,80.645,80.935,80.275,80.53,1917016
2020-02-04,80.34,80.83,79.39,79.485,2844098
2020-02-05,79.47,80.1575,79.265,79.525,1953698
2020-02-06,79.67,80.62,79.315,80.25,2688298
2020-02-07,80.33,80.54,79.18,79.295,2501416
2020-02-10,79.345,79.625,78.80,78.99,1770108
2020-02-11,79.265,79.79,79.06,79.28,1355706
2020-02-12,78.955,79.65,78.785,79.445,1651824
2020-02-13,79.395,79.895,78.885,79.50,2522132
2020-02-14,79.81,80.48,79.81,80.48,1548758
2020-02-18,80.75,80.88,80.23,80.445,2316970
2020-02-19,80.325,80.64,79.825,79.865,1579918
2020-02-20,79.665,80.135,79.42,79.945,2364418
2020-02-21,79.785,80.295,79.12,79.215,2571566
2020-02-24,78.92,79.115,77.06,77.08,4131776
2020-02-25,77.245,77.385,74.545,74.785,3489842
2020-02-26,74.975,75.4675,73.23,73.435,4264606
2020-02-27,73.78,75.335,70.69,70.71,6428070
2020-02-28,69.05,70.42,67.3225,69.89,8415866
2020-03-02,70.23,71.85,69.585,71.115,6647238
2020-03-03,71.325,73.136,69.97,70.51,5068268
2020-03-04,71.35,74.00,71.26,73.92,3129474
2020-03-05,72.46,72.70,70.395,70.88,6218902
2020-03-06,69.055,71.325,68.36,70.935,4949402
2020-03-09,67.05,68.07,62.555,63.88,7101350
2020-03-10,64.93,67.01,61.09,65.30,8460322
2020-03-11,63.635,63.895,58.87,61.475,7650174
2020-03-12,58.21,58.21,51.9225,52.135,7989730
2020-03-13,54.89,54.99,49.08,53.46,7496440
2020-03-16,49.00,50.91,44.0635,44.31,7457706
2020-03-17,44.645,50.275,44.1475,49.19,10118268
2020-03-18,46.495,51.475,44.58,51.20,7765748
2020-03-19,50.73,50.78,48.22,50.00,4942756
2020-03-20,49.575,52.92,48.66,49.82,10473224
2020-03-23,50.155,50.155,44.00,46.71,6290876
