Date,Open,High,Low,Close,Volume
2020-01-10,192.09,192.64,187.60,188.38,1881258
2020-01-13,188.11,190.00,187.45,188.44,1401638
2020-01-14,189.27,191.59,188.965,190.83,1292252
2020-01-15,189.99,192.62,189.69,190.85,842620
2020-01-16,191.54,192.245,190.33,190.86,855977
2020-01-17,191.12,193.3844,189.67,189.95,1787869
2020-01-21,187.45,191.39,187.20,190.23,2038126
2020-01-22,192.66,194.44,191.38,191.94,1695494
2020-01-23,191.32,194.13,190.91,193.97,1089770
2020-01-24,193.98,194.68,190.46,191.56,853099
2020-01-27,190.00,191.92,189.05,190.90,1028410
2020-01-28,191.45,194.97,190.68,192.75,985352
2020-01-29,192.79,193.79,190.83,192.58,624309
2020-01-30,192.14,192.30,189.86,190.79,723228
2020-01-31,189.90,191.43,187.71,188.30,1003700
2020-02-03,188.96,189.90,188.00,189.12,826569
2020-02-04,191.60,194.96,191.475,192.89,1205772
2020-02-05,193.82,197.66,193.82,197.14,1338429
2020-02-06,198.00,200.385,197.63,199.80,1171613
2020-02-07,198.64,200.81,197.58,200.34,1223818
2020-02-10,199.43,201.46,198.63,200.07,918538
2020-02-11,200.01,201.21,198.10,199.94,994546
2020-02-12,199.67,200.44,197.87,198.72,713387
2020-02-13,198.92,202.595,198.00,201.19,819551
2020-02-14,202.70,206.44,202.22,203.83,1373860
2020-02-18,203.14,205.32,200.72,203.82,903674
2020-02-19,204.21,207.50,203.9818,206.64,805752
2020-02-20,206.64,208.55,205.24,208.34,821689
2020-02-21,207.90,208.24,205.97,207.40,798918
2020-02-24,202.40,204.35,200.385,201.54,1146001
2020-02-25,202.00,202.425,193.6951,195.29,1369600
2020-02-26,196.44,197.66,190.78,190.97,1125411
2020-02-27,188.09,188.41,175.55,175.66,2282582
2020-02-28,170.27,172.39,163.53,172.38,3371225
2020-03-02,173.25,177.22,169.27,177.22,2010424
2020-03-03,178.28,183.45,174.92,177.59,1956885
2020-03-04,179.47,186.80,178.00,185.96,1444846
2020-03-05,181.69,186.19,179.45,182.77,1602017
2020-03-06,176.69,181.31,175.25,179.07,1667461
2020-03-09,168.00,172.09,161.46,164.24,1775356
2020-03-10,168.41,169.92,160.51,165.32,2004217
2020-03-11,161.16,162.81,153.855,155.07,1913865
2020-03-12,144.10,144.70,129.85,131.43,3220877
2020-03-13,141.24,143.2376,122.37,132.98,3842465
2020-03-16,118.23,127.40,107.00,124.75,3623540
2020-03-17,125.58,127.11,110.04,124.45,3369649
2020-03-18,116.43,124.31,107.16,121.25,3366857
2020-03-19,120.00,125.525,114.67,123.06,2497358
2020-03-20,126.60,129.98,116.39,119.70,3165905
2020-03-23,117.25,119.70,104.28,105.64,5876264
2020-03-24,111.14,125.00,107.69,123.82,3815089
2020-03-25,124.75,133.725,123.725,126.61,3302679
2020-03-26,128.39,142.51,127.802,140.69,2699961
2020-03-27,135.00,148.80,135.00,144.88,3154134
2020-03-30,144.20,147.89,140.00,146.44,1793577
2020-03-31,144.60,149.48,142.00,143.36,1792327
2020-04-01,138.58,142.66,135.52,136.88,1643240
2020-04-02,127.00,132.93,117.72,131.22,5828599
2020-04-03,135.01,135.01,125.605,132.17,3291127
2020-04-06,138.05,143.81,137.01,142.26,2402066
2020-04-07,156.49,162.99,149.53,149.59,2491760
2020-04-08,150.01,163.80,149.01,157.77,3432894
2020-04-09,162.64,167.75,161.11,166.24,2346742
2020-04-13,165.88,166.795,157.31,157.63,1783572
2020-04-14,162.00,169.37,161.50,167.83,2112038
2020-04-15,164.00,164.555,159.37,162.36,1735887
2020-04-16,163.31,164.33,159.81,162.15,1358268
2020-04-17,167.28,168.08,160.81,162.70,1540972
2020-04-20,159.89,163.37,156.50,156.62,1520330
2020-04-21,153.21,155.23,151.25,153.02,1437591
2020-04-22,157.00,157.00,152.3734,155.22,1531552
2020-04-23,156.53,158.32,152.4133,153.05,1185458
2020-04-24,155.09,159.09,153.51,158.83,1266681
2020-04-27,160.00,164.06,155.82,163.15,1679522
2020-04-28,166.20,169.29,164.08,167.43,1410290
2020-04-29,169.39,172.7674,168.28,169.42,1230560
2020-04-30,166.95,167.6148,162.39,164.69,1161484
2020-05-01,162.60,164.78,160.75,161.57,968587
2020-05-04,159.59,164.21,158.42,163.75,911789
2020-05-05,164.00,165.61,162.38,163.01,1055084
2020-05-06,164.11,166.96,163.14,165.48,932050
2020-05-07,167.73,168.00,163.67,164.77,860365
2020-05-08,160.80,166.85,159.55,166.06,1129124
2020-05-11,163.02,166.33,162.12,163.30,1262550
2020-05-12,165.19,165.37,160.47,160.52,917685
2020-05-13,161.00,161.00,153.10,155.32,1669252
2020-05-14,152.77,158.275,151.5327,157.96,1376949
2020-05-15,157.23,160.09,155.895,158.49,1112459
