Date,Open,High,Low,Close,Volume
2020-01-10,165.77,167.25,165.12,166.00,1510400
2020-01-13,166.57,167.04,165.20,165.30,930608
2020-01-14,165.21,167.69,164.99,166.66,1199125
2020-01-15,166.10,167.43,165.11,167.08,1250134
2020-01-16,167.76,170.84,167.11,170.50,1807939
2020-01-17,170.70,173.67,170.07,172.53,1299769
2020-01-21,171.55,171.85,169.6753,169.79,1458116
2020-01-22,170.05,170.65,167.66,167.88,1215758
2020-01-23,166.68,168.85,165.15,168.48,1188317
2020-01-24,168.71,169.3074,165.175,166.48,1008753
2020-01-27,162.42,164.03,160.66,162.34,978297
2020-01-28,163.67,166.73,162.58,166.35,1204824
2020-01-29,159.19,164.39,158.34,162.75,2393396
2020-01-30,161.99,165.25,160.22,165.16,1391905
2020-01-31,163.95,165.04,158.84,159.33,1855311
2020-02-03,160.60,163.645,159.715,160.87,1172990
2020-02-04,163.24,167.10,163.23,165.80,1073299
2020-02-05,168.22,168.93,166.86,167.87,829109
2020-02-06,169.05,169.14,165.61,166.12,660330
2020-02-07,164.66,165.11,162.64,163.05,743836
2020-02-10,162.53,165.16,162.16,164.49,575006
2020-02-11,165.11,166.30,164.12,165.53,1003582
2020-02-12,166.95,169.04,166.95,168.37,604422
2020-02-13,167.13,168.42,167.1145,167.88,870513
2020-02-14,167.89,168.64,165.99,166.97,545791
2020-02-18,166.31,166.35,163.53,164.93,859719
2020-02-19,165.50,166.46,160.41,161.79,1487924
2020-02-20,161.92,163.825,160.76,162.05,1091916
2020-02-21,160.73,161.44,157.91,158.10,1571701
2020-02-24,153.11,153.485,150.02,151.08,1470349
2020-02-25,151.84,152.2099,142.26,143.69,2734831
2020-02-26,145.23,148.14,141.93,142.21,2453620
2020-02-27,138.74,142.59,136.13,136.13,1998457
2020-02-28,131.34,147.09,131.05,143.70,3722955
2020-03-02,143.87,143.925,137.09,142.42,2475926
2020-03-03,141.45,144.59,132.63,134.35,2264753
2020-03-04,136.49,138.03,133.70,137.71,2337276
2020-03-05,134.64,135.78,126.63,127.63,2467537
2020-03-06,124.21,129.88,122.82,128.21,2488080
2020-03-09,119.67,122.83,118.07,120.02,2595088
2020-03-10,124.21,131.02,123.275,130.59,3157851
2020-03-11,126.11,127.12,121.395,122.18,1834054
2020-03-12,109.45,116.0833,104.66,104.74,2776071
2020-03-13,110.67,111.51,99.62,109.09,2419466
2020-03-16,99.53,99.716,82.90,86.64,3171754
2020-03-17,88.02,91.22,78.61,90.91,3685063
2020-03-18,84.09,87.74,72.39,78.33,4386256
2020-03-19,76.96,85.72,70.00,83.77,2124895
2020-03-20,85.12,89.57,78.84,79.45,3207578
2020-03-23,78.56,79.46,70.00,72.03,3138468
2020-03-24,76.77,92.15,76.07,90.27,2363107
2020-03-25,90.91,105.43,90.705,98.26,4179563
2020-03-26,100.32,108.22,98.55,107.24,2197580
2020-03-27,101.83,103.15,95.03,96.66,1813960
2020-03-30,95.11,101.32,94.05,100.38,1314006
2020-03-31,99.12,102.57,98.19,100.00,2102296
2020-04-01,94.16,95.34,88.54,92.13,1907891
2020-04-02,92.59,95.85,92.59,95.69,2042047
2020-04-03,94.69,96.88,93.46,95.27,2910941
2020-04-06,102.24,107.80,99.63,106.69,2021325
2020-04-07,112.53,114.67,107.22,107.40,1807498
2020-04-08,109.13,115.74,107.62,114.38,1757229
2020-04-09,116.76,120.52,115.54,119.37,2865519
2020-04-13,119.99,120.40,110.6463,114.05,1468584
2020-04-14,116.70,118.175,114.71,115.53,1110558
2020-04-15,110.40,111.77,105.91,107.19,1793123
2020-04-16,107.28,107.28,104.23,106.71,1877149
2020-04-17,111.31,113.80,110.75,112.54,2101887
2020-04-20,108.89,112.46,106.62,110.48,1769857
2020-04-21,105.34,107.31,104.58,106.34,1449617
2020-04-22,109.01,109.545,105.06,107.37,1230935
2020-04-23,107.59,109.65,105.40,105.83,1536902
2020-04-24,106.75,109.00,104.26,107.74,2213110
2020-04-27,108.62,113.75,108.175,112.74,1433846
