Date,Open,High,Low,Close,Volume
2020-01-10,97.92,98.23,97.69,98.07,1528650
2020-01-13,98.21,98.21,97.25,97.92,1225371
2020-01-14,98.80,100.78,98.56,100.32,2502590
2020-01-15,99.68,99.91,98.61,98.84,1275373
2020-01-16,99.40,99.52,98.63,99.50,1395761
2020-01-17,99.58,100.25,99.34,100.18,1709720
2020-01-21,100.58,100.68,99.34,99.50,2619998
2020-01-22,99.83,100.26,98.95,98.95,1464414
2020-01-23,98.31,100.42,97.78,100.37,1728021
2020-01-24,101.00,101.00,98.15,98.40,1794792
2020-01-27,96.65,97.565,96.33,96.84,2012022
2020-01-28,97.54,98.24,96.65,98.10,2131134
2020-01-29,99.29,100.90,97.86,98.07,2735771
2020-01-30,97.17,97.47,93.89,95.82,2750921
2020-01-31,95.30,95.66,91.82,92.18,1949384
2020-02-03,92.89,94.21,92.60,94.00,2355583
2020-02-04,95.71,96.5995,94.58,95.33,2109915
2020-02-05,96.04,97.02,95.62,96.96,2134507
2020-02-06,97.09,97.48,94.55,94.63,1505608
2020-02-07,93.91,93.91,92.48,93.22,1583646
2020-02-10,92.66,93.37,91.96,93.18,1226891
2020-02-11,93.73,95.11,93.42,93.45,1530388
2020-02-12,94.39,94.97,93.6871,94.92,1971630
2020-02-13,94.47,94.99,93.77,94.54,1609996
2020-02-14,94.56,94.90,92.75,93.30,1433930
2020-02-18,92.74,92.87,91.42,91.98,1651350
2020-02-19,92.47,93.745,92.09,93.38,1147005
2020-02-20,92.35,93.56,92.05,92.92,987804
2020-02-21,92.04,92.63,90.90,91.73,1363002
2020-02-24,88.91,89.18,87.27,88.09,1914574
2020-02-25,89.00,89.02,86.02,86.35,2510828
2020-02-26,86.94,88.73,86.15,86.16,2286447
2020-02-27,84.19,86.26,83.115,83.19,2269574
2020-02-28,80.43,83.08,78.83,82.87,3458347
2020-03-02,83.62,85.36,81.55,85.35,2015248
2020-03-03,85.14,86.481,82.30,83.00,2237705
2020-03-04,84.09,85.825,83.01,85.80,1645549
2020-03-05,82.94,83.40,81.00,81.37,2027377
2020-03-06,77.65,79.86,77.23,78.69,2955755
2020-03-09,72.88,75.70,72.01,74.14,3217534
2020-03-10,76.78,79.01,75.09,78.70,2747662
2020-03-11,76.12,76.40,72.06,72.99,2831437
2020-03-12,67.69,74.93,65.10,67.60,3878419
2020-03-13,71.22,72.65,65.47,70.21,4747759
