Date,Open,High,Low,Close,Volume
2020-01-10,40.00,40.31,39.615,39.65,2112827
2020-01-13,39.65,40.18,39.01,40.16,1894093
2020-01-14,40.40,41.1864,40.18,40.89,1843459
2020-01-15,40.88,41.18,40.67,40.83,1412149
2020-01-16,41.24,41.735,41.03,41.26,1501381
2020-01-17,41.35,41.555,41.00,41.28,1467712
2020-01-21,40.88,41.13,40.14,40.22,2069485
2020-01-22,40.22,40.50,39.26,39.35,1933002
2020-01-23,38.94,39.47,38.17,39.37,2922803
2020-01-24,39.16,39.324,38.175,38.68,1356530
2020-01-27,37.69,38.17,37.34,37.55,1586205
2020-01-28,37.92,38.51,37.58,38.26,1308301
2020-01-29,38.54,38.62,37.98,38.05,1308393
2020-01-30,36.64,37.13,36.44,37.02,1846120
2020-01-31,36.55,36.63,35.95,36.50,1714625
2020-02-03,36.39,36.90,36.26,36.56,1375806
2020-02-04,37.29,37.91,37.20,37.58,1779030
2020-02-05,38.21,39.145,38.21,38.35,2410459
2020-02-06,38.30,38.55,37.88,37.91,1411454
2020-02-07,37.55,37.76,37.17,37.28,1094756
2020-02-10,36.90,37.1921,35.18,35.36,2626436
2020-02-11,35.85,36.78,35.85,36.23,1748310
2020-02-12,36.87,37.20,36.42,36.88,1603520
2020-02-13,36.69,37.33,36.27,36.51,1617571
2020-02-14,36.78,37.02,36.44,36.89,1631691
2020-02-18,36.62,37.05,36.56,36.86,1725248
2020-02-19,37.00,37.27,36.42,36.95,2485317
2020-02-20,39.71,40.1655,38.89,39.45,5043289
2020-02-21,39.37,39.835,38.79,39.14,3776615
2020-02-24,37.59,38.13,36.53,37.76,2506803
2020-02-25,38.00,38.25,35.51,35.67,2456980
2020-02-26,36.00,36.39,34.42,34.74,3200068
2020-02-27,33.74,34.10,31.76,32.27,4687010
2020-02-28,30.85,32.42,29.96,32.40,3737732
2020-03-02,32.98,33.99,32.10,33.91,2976323
2020-03-03,34.28,35.05,32.39,33.07,2998196
2020-03-04,34.04,34.19,32.85,33.96,2388178
2020-03-05,32.79,33.37,31.96,32.50,2258253
2020-03-06,31.18,31.21,27.50,27.86,4462974
2020-03-09,21.35,21.35,12.78,13.12,14856920
2020-03-10,16.00,16.05,11.18,14.15,11967980
2020-03-11,13.60,15.03,12.68,14.45,6887852
2020-03-12,13.08,13.11,10.62,11.12,6777490
2020-03-13,12.37,12.62,9.95,12.48,8029163
2020-03-16,10.83,11.95,9.53,9.83,5371079
2020-03-17,9.86,9.96,6.93,7.21,8110471
2020-03-18,6.40,6.48,3.66,4.73,12363710
2020-03-19,4.78,6.95,4.56,6.39,12669800
2020-03-20,6.59,7.66,6.50,7.30,10565090
2020-03-23,7.23,7.50,5.5101,7.10,6707541
2020-03-24,7.82,8.10,6.85,8.02,6002003
2020-03-25,8.15,9.50,7.08,8.18,6051900
2020-03-26,8.17,8.65,7.515,7.65,6119221
2020-03-27,7.30,7.40,6.51,6.99,7465658
2020-03-30,6.74,6.74,5.25,6.48,12807680
2020-03-31,6.73,7.0899,6.2101,6.91,10281660
2020-04-01,6.42,6.45,5.50,5.89,7578275
2020-04-02,6.01,7.12,5.99,6.32,8426878
2020-04-03,6.76,6.92,5.66,6.33,6516488
2020-04-06,6.71,7.83,6.29,7.21,6954440
2020-04-07,7.89,8.93,7.65,7.86,8605562
2020-04-08,8.06,8.49,7.73,7.99,8020331
2020-04-09,8.76,9.66,8.10,8.61,8643408
2020-04-13,9.16,9.25,8.21,8.55,6772762
2020-04-14,8.22,8.9028,8.06,8.68,5382117
2020-04-15,8.15,8.32,7.65,7.99,4751610
