Date,Open,High,Low,Close,Volume
2020-01-10,18.20,18.346,18.102,18.254,6725210
2020-01-13,18.222,18.224,18.038,18.078,4851640
2020-01-14,18.066,18.277,17.974,18.036,6562300
2020-01-15,17.984,18.2078,17.97,18.078,6624250
2020-01-16,18.188,18.412,18.108,18.218,5883940
2020-01-17,18.228,18.582,18.12,18.558,6853370
2020-01-21,18.712,18.998,18.677,18.728,10882025
2020-01-22,18.764,18.796,18.548,18.574,4988825
2020-01-23,18.47,18.738,18.292,18.732,5414050
2020-01-24,18.708,18.84,18.569,18.714,9678030
2020-01-27,18.46,18.862,18.424,18.798,7309810
2020-01-28,18.786,19.26,18.7508,18.998,13223610
2020-01-29,19.01,19.246,18.96,19.004,10649850
2020-01-30,17.76,19.264,17.604,18.766,23069370
2020-01-31,18.98,19.20,18.108,18.59,14004285
2020-02-03,18.796,19.198,18.796,18.882,11318115
2020-02-04,19.062,19.282,18.192,18.22,13118765
2020-02-05,18.402,18.796,18.324,18.794,10473015
2020-02-06,18.97,19.356,18.82,19.318,8328210
2020-02-07,19.182,19.32,19.08,19.31,5054455
2020-02-10,19.234,19.824,19.234,19.506,10564520
2020-02-11,19.564,19.564,19.232,19.514,6123925
2020-02-12,19.526,19.826,19.486,19.706,4539025
2020-02-13,19.67,19.734,19.466,19.652,4753665
2020-02-14,19.612,19.72,19.516,19.634,3378650
2020-02-18,19.71,19.80,19.406,19.566,3844470
2020-02-19,19.684,19.92,19.598,19.728,4408630
2020-02-20,19.664,19.84,19.376,19.80,4895855
2020-02-21,19.654,20.031,19.634,19.956,6748040
2020-02-24,19.566,19.796,19.266,19.292,7818090
2020-02-25,19.392,19.5492,18.58,18.63,6678095
2020-02-26,18.75,19.096,18.288,18.298,6887805
2020-02-27,18.078,18.87,17.752,18.086,9707225
2020-02-28,17.654,18.052,17.324,17.702,16592840
2020-03-02,17.70,18.306,17.536,18.296,8298755
2020-03-03,18.216,18.96,18.16,18.628,11623980
2020-03-04,18.906,19.276,18.608,19.27,8056085
2020-03-05,18.916,19.179,18.492,18.73,5896070
2020-03-06,18.38,18.574,17.904,18.296,8805150
2020-03-09,17.302,17.328,15.50,16.168,20002925
2020-03-10,16.666,17.43,16.07,17.39,13034630
2020-03-11,16.686,17.022,16.40,16.66,12199800
2020-03-12,15.414,16.376,14.358,15.302,14645900
2020-03-13,15.992,16.236,14.218,15.242,11998325
2020-03-16,14.136,14.94,13.374,13.472,11226720
2020-03-17,13.732,14.212,12.778,14.116,17689530
2020-03-18,13.386,14.592,12.838,14.502,10950225
2020-03-19,14.362,16.056,14.30,15.278,11455245
2020-03-20,15.164,15.898,14.908,15.182,12236425
2020-03-23,15.274,15.98,14.962,15.612,10288680
2020-03-24,16.13,16.928,15.734,16.004,10059760
2020-03-25,16.016,16.546,15.1676,15.386,8243025
2020-03-26,15.54,16.776,15.54,16.696,7648050
2020-03-27,16.60,17.146,16.481,16.62,7892030
2020-03-30,16.818,17.30,16.43,17.11,6174180
2020-03-31,16.956,17.358,16.818,16.91,8319465
2020-04-01,16.54,17.45,16.202,16.80,8763255
2020-04-02,16.602,17.342,16.447,16.83,7684795
2020-04-03,16.764,16.984,15.845,15.90,7358655
2020-04-06,16.518,17.674,16.408,17.592,12578845
2020-04-07,18.004,18.15,17.142,17.298,14674635
2020-04-08,17.422,18.242,17.044,18.14,12161225
2020-04-09,18.458,18.458,17.566,17.646,9934405
2020-04-13,17.632,17.978,17.286,17.934,7087580
2020-04-14,17.916,18.712,17.888,18.592,6805560
2020-04-15,17.76,18.39,17.66,18.148,6705285
2020-04-16,18.392,18.4252,17.932,18.24,6777235
2020-04-17,18.624,18.798,18.082,18.544,6556225
2020-04-20,18.284,18.872,18.088,18.686,7908780
2020-04-21,18.288,18.888,18.284,18.626,7559455
2020-04-22,18.822,19.28,18.526,19.086,10277295
2020-04-23,19.08,19.452,18.622,19.016,11875160
2020-04-24,19.40,20.402,19.212,20.396,15867145
2020-04-27,20.636,21.00,20.28,20.618,10810170
2020-04-28,20.952,21.00,20.548,20.588,8876380
2020-04-29,20.598,20.8154,20.19,20.224,8832830
2020-04-30,20.00,20.40,19.808,20.286,6965850
2020-05-01,19.928,20.494,19.908,20.418,5279435
2020-05-04,20.428,20.698,20.32,20.488,4449470
2020-05-05,20.74,21.088,20.6714,21.02,9781310
2020-05-06,21.222,21.246,20.962,21.01,4983000
2020-05-07,21.212,21.492,20.996,21.034,5725000
2020-05-08,21.308,21.564,21.096,21.442,4665745
2020-05-11,21.438,21.958,21.262,21.816,6298240
2020-05-12,21.964,22.02,21.538,21.546,4962790
2020-05-13,21.478,21.684,20.99,21.30,7816190
2020-05-14,21.152,21.398,20.98,21.366,5780265
2020-05-15,21.422,22.396,21.352,22.344,16829715
2020-05-18,22.59,22.778,21.858,21.952,8731255
2020-05-19,21.84,22.314,21.458,21.812,7760410
2020-05-20,21.938,22.132,21.402,21.558,7781915
2020-05-21,21.664,21.882,21.5202,21.79,5600675
2020-05-22,21.93,22.408,21.79,22.37,6918450
2020-05-26,22.632,22.672,22.18,22.242,7385840
2020-05-27,23.16,24.068,22.5361,23.952,20579785
2020-05-28,24.13,24.35,23.65,23.796,11298880
2020-05-29,23.78,24.504,23.6659,24.404,12769185
2020-06-01,24.41,24.886,24.41,24.532,7819545
2020-06-02,24.258,24.784,24.218,24.752,6455615
2020-06-03,24.80,24.802,24.24,24.574,7131535
2020-06-04,24.55,24.828,24.16,24.476,8005830
2020-06-05,24.798,24.84,24.169,24.426,7780715
2020-06-08,24.058,24.448,23.898,24.448,7087980
2020-06-09,24.40,24.6068,24.252,24.488,4937775
2020-06-10,24.678,24.822,24.12,24.258,3960235
2020-06-11,24.052,24.664,23.722,23.842,7411235
2020-06-12,24.05,24.366,23.428,23.69,4685190
2020-06-15,23.334,24.408,23.226,24.294,6332800
2020-06-16,24.58,24.796,24.192,24.768,6058325
2020-06-17,24.932,25.19,24.80,24.96,6006385
2020-06-18,25.00,25.218,24.846,25.128,5730350
2020-06-19,25.514,25.676,24.768,25.534,12680065
2020-06-22,25.348,26.158,25.246,26.02,6168715
2020-06-23,26.042,26.378,25.804,25.851,8975455
2020-06-24,25.34,26.34,25.34,26.268,8523270
2020-06-25,26.288,26.288,25.7222,26.164,4156250
2020-06-26,26.198,26.47,25.804,25.996,8233915
2020-06-29,26.00,26.539,25.89,26.322,5359940
2020-06-30,26.486,26.5588,26.082,26.358,4894830
2020-07-01,26.432,26.692,26.138,26.536,4525295
2020-07-02,26.86,26.98,26.378,26.49,3606090
2020-07-06,26.852,26.90,26.584,26.752,2942635
2020-07-07,26.636,27.085,26.58,26.846,4117785
2020-07-08,26.83,27.14,26.591,27.122,3672775
2020-07-09,27.30,27.612,27.032,27.54,4883155
2020-07-10,27.54,27.73,27.20,27.684,3257660
2020-07-13,27.858,28.20,27.04,27.116,4290270
2020-07-14,27.116,27.947,26.914,27.932,4605695
2020-07-15,28.298,28.37,27.672,27.84,7059465
2020-07-16,27.818,28.516,27.818,28.43,7691475
2020-07-17,28.71,28.738,28.044,28.154,6627960
2020-07-20,28.40,29.134,28.228,28.938,6872390
2020-07-21,28.824,28.992,28.0102,28.804,8845170
2020-07-22,28.89,29.278,28.804,29.19,8418035
2020-07-23,30.528,30.896,28.851,29.20,16537860
2020-07-24,28.672,29.348,28.3821,29.306,8313975
2020-07-27,29.57,29.586,28.50,28.60,8092370
2020-07-28,28.55,28.906,28.36,28.614,6600435
2020-07-29,28.786,29.30,28.743,29.092,7480845
2020-07-30,28.802,29.012,28.56,28.684,4378280
2020-07-31,28.94,28.94,28.164,28.548,7331575
2020-08-03,28.75,29.642,28.681,29.484,9556915
2020-08-04,29.356,29.736,29.2007,29.646,5471695
2020-08-05,29.684,29.764,29.102,29.446,5120525
2020-08-06,29.546,29.752,29.24,29.628,5182055
2020-08-07,29.568,29.976,29.528,29.62,4961640
2020-08-10,29.664,29.674,29.242,29.43,3677030
2020-08-11,29.602,29.66,28.76,29.022,5878655
2020-08-12,29.20,29.838,28.956,29.816,7740685
2020-08-13,29.718,30.016,29.55,29.742,4901325
2020-08-14,29.642,30.036,29.531,29.72,3799760
2020-08-17,29.788,30.734,29.7531,30.716,5250770
2020-08-18,30.874,31.05,30.24,30.604,4456890
2020-08-19,30.602,30.858,30.484,30.784,4913820
2020-08-20,30.576,30.896,30.378,30.466,5622550
2020-08-21,30.528,31.035,30.40,30.656,7192445
2020-08-24,30.936,30.94,30.38,30.704,4852125
2020-08-25,30.756,30.798,30.408,30.654,7896195
2020-08-26,30.634,30.976,30.412,30.926,5556725
2020-08-27,30.936,31.1118,29.90,30.204,6775440
2020-08-28,30.15,30.247,29.306,29.382,7209020
2020-08-31,29.40,29.836,29.064,29.766,11241560
2020-09-01,29.72,30.355,29.658,29.804,7042850
2020-09-02,29.878,30.134,29.414,29.92,5880330
2020-09-03,29.524,29.688,28.726,29.116,7689660
2020-09-04,29.12,29.30,28.144,28.416,6825650
2020-09-08,27.974,28.302,27.202,27.352,7970495
2020-09-09,27.712,28.421,27.658,28.316,5386185
2020-09-10,28.316,28.554,27.494,27.56,5645965
2020-09-11,27.692,28.02,27.424,27.53,4249465
2020-09-14,27.782,28.046,27.626,27.628,4750735
2020-09-15,27.772,28.29,27.738,28.176,5253015
2020-09-16,28.268,28.31,27.596,27.65,4592350
2020-09-17,27.306,27.8402,27.2017,27.63,4203730
2020-09-18,27.696,28.088,27.314,27.622,7675535
2020-09-21,27.50,27.89,27.314,27.511,5398945
2020-09-22,27.584,28.35,27.37,28.322,5319015
2020-09-23,28.336,28.71,27.856,27.986,5525215
2020-09-24,27.802,28.118,27.602,27.652,4141135
2020-09-25,27.674,27.914,27.344,27.842,8514040
2020-09-28,28.12,28.406,27.886,28.404,4824350
2020-09-29,28.38,28.583,28.164,28.196,4753185
2020-09-30,28.326,28.966,28.216,28.668,7758325
2020-10-01,28.742,28.962,28.304,28.41,6929270
2020-10-02,28.126,28.467,28.024,28.124,4626045
2020-10-05,28.30,28.904,28.236,28.88,4867710
2020-10-06,28.862,28.994,28.222,28.354,4955935
2020-10-07,28.444,29.479,28.444,29.158,6472295
2020-10-08,29.226,29.94,29.04,29.844,5124365
2020-10-09,30.018,30.438,29.7324,29.986,4502300
2020-10-12,30.30,30.58,30.044,30.188,7032345
2020-10-13,30.08,30.676,30.08,30.584,5656625
2020-10-14,30.624,31.414,30.158,30.378,7358040
2020-10-15,30.18,30.766,30.09,30.42,5752145
2020-10-16,30.482,30.844,30.316,30.618,11402660
2020-10-19,30.85,31.00,30.126,30.196,6112460
2020-10-20,30.326,30.498,29.762,29.94,5798415
2020-10-21,30.036,30.246,29.706,29.824,6215085
2020-10-22,28.418,28.464,27.2205,27.404,22069570
2020-10-23,27.536,28.056,27.254,27.964,9742270
2020-10-26,27.782,27.95,26.828,27.17,8192460
2020-10-27,27.322,27.5275,26.822,26.832,6728195
2020-10-28,26.48,27.176,26.246,26.512,6405230
2020-10-29,26.512,26.828,26.186,26.604,6327965
2020-10-30,26.53,26.722,26.20,26.642,6968790
2020-11-02,26.92,27.163,26.3087,26.68,6605650
2020-11-03,27.00,27.472,26.9084,27.198,6252300
2020-11-04,27.51,27.69,27.072,27.166,7542650
2020-11-05,27.384,28.058,27.262,27.796,6350625
2020-11-06,27.78,28.172,27.434,28.09,4239910
2020-11-09,27.09,27.398,25.916,25.92,11129925
2020-11-10,25.642,26.0702,25.556,25.966,9859940
2020-11-11,26.34,26.766,26.284,26.608,4771370
2020-11-12,26.582,26.718,25.804,26.162,5706980
2020-11-13,26.30,26.614,26.038,26.396,5013180
2020-11-16,26.394,26.628,26.196,26.564,9591195
2020-11-17,26.416,26.8417,26.224,26.336,7297170
2020-11-18,26.40,26.512,25.62,25.684,7430405
2020-11-19,25.692,26.357,25.60,26.25,6241115
2020-11-20,26.01,26.28,25.684,25.94,6622630
2020-11-23,26.05,26.984,26.046,26.776,9566870
2020-11-24,27.026,27.15,26.6196,26.804,8476960
2020-11-25,26.778,26.916,26.432,26.78,6155405
2020-11-27,26.998,27.914,26.868,27.874,5583110
2020-11-30,27.77,28.274,27.506,28.162,14473925
2020-12-01,28.17,28.726,27.734,27.934,6746640
2020-12-02,27.934,27.99,27.332,27.354,5030155
2020-12-03,27.25,27.437,26.722,26.96,5263230
2020-12-04,27.126,27.218,26.736,26.876,5266290
2020-12-07,26.932,27.552,26.826,27.444,7120275
2020-12-08,27.398,27.522,27.01,27.312,4918040
2020-12-09,27.20,27.476,26.825,27.116,4405140
2020-12-10,27.076,27.344,26.72,27.19,3750855
2020-12-11,27.062,27.806,27.036,27.732,5792555
2020-12-14,27.89,28.323,27.776,28.106,6661390
2020-12-15,28.212,28.582,28.034,28.226,5175360
2020-12-16,28.23,28.964,28.23,28.846,5558255
2020-12-17,28.952,29.236,28.761,29.102,9307580
2020-12-18,29.332,29.538,29.064,29.416,11590525
2020-12-21,29.05,29.867,28.752,29.734,5834355
2020-12-22,29.698,30.138,29.596,29.954,6495105
2020-12-23,29.96,30.066,29.192,29.38,4179540
2020-12-24,29.404,29.60,29.242,29.376,1845725
2020-12-28,29.586,29.621,28.656,28.658,3820625
2020-12-29,28.796,28.944,28.226,28.60,4144000
2020-12-30,28.682,28.942,28.348,28.552,3146965
2020-12-31,28.644,28.644,28.09,28.116,3568750
2021-01-04,28.18,28.33,27.628,27.942,6991780
2021-01-05,27.844,28.16,27.642,28.138,4283885
2021-01-06,27.87,29.19,27.747,29.174,5514385
2021-01-07,29.135,29.509,29.016,29.424,4595860
2021-01-08,29.432,29.892,29.15,29.862,5349505
2021-01-11,29.768,30.316,29.404,29.90,6538235
2021-01-12,29.836,30.42,29.794,30.35,5636315
2021-01-13,30.498,30.826,30.15,30.636,8151190
2021-01-14,30.712,31.416,30.679,31.288,7670460
2021-01-15,31.296,32.166,31.256,31.496,9251595
2021-01-19,31.702,31.868,31.341,31.49,6038225
2021-01-20,31.514,31.514,30.82,31.07,4742330
2021-01-21,31.079,31.5979,30.982,31.036,3753800
2021-01-22,31.142,31.468,30.838,31.124,6198005
2021-01-25,31.24,31.708,31.10,31.228,5774635
2021-01-26,31.25,31.40,30.218,30.378,5292785
2021-01-27,30.349,31.088,29.302,30.744,10873695
2021-01-28,30.046,31.088,29.098,29.888,10577785
2021-01-29,30.058,30.186,28.316,28.348,10610985
2021-02-01,28.428,29.138,27.822,27.944,7154700
2021-02-02,28.006,28.9117,27.98,28.636,7854825
2021-02-03,28.67,29.32,28.602,28.988,5263750
2021-02-04,29.106,29.342,28.884,29.248,5537385
2021-02-05,29.244,30.454,29.244,30.30,7357445
2021-02-08,30.758,31.518,30.682,31.45,7999935
2021-02-09,31.384,32.1014,31.284,31.70,8232995
2021-02-10,31.964,31.972,30.8721,31.29,6211370
2021-02-11,31.41,32.19,31.348,31.466,7678265
2021-02-12,31.522,32.062,31.522,31.986,4727255
2021-02-16,32.07,32.68,31.922,32.388,7054785
2021-02-17,32.578,34.428,32.578,34.05,10076885
2021-02-18,33.80,34.673,33.558,34.378,7798160
2021-02-19,34.476,34.752,33.936,34.268,6388690
2021-02-22,33.792,34.00,32.928,32.988,7079445
2021-02-23,32.684,33.217,31.632,33.04,6640435
2021-02-24,33.156,33.3861,32.15,32.216,7355225
2021-02-25,32.43,32.868,32.051,32.236,6208720
2021-02-26,32.368,32.474,31.625,31.792,7892110
2021-03-01,32.062,32.774,31.988,32.508,5911830
2021-03-02,32.632,32.732,31.658,31.782,4903640
2021-03-03,31.888,32.316,31.00,31.016,7029745
2021-03-04,30.942,31.028,29.686,30.342,7114935
2021-03-05,30.586,31.192,29.757,31.164,4249855
2021-03-08,31.384,32.546,31.207,32.20,6827910
2021-03-09,32.888,32.996,32.091,32.12,6223745
2021-03-10,32.527,33.762,32.4076,33.498,7904275
2021-03-11,33.726,34.73,33.662,34.046,6571000
2021-03-12,34.358,34.836,33.85,34.20,9424495
2021-03-15,34.228,34.354,33.9525,34.20,4240285
2021-03-16,34.086,34.198,33.766,34.044,4539840
2021-03-17,33.95,33.95,33.02,33.678,5598565
2021-03-18,33.32,34.239,33.32,33.858,4176640
2021-03-19,33.96,34.816,33.724,34.596,10343780
