Date,Open,High,Low,Close,Volume
2020-01-10,131.81,131.81,129.82,130.00,3234039
2020-01-13,130.57,130.74,129.77,129.95,4313199
2020-01-14,129.95,131.86,129.83,130.67,4632403
2020-01-15,130.43,130.43,128.86,129.17,3392366
2020-01-16,130.00,130.23,129.355,130.16,5475961
2020-01-17,130.76,132.04,130.4397,131.70,5487095
2020-01-21,131.09,132.19,130.58,130.86,8631707
2020-01-22,132.02,135.70,131.82,133.34,8899712
2020-01-23,131.42,134.41,129.65,134.25,8598678
2020-01-24,134.80,135.44,129.75,130.52,5606800
2020-01-27,128.65,129.25,126.24,126.31,5891326
2020-01-28,127.15,128.31,126.76,128.04,4397463
2020-01-29,127.55,128.51,125.44,125.49,4537551
2020-01-30,123.22,124.665,122.22,124.42,5521312
2020-01-31,123.36,123.64,119.9599,120.65,5782520
2020-02-03,121.06,123.675,121.06,123.40,5396697
2020-02-04,126.00,127.32,125.36,126.47,4434701
2020-02-05,128.66,132.9054,128.66,132.44,7281760
2020-02-06,133.00,133.00,131.48,132.52,3686554
2020-02-07,131.25,131.25,128.51,128.70,4331746
2020-02-10,127.55,129.70,127.30,129.65,2882681
2020-02-11,130.47,131.98,130.13,130.70,2986832
2020-02-12,131.65,132.94,131.64,132.42,2839108
2020-02-13,131.88,133.39,131.1644,132.81,4268722
2020-02-14,133.48,133.62,131.2713,132.21,2605266
2020-02-18,131.10,131.78,130.59,131.24,3094593
2020-02-19,132.90,134.30,132.21,133.13,3931602
2020-02-20,132.61,133.26,130.34,131.47,2487936
2020-02-21,130.76,130.83,127.96,128.52,4121290
2020-02-24,124.01,125.26,121.25,121.44,7483779
2020-02-25,122.90,123.03,118.015,118.38,6347264
2020-02-26,119.29,120.64,117.63,118.79,5778181
2020-02-27,116.35,118.49,113.07,113.13,8687345
2020-02-28,109.45,116.12,108.61,114.14,11432760
2020-03-02,115.16,119.07,113.32,118.97,7207458
2020-03-03,118.38,120.12,112.21,113.81,9217500
2020-03-04,115.77,119.09,114.34,119.05,5556691
2020-03-05,115.17,117.21,113.71,114.72,6162250
2020-03-06,111.09,113.8732,110.14,113.16,6386222
2020-03-09,105.11,110.08,104.4201,105.04,8454636
2020-03-10,108.83,112.14,104.745,112.12,9206433
2020-03-11,109.54,111.44,105.79,106.50,9636948
2020-03-12,99.42,104.73,96.55,97.53,15158500
2020-03-13,103.31,107.47,98.46,106.04,16040240
2020-03-16,95.88,104.50,93.09,93.50,12389360
2020-03-17,96.03,107.64,95.11,106.15,16243500
2020-03-18,100.05,105.82,94.15,100.00,16413940
2020-03-19,99.39,105.00,97.12,101.57,9298541
2020-03-20,104.50,105.50,97.10,97.60,10253310
2020-03-23,97.35,101.96,94.92,98.44,9680823
2020-03-24,102.145,105.68,99.46,105.36,9385741
2020-03-25,104.33,105.83,98.51,99.16,11862060
2020-03-26,99.40,108.84,99.01,107.76,10443000
2020-03-27,104.00,105.00,100.07,100.50,7579184
2020-03-30,100.40,103.44,100.30,102.02,6950754
2020-03-31,102.02,103.185,99.48,99.93,8970003
2020-04-01,96.10,100.37,96.07,96.89,8229664
2020-04-02,96.26,102.22,96.10,102.02,8353715
2020-04-03,102.44,103.64,98.85,99.98,6587405
2020-04-06,104.58,109.56,103.51,108.96,7189653
2020-04-07,111.69,112.93,105.83,106.26,7762249
2020-04-08,108.19,110.67,106.22,110.17,5426602
2020-04-09,111.00,112.21,107.08,107.69,5902415
2020-04-13,105.50,108.45,105.30,107.67,5209410
2020-04-14,109.52,111.4275,108.97,110.95,8142378
2020-04-15,109.08,109.14,106.76,107.98,5381347
2020-04-16,109.42,111.91,107.81,111.39,5777685
2020-04-17,111.61,114.06,110.73,113.55,6100164
2020-04-20,111.52,115.12,111.30,111.53,7956952
2020-04-21,110.20,110.75,106.50,106.84,8799824
2020-04-22,109.68,112.46,108.61,111.98,10961260
2020-04-23,111.74,113.90,110.18,110.46,5374254
2020-04-24,111.35,114.00,111.04,113.93,5570209
2020-04-27,114.00,116.24,113.02,115.78,4728247
2020-04-28,118.12,119.805,114.07,114.24,5762275
2020-04-29,115.93,119.68,115.87,119.40,4936870
2020-04-30,117.54,117.99,115.19,116.07,5781032
2020-05-01,112.38,113.25,109.45,109.71,5839885
2020-05-04,108.92,110.66,107.84,110.50,4987070
2020-05-05,111.50,113.19,110.80,111.54,5242554
2020-05-06,112.40,113.85,111.98,112.42,3701441
2020-05-07,113.89,114.93,112.62,113.65,3610293
2020-05-08,113.96,115.54,112.75,115.00,4331296
2020-05-11,113.41,115.77,113.41,114.88,2723621
2020-05-12,115.14,115.87,111.34,111.69,3547084
2020-05-13,112.92,112.92,107.38,109.07,4653232
2020-05-14,109.00,110.44,106.42,110.35,4396124
2020-05-15,106.54,108.37,105.45,108.24,7237711
2020-05-18,111.183,115.15,110.26,114.42,6527364
2020-05-19,114.02,115.34,112.53,112.68,4595070
2020-05-20,115.14,118.83,114.64,117.48,4961617
2020-05-21,116.44,117.33,113.38,113.46,4381862
2020-05-22,113.53,113.87,112.32,113.43,3061595
2020-05-26,115.81,117.61,115.51,115.73,4822042
2020-05-27,116.43,117.97,115.54,117.82,4079439
2020-05-28,117.76,118.69,115.51,115.87,3798358
2020-05-29,116.81,119.26,115.66,118.74,5953578
2020-06-01,117.77,118.40,116.83,117.86,2842695
2020-06-02,118.60,122.93,117.84,122.67,7277681
2020-06-03,126.67,128.47,125.64,127.21,7650633
2020-06-04,126.38,129.00,126.29,128.58,5052550
2020-06-05,130.96,135.68,130.55,131.44,7788781
2020-06-08,130.66,133.285,129.63,132.86,5602583
2020-06-09,131.35,132.91,130.15,132.12,4449968
2020-06-10,132.45,132.79,130.99,131.40,4005725
2020-06-11,129.05,129.2208,124.33,124.61,6014011
2020-06-12,127.266,127.74,122.40,123.97,5950875
2020-06-15,121.57,124.53,120.80,124.23,5152867
2020-06-16,128.27,129.13,124.475,126.11,3529595
2020-06-17,127.06,127.865,125.79,126.22,2934184
2020-06-18,125.73,126.63,125.09,125.98,3062581
2020-06-19,128.06,128.24,123.97,124.885,10376890
2020-06-22,124.77,125.46,123.11,125.23,3677664
2020-06-23,126.63,128.095,126.00,126.62,4679048
2020-06-24,125.29,126.80,123.13,123.99,4747121
2020-06-25,124.00,125.34,122.35,125.06,2617173
2020-06-26,124.63,124.8908,122.3965,123.37,9870946
2020-06-29,123.85,124.95,122.42,124.77,3540060
2020-06-30,124.40,127.70,124.35,126.97,5572367
2020-07-01,126.60,126.86,124.67,124.80,4021990
2020-07-02,126.39,127.17,125.02,125.81,4798950
2020-07-06,127.51,130.53,126.20,129.53,4957024
2020-07-07,128.73,129.47,128.25,128.60,3778525
2020-07-08,129.67,129.74,127.69,129.26,3583752
2020-07-09,128.79,131.99,126.90,130.43,4977357
2020-07-10,130.22,131.235,128.96,130.53,2659255
2020-07-13,132.00,133.59,128.49,128.82,4861922
2020-07-14,127.79,132.23,126.71,131.89,4247456
2020-07-15,131.43,132.45,130.09,132.15,3625137
2020-07-16,130.85,132.69,130.51,132.18,3337688
2020-07-17,133.51,135.00,132.25,133.89,4666239
2020-07-20,134.20,137.00,133.19,136.58,4623121
2020-07-21,137.088,137.65,135.26,135.48,7748874
2020-07-22,134.60,135.18,130.49,132.53,10911870
2020-07-23,133.00,133.15,128.32,129.04,7793548
2020-07-24,129.75,131.97,128.11,129.63,5077126
2020-07-27,130.35,132.33,130.04,132.12,3874495
2020-07-28,130.90,131.81,129.72,130.13,3545276
2020-07-29,130.93,132.30,130.59,131.64,2818329
2020-07-30,128.45,129.87,127.74,128.89,4146867
2020-07-31,128.35,128.60,125.43,127.55,8044132
2020-08-03,128.15,129.50,127.68,129.32,4311843
2020-08-04,129.04,132.33,128.71,132.23,5361540
2020-08-05,130.50,132.79,130.48,132.70,4370266
2020-08-06,132.59,133.82,132.03,133.74,2961770
2020-08-07,133.74,134.11,132.47,133.56,2856748
2020-08-10,133.22,135.81,132.47,135.41,5526700
2020-08-11,136.81,138.83,135.65,136.04,5383829
2020-08-12,137.47,139.1399,136.65,138.64,3073749
2020-08-13,138.11,138.60,136.95,137.15,2945103
2020-08-14,137.73,138.31,137.00,137.35,2062933
2020-08-17,137.86,139.24,137.63,138.28,2380521
2020-08-18,138.96,139.455,138.20,139.31,2760749
2020-08-19,139.67,140.88,138.03,138.48,3803285
2020-08-20,137.31,139.13,136.62,138.57,2761194
2020-08-21,138.12,140.49,137.19,140.33,4382515
2020-08-24,140.86,141.81,139.9196,141.02,2841274
2020-08-25,141.58,142.215,140.98,141.66,2840696
2020-08-26,141.32,142.69,141.12,142.45,2974138
2020-08-27,143.06,143.23,140.52,141.49,2801034
2020-08-28,141.51,143.59,141.10,143.49,2884765
2020-08-31,142.65,143.27,141.82,142.15,4344554
2020-09-01,143.00,145.06,142.04,144.96,3564400
2020-09-02,146.45,148.37,145.49,147.64,4579461
2020-09-03,147.00,147.44,140.56,141.67,5866361
2020-09-04,140.85,142.52,137.71,140.47,5251718
2020-09-08,136.20,138.71,135.75,136.04,5893677
2020-09-09,138.21,140.85,137.19,139.68,5418553
2020-09-10,139.42,141.25,136.22,137.19,3985960
