Date,Open,High,Low,Close,Volume
2020-01-10,264.18,267.30,262.44,267.28,1454140
2020-01-13,269.24,279.45,269.05,275.70,1894020
2020-01-14,276.35,283.16,276.1718,282.62,1480462
2020-01-15,282.63,284.06,275.8001,276.20,1469102
2020-01-16,277.99,280.16,276.35,277.00,715292
2020-01-17,278.00,278.19,271.18,272.89,805475
2020-01-21,272.89,276.84,269.75,272.01,1093919
2020-01-22,273.38,276.19,272.50,273.92,1068294
2020-01-23,273.73,274.39,268.93,272.20,904451
2020-01-24,272.26,275.24,270.87,272.98,786360
2020-01-27,267.36,276.51,266.21,273.70,837826
2020-01-28,275.00,277.26,271.78,273.87,636127
2020-01-29,274.50,275.69,271.11,273.98,476980
2020-01-30,270.55,275.00,270.15,274.49,621514
2020-01-31,274.27,274.27,266.7375,267.91,730840
2020-02-03,273.00,280.00,272.16,274.96,947958
2020-02-04,277.52,279.88,272.86,273.52,961812
2020-02-05,275.55,280.06,274.44,278.18,687526
2020-02-06,279.81,293.39,279.505,293.05,1600149
2020-02-07,292.16,297.34,290.25,295.96,1277819
2020-02-10,295.00,297.42,291.73,293.25,767590
2020-02-11,294.89,295.38,290.03,293.78,687857
2020-02-12,294.16,304.65,294.00,299.30,920567
2020-02-13,298.03,300.99,295.50,297.09,594705
2020-02-14,297.30,299.03,293.435,294.57,450004
2020-02-18,295.46,300.05,294.19,298.71,518318
2020-02-19,299.90,300.95,296.71,296.86,446990
2020-02-20,296.05,301.9766,294.31,301.34,641995
2020-02-21,299.76,302.89,298.00,299.40,661883
2020-02-24,290.15,294.73,283.59,285.57,886139
2020-02-25,287.53,288.75,277.15,277.99,974297
2020-02-26,279.87,280.70,272.3519,272.76,771639
2020-02-27,266.70,271.84,261.88,265.38,1047695
2020-02-28,257.52,262.47,252.09,257.09,1407929
2020-03-02,256.345,261.00,249.01,260.99,1148764
2020-03-03,259.33,267.00,255.68,256.70,1062810
2020-03-04,260.32,269.30,258.76,268.84,913204
2020-03-05,260.96,263.67,252.97,257.14,1096711
2020-03-06,252.41,258.09,248.15,256.58,1230370
2020-03-09,237.44,244.14,230.00,235.70,1823477
2020-03-10,245.71,248.52,224.31,239.06,1074526
2020-03-11,232.57,234.61,218.40,221.21,1417067
2020-03-12,198.92,214.14,190.83,198.54,2371318
2020-03-13,227.19,229.252,193.65,207.06,2502839
2020-03-16,183.02,187.99,160.00,161.54,1936491
2020-03-17,164.16,164.83,141.27,154.60,2258420
2020-03-18,144.72,149.06,124.05,128.52,2367177
2020-03-19,128.81,153.65,124.33,146.99,2638414
2020-03-20,156.35,164.9499,143.90,148.06,3077373
2020-03-23,149.45,155.00,140.335,143.24,1596459
2020-03-24,157.98,179.15,154.05,177.59,2001451
2020-03-25,180.00,201.30,180.00,191.88,2198899
2020-03-26,194.87,201.75,184.56,188.83,1945458
2020-03-27,178.01,182.31,171.47,174.45,1600579
2020-03-30,179.51,182.68,166.60,179.71,1223646
2020-03-31,175.29,181.00,174.01,175.70,1074645
2020-04-01,167.94,172.73,159.86,161.50,1177913
2020-04-02,158.76,164.801,153.29,161.35,1233745
2020-04-03,160.34,163.4277,154.96,156.74,1269396
2020-04-06,168.11,189.79,168.11,188.68,1933298
2020-04-07,204.91,210.00,185.15,187.55,1870548
2020-04-08,189.25,202.75,187.49,200.57,1933191
2020-04-09,210.00,215.55,199.01,202.48,1470202
2020-04-13,202.75,203.53,195.489,202.60,999947
2020-04-14,206.27,210.9399,203.30,205.00,1003452
2020-04-15,195.58,202.00,194.33,201.52,972172
2020-04-16,204.76,209.741,201.493,208.92,1025963
2020-04-17,220.80,222.94,208.26,215.51,1095403
2020-04-20,209.19,213.03,207.00,208.07,896230
2020-04-21,201.00,206.0161,200.10,201.57,842557
2020-04-22,205.52,210.75,203.50,208.71,732192
2020-04-23,210.56,217.77,210.23,210.68,775434
2020-04-24,211.08,212.96,203.06,210.52,1292767
2020-04-27,212.90,214.27,207.33,208.09,818650
2020-04-28,212.30,221.61,210.66,218.68,1197230
2020-04-29,224.00,230.6667,223.01,226.16,1108223
2020-04-30,220.74,226.35,216.42,217.92,960565
2020-05-01,212.90,217.82,209.12,214.28,581814
2020-05-04,211.68,216.0153,206.60,215.48,976923
2020-05-05,219.22,220.797,216.00,218.21,770292
2020-05-06,220.65,221.88,217.48,218.27,488710
2020-05-07,222.28,226.76,221.365,222.16,662303
2020-05-08,225.64,230.37,223.44,230.07,635423
2020-05-11,227.47,234.60,226.6901,230.36,737875
2020-05-12,228.65,228.65,211.58,211.90,1589714
2020-05-13,211.92,211.9999,195.06,197.61,1953828
2020-05-14,194.00,201.81,188.10,200.965,1564088
2020-05-15,199.77,205.45,197.51,200.45,1121751
2020-05-18,210.60,218.46,210.60,212.57,1199729
2020-05-19,213.01,213.01,204.33,210.22,971117
2020-05-20,213.00,215.26,210.00,213.48,975389
2020-05-21,213.36,224.48,210.74,222.76,1869415
2020-05-22,223.29,223.64,216.29,220.62,1051954
2020-05-26,230.36,239.09,228.41,237.98,1784116
2020-05-27,244.43,252.38,239.26,251.63,1640495
2020-05-28,251.66,252.89,241.00,243.31,1664331
2020-05-29,240.61,246.41,231.51,244.01,2628202
2020-06-01,246.49,250.57,236.01,239.09,1478197
2020-06-02,242.16,242.95,237.05,241.22,1334118
2020-06-03,244.47,254.365,242.00,252.30,1112280
2020-06-04,250.50,255.8324,244.28,247.98,1456714
2020-06-05,256.86,258.18,249.74,252.08,1188951
2020-06-08,255.91,256.79,250.44,254.57,1018272
2020-06-09,248.44,249.00,244.1844,244.68,724488
2020-06-10,245.67,246.84,236.47,238.41,1043474
2020-06-11,225.28,230.78,223.0597,225.88,1408688
2020-06-12,232.40,236.31,222.58,226.63,1001016
2020-06-15,218.71,225.80,214.50,225.49,1052226
2020-06-16,235.00,236.16,225.00,225.90,1208665
2020-06-17,226.87,229.84,222.4196,223.65,1235412
2020-06-18,221.57,224.09,217.51,218.97,1071310
2020-06-19,227.62,229.30,208.51,212.19,2438460
2020-06-22,214.00,214.11,205.08,205.49,1770548
2020-06-23,208.24,209.7728,205.69,206.70,1624946
2020-06-24,205.00,206.43,194.12,200.00,2011037
2020-06-25,198.33,198.80,191.66,194.20,2081171
2020-06-26,193.63,193.96,188.90,189.99,2182363
2020-06-29,191.00,200.33,186.01,198.63,1967109
2020-06-30,198.50,204.15,196.10,203.42,1460989
2020-07-01,202.62,209.8476,200.83,203.57,1223282
2020-07-02,207.84,208.43,202.10,203.59,789556
2020-07-06,207.15,209.43,204.33,209.00,985693
2020-07-07,205.61,206.83,201.1888,202.93,975048
2020-07-08,202.30,204.43,199.30,202.02,999841
2020-07-09,201.95,202.135,191.09,192.30,1257588
2020-07-10,193.13,196.53,191.84,195.99,1641540
2020-07-13,197.88,199.355,192.4601,192.71,1236831
2020-07-14,191.80,193.335,186.975,191.94,1410696
2020-07-15,199.05,205.24,197.75,203.81,1331331
2020-07-16,200.38,203.83,200.37,203.18,830471
2020-07-17,203.07,206.50,201.90,203.00,734126
2020-07-20,202.13,202.395,196.00,200.06,742634
2020-07-21,198.00,207.85,196.25,201.96,1273903
2020-07-22,201.43,206.07,200.59,205.44,749732
2020-07-23,204.62,209.17,203.12,205.64,945010
2020-07-24,204.49,206.32,202.452,203.71,645898
2020-07-27,202.25,202.54,195.77,198.84,1253686
2020-07-28,198.75,202.16,197.18,197.56,595130
2020-07-29,198.91,205.495,198.53,203.02,720255
2020-07-30,200.26,200.7693,196.21,198.61,938558
2020-07-31,198.525,199.27,190.84,192.99,1307308
2020-08-03,193.14,193.685,188.1793,191.29,1238959
2020-08-04,191.58,199.11,191.29,198.49,1099395
2020-08-05,199.88,203.30,198.11,201.96,913527
2020-08-06,200.85,206.595,200.85,204.01,816788
2020-08-07,204.00,204.37,201.41,203.88,564633
2020-08-10,205.36,220.45,205.02,219.12,1666029
2020-08-11,221.93,226.3574,214.67,216.19,1149049
2020-08-12,217.84,218.72,212.33,217.78,584418
2020-08-13,215.53,223.11,215.53,222.42,739515
2020-08-14,222.52,226.59,219.1301,225.42,734563
2020-08-17,226.43,229.00,220.44,224.08,701226
2020-08-18,222.87,223.582,215.79,216.24,927125
2020-08-19,215.24,218.37,212.165,213.36,846095
2020-08-20,208.50,210.01,203.90,205.40,1344899
2020-08-21,204.39,215.20,203.99,214.00,1456727
2020-08-24,214.94,222.50,210.48,222.50,1195387
2020-08-25,223.27,224.00,217.50,219.78,870251
2020-08-26,219.02,223.49,216.06,220.76,1023341
2020-08-27,222.49,226.14,219.61,223.95,2733018
2020-08-28,253.95,256.60,234.55,237.02,6579309
2020-08-31,235.20,237.70,230.80,232.18,1307557
2020-09-01,230.53,233.10,227.8201,232.88,1111823
2020-09-02,233.61,238.14,230.00,237.66,904207
2020-09-03,237.98,242.58,234.73,238.04,973386
2020-09-04,239.33,244.00,236.23,240.51,1142536
2020-09-08,234.17,239.7216,233.025,233.25,976477
2020-09-09,233.72,237.13,232.20,235.40,990310
2020-09-10,239.271,242.90,231.591,232.10,897854
2020-09-11,233.43,233.97,223.395,228.90,867643
2020-09-14,230.995,234.63,230.19,234.14,796893
2020-09-15,236.11,241.23,235.86,237.32,745614
2020-09-16,238.72,244.00,233.2499,239.94,1012664
2020-09-17,235.92,238.895,232.51,234.73,803371
2020-09-18,236.74,238.63,230.07,231.74,982533
2020-09-21,226.79,227.08,220.53,225.88,900649
2020-09-22,227.20,230.50,222.10,223.96,702322
2020-09-23,224.15,228.14,216.18,217.04,810663
2020-09-24,215.85,221.87,212.06,215.59,758338
2020-09-25,215.00,218.28,212.33,216.83,692705
2020-09-28,221.69,227.93,219.07,225.74,765749
2020-09-29,224.96,225.925,218.48,222.88,675530
2020-09-30,223.43,229.13,222.16,223.98,751295
2020-10-01,226.96,229.51,224.54,228.63,704186
2020-10-02,223.94,230.98,222.975,228.68,940798
2020-10-05,230.48,234.71,227.71,233.78,772788
2020-10-06,234.95,235.92,225.02,225.58,893479
2020-10-07,229.171,232.32,226.49,229.49,907257
2020-10-08,232.56,238.2704,231.67,237.42,668275
2020-10-09,239.34,240.64,232.78,233.55,695983
2020-10-12,235.45,242.78,234.06,237.90,921734
2020-10-13,237.65,241.45,235.42,238.40,585123
2020-10-14,239.99,244.13,238.42,239.67,518755
2020-10-15,235.70,239.99,234.1701,238.94,490276
2020-10-16,240.59,243.365,237.16,242.00,630499
2020-10-19,243.00,245.6878,234.56,235.45,757248
