Date,Open,High,Low,Close,Volume
2020-01-10,296.07,296.07,292.21,295.13,2477989
2020-01-13,294.37,294.45,285.015,285.85,6996743
2020-01-14,285.60,288.24,284.25,288.24,6067709
2020-01-15,289.02,299.64,289.00,296.41,6081615
2020-01-16,298.00,300.99,295.93,300.74,3710344
2020-01-17,300.01,300.70,295.88,298.47,4632160
2020-01-21,296.89,302.54,296.01,300.53,4963132
2020-01-22,301.99,302.13,297.3501,300.59,3117568
2020-01-23,300.01,300.58,296.65,299.46,3169618
2020-01-24,298.34,299.93,291.56,292.81,3678518
2020-01-27,288.00,288.08,280.07,284.09,4399767
2020-01-28,283.91,288.37,283.30,285.87,4341182
2020-01-29,284.00,286.19,280.891,282.90,3963946
2020-01-30,281.84,281.84,275.92,280.98,4211762
2020-01-31,278.17,278.78,271.18,272.45,5532985
2020-02-03,275.13,276.85,270.82,274.02,5646967
2020-02-04,277.28,283.50,276.88,280.84,4290256
2020-02-05,285.60,297.00,285.44,295.73,5760999
2020-02-06,297.00,297.27,290.00,292.46,3044084
2020-02-07,292.87,293.39,288.91,289.22,3426082
2020-02-10,286.23,289.29,285.45,287.03,3147356
2020-02-11,286.85,291.57,285.90,290.79,2992180
2020-02-12,295.00,305.00,294.01,303.48,6702084
2020-02-13,300.14,305.90,300.14,302.20,3565494
2020-02-14,302.21,303.97,297.3066,298.78,2485610
2020-02-18,299.67,303.35,299.00,302.14,3242145
2020-02-19,303.37,306.715,302.7256,305.31,3021266
2020-02-20,303.20,304.16,297.89,302.13,2885466
2020-02-21,300.47,302.51,298.61,301.43,2990311
2020-02-24,286.89,288.99,277.64,277.79,8790596
2020-02-25,280.15,281.98,262.01,263.39,8171242
2020-02-26,264.72,269.83,258.7102,263.00,6807579
2020-02-27,258.42,262.1542,252.07,253.92,7604285
2020-02-28,246.20,257.10,245.30,254.96,9963972
2020-03-02,257.34,273.24,250.32,273.11,8866267
2020-03-03,275.35,280.3536,259.23,261.40,9188087
2020-03-04,290.00,295.84,282.21,289.42,14532980
2020-03-05,281.60,289.42,279.94,282.96,5908381
2020-03-06,275.42,284.97,271.90,283.87,5361864
2020-03-09,264.465,281.44,259.24,273.44,8070720
2020-03-10,279.72,283.90,272.50,280.00,7366040
2020-03-11,274.76,285.24,273.26,277.78,7747394
2020-03-12,260.00,272.23,250.00,250.41,10496630
2020-03-13,260.99,273.22,242.27,272.04,9308415
2020-03-16,243.92,245.68,223.95,225.04,10303460
2020-03-17,230.82,248.76,228.2901,244.22,9642169
2020-03-18,225.75,231.45,200.19,217.06,12917490
2020-03-19,216.98,226.12,208.9425,219.80,8065170
2020-03-20,223.18,232.64,203.46,206.59,9364072
2020-03-23,202.04,205.75,187.72,194.86,10654480
2020-03-24,202.14,220.27,199.00,219.80,8894374
2020-03-25,219.09,247.51,216.00,234.49,10013990
2020-03-26,234.03,257.96,232.30,255.39,7518081
2020-03-27,242.94,251.60,238.24,242.45,4879622
2020-03-30,242.64,254.09,242.64,251.28,5328965
2020-03-31,243.48,254.5297,243.00,249.38,5455654
2020-04-01,238.69,246.605,235.44,237.32,4548766
2020-04-02,235.30,242.00,226.03,240.44,4636962
2020-04-03,238.32,239.337,227.27,229.49,4650291
2020-04-06,240.00,249.29,235.12,248.34,6365865
2020-04-07,259.81,266.71,246.54,248.04,4984097
2020-04-08,247.69,269.16,246.26,267.83,6390216
2020-04-09,265.00,270.40,261.60,264.13,4925544
2020-04-13,262.06,264.96,258.18,263.51,2965303
2020-04-14,269.00,273.07,267.0001,270.50,4778901
2020-04-15,276.33,282.99,270.68,281.68,7841764
2020-04-16,283.44,300.00,280.01,298.43,7738895
2020-04-17,300.99,304.00,287.10,290.56,5857541
2020-04-20,285.30,289.0086,281.27,282.14,4072635
2020-04-21,274.95,280.00,273.25,274.19,3977514
2020-04-22,279.58,283.82,276.71,277.02,3663658
2020-04-23,279.06,288.46,278.54,285.33,4420546
2020-04-24,287.29,291.90,284.00,291.29,3265412
2020-04-27,293.21,296.86,290.63,293.98,3706179
2020-04-28,298.00,298.25,285.62,288.36,3862897
2020-04-29,292.00,292.75,286.10,287.65,4258433
2020-04-30,286.65,295.00,285.52,292.47,7631715
2020-05-01,288.39,289.00,279.60,284.51,3526428
2020-05-04,284.49,287.94,282.11,287.54,2894193
2020-05-05,289.96,296.00,287.29,293.04,2501346
2020-05-06,295.10,297.68,288.44,288.77,2579182
2020-05-07,291.06,292.29,284.516,285.00,3162502
2020-05-08,289.49,290.00,285.66,287.00,3200304
2020-05-11,285.56,290.1032,285.255,288.69,3490863
2020-05-12,291.77,293.15,287.70,287.70,4214309
2020-05-13,284.49,286.40,275.56,278.00,5474075
2020-05-14,275.93,292.449,275.64,290.61,5705048
2020-05-15,292.41,300.00,290.72,290.96,12182810
2020-05-18,298.48,299.72,292.02,293.36,4017333
2020-05-19,290.74,294.63,288.88,289.05,3059370
2020-05-20,292.90,292.90,286.70,287.99,3200617
2020-05-21,286.04,290.13,284.9301,286.91,3604897
2020-05-22,287.30,290.24,284.7938,289.94,2922841
2020-05-26,296.50,297.03,292.50,294.89,4568023
2020-05-27,297.42,303.80,290.80,303.77,5618902
2020-05-28,305.95,309.66,303.29,303.97,4388845
2020-05-29,304.72,308.37,300.85,304.85,6253038
2020-06-01,304.02,305.98,300.563,305.93,2894409
2020-06-02,305.58,308.10,301.73,306.31,2757002
2020-06-03,307.85,310.12,302.74,305.35,4360327
2020-06-04,303.18,304.47,294.2944,298.08,4374349
2020-06-05,304.00,314.2825,300.50,311.85,5554303
2020-06-08,308.64,315.84,307.93,309.48,4635498
2020-06-09,309.90,312.655,307.33,309.21,3061770
2020-06-10,308.94,310.31,302.86,305.75,3296079
2020-06-11,303.36,303.36,280.80,283.73,6638905
2020-06-12,290.65,294.10,278.70,285.15,5416812
2020-06-15,278.02,287.00,273.71,286.28,4496631
2020-06-16,295.44,297.565,287.44,293.00,4248308
2020-06-17,295.10,295.10,291.23,292.60,2538430
2020-06-18,290.43,291.78,286.60,291.48,2926573
2020-06-19,294.43,296.52,290.91,291.24,5168477
2020-06-22,289.79,293.00,286.26,292.67,2174051
2020-06-23,294.01,299.28,291.07,297.60,4023457
2020-06-24,293.99,297.10,285.57,289.18,3399868
2020-06-25,288.28,296.78,286.06,296.22,3112537
2020-06-26,295.14,296.58,285.82,286.88,5043234
2020-06-29,288.45,292.28,286.615,289.76,2356713
2020-06-30,288.57,296.45,287.66,294.95,2932930
2020-07-01,295.83,300.40,295.24,297.73,2304052
2020-07-02,300.50,303.08,297.1783,298.26,1971954
2020-07-06,303.00,303.49,299.325,302.81,2395034
