Date,Open,High,Low,Close,Volume
2020-01-10,193.50,194.57,193.11,193.77,6587582
2020-01-13,194.44,195.60,194.28,195.33,11292360
2020-01-14,196.74,196.95,195.14,196.05,6239663
2020-01-15,197.00,200.15,196.32,199.80,10831060
2020-01-16,201.00,201.50,199.78,200.95,9983741
2020-01-17,201.76,204.75,199.98,204.70,12518920
2020-01-21,204.13,208.39,203.80,207.29,14861650
2020-01-22,207.51,210.13,207.29,207.90,8065003
2020-01-23,207.90,208.40,205.30,206.52,8520798
2020-01-24,207.42,207.99,204.21,205.00,7812898
2020-01-27,200.00,203.33,199.10,201.69,7198865
2020-01-28,202.39,203.84,201.78,202.85,7215696
2020-01-29,204.30,205.92,202.5128,204.86,7051852
2020-01-30,204.00,208.50,203.32,208.21,8571872
2020-01-31,201.49,203.98,198.26,198.97,16699570
2020-02-03,199.94,202.26,199.85,200.81,10887870
2020-02-04,203.50,204.92,202.2272,203.56,10205900
2020-02-05,205.50,205.60,199.95,202.81,8672418
2020-02-06,203.05,204.63,202.475,203.04,7001184
2020-02-07,201.98,203.83,201.09,202.74,5691149
2020-02-10,201.97,206.13,201.86,205.99,6239519
2020-02-11,207.50,207.67,203.64,203.94,10231890
2020-02-12,205.00,208.1481,205.00,207.44,7355774
2020-02-13,206.62,208.4673,206.05,207.40,9495314
2020-02-14,208.29,210.775,208.01,210.29,6548804
2020-02-18,210.00,211.50,209.36,211.20,7652915
2020-02-19,212.52,214.17,211.715,213.31,5927543
2020-02-20,212.13,213.69,208.28,211.45,8531862
2020-02-21,209.90,210.22,207.42,208.81,9233229
2020-02-24,197.89,203.77,194.01,198.79,13316770
2020-02-25,198.79,199.89,187.72,188.40,18538950
2020-02-26,190.00,193.5126,187.03,187.21,14218220
2020-02-27,182.12,186.34,180.00,180.01,17536600
2020-02-28,173.79,182.33,172.9835,181.76,22674740
2020-03-02,186.32,192.44,183.10,192.33,17434490
2020-03-03,193.20,194.04,184.50,185.73,15226400
2020-03-04,190.36,194.49,186.17,194.29,10789150
2020-03-05,191.24,191.92,185.64,186.96,10106880
2020-03-06,183.54,185.99,179.98,184.36,15183150
2020-03-09,171.21,179.57,168.31,171.13,20486360
2020-03-10,179.47,182.61,171.8815,182.60,16119420
2020-03-11,177.65,178.73,170.20,172.95,14611850
2020-03-12,158.50,172.00,156.99,160.08,27467750
2020-03-13,168.72,176.32,162.21,175.83,19948860
2020-03-16,151.14,165.31,147.98,152.01,23692020
2020-03-17,155.75,163.70,149.25,157.89,22298000
2020-03-18,148.46,150.68,139.80,148.48,22787470
2020-03-19,146.92,157.25,141.47,152.25,19362800
2020-03-20,154.82,158.26,145.67,146.83,18692080
2020-03-23,141.33,143.35,133.93,135.74,30344070
2020-03-24,144.84,155.25,143.58,154.53,24488280
2020-03-25,159.32,168.18,153.58,161.78,20619630
2020-03-26,162.08,169.53,161.79,168.88,17068960
2020-03-27,161.08,167.10,158.15,161.56,14950750
2020-03-30,161.04,165.87,160.69,165.57,15714500
2020-03-31,166.43,168.19,160.54,161.12,20613130
2020-04-01,156.32,158.07,151.4162,153.11,12595200
2020-04-02,152.53,158.35,151.29,157.39,14051130
2020-04-03,155.56,157.72,150.60,151.85,11994680
2020-04-06,160.02,170.73,158.25,169.44,16479120
2020-04-07,177.76,178.7996,168.10,168.59,15379000
2020-04-08,171.01,176.00,167.9303,174.94,11146510
2020-04-09,176.27,177.19,172.85,173.69,12231770
2020-04-13,172.26,172.32,166.15,168.99,14043740
2020-04-14,173.09,175.43,170.83,174.62,9980479
2020-04-15,168.70,169.36,164.95,165.96,12118670
2020-04-16,167.11,168.00,159.80,162.42,20308240
2020-04-17,169.65,170.989,164.95,169.54,15375820
2020-04-20,167.33,167.43,163.20,164.22,10505200
2020-04-21,162.00,162.57,159.15,160.53,10562120
2020-04-22,164.66,167.70,162.92,166.59,14512900
2020-04-23,167.88,170.41,166.21,166.38,11411300
2020-04-24,168.44,168.75,164.01,167.32,8393562
2020-04-27,168.65,172.35,168.55,171.76,9903319
2020-04-28,175.00,175.01,170.3848,171.25,8614404
2020-04-29,176.85,182.25,176.10,181.79,12862800
2020-04-30,181.78,181.83,177.655,178.72,11331580
2020-05-01,174.45,179.64,174.27,175.57,10109560
2020-05-04,172.95,176.94,171.72,176.15,9386209
2020-05-05,179.09,181.102,178.26,178.44,13512960
2020-05-06,179.72,180.51,177.88,178.78,8540501
2020-05-07,181.75,184.98,181.71,182.72,9262209
2020-05-08,185.03,185.75,183.62,185.09,6475195
2020-05-11,183.87,184.62,181.43,183.56,8683139
2020-05-12,183.56,183.99,179.37,179.47,8219650
2020-05-13,178.50,181.09,175.039,177.09,13377120
2020-05-14,175.94,181.05,173.82,180.90,9695147
2020-05-15,179.98,184.14,178.87,183.49,10785880
2020-05-18,188.00,192.83,187.4708,191.38,11806310
2020-05-19,191.14,194.50,189.23,189.36,7446814
2020-05-20,193.00,194.99,192.41,193.86,9545600
2020-05-21,193.50,193.616,190.02,190.62,11338070
2020-05-22,191.00,191.37,189.23,190.86,5807559
2020-05-26,195.80,196.27,192.76,193.22,9662199
2020-05-27,194.31,194.31,188.52,192.82,7650334
2020-05-28,193.54,198.29,192.7101,194.26,8357439
2020-05-29,194.50,196.74,193.28,195.24,10213510
2020-06-01,194.71,195.88,193.52,194.35,6019388
2020-06-02,195.94,197.52,194.92,196.36,8462065
2020-06-03,198.00,198.14,195.57,196.87,8879428
2020-06-04,195.98,196.46,193.12,193.64,7829774
2020-06-05,196.20,199.77,195.475,199.61,8561152
2020-06-08,199.58,199.96,197.13,199.60,7628052
2020-06-09,198.36,201.67,198.24,199.08,6892262
2020-06-10,199.90,202.18,198.95,200.48,8405338
2020-06-11,195.14,196.36,188.75,188.88,11974600
2020-06-12,194.21,195.00,187.85,192.26,11706350
2020-06-15,187.00,192.484,186.21,191.76,6758998
2020-06-16,196.86,198.38,191.795,192.88,11057220
2020-06-17,193.66,195.37,193.06,193.56,5968877
2020-06-18,192.60,194.25,192.11,193.91,5803210
2020-06-19,196.89,197.10,191.37,192.20,11483310
2020-06-22,191.99,196.36,191.29,194.96,6674515
2020-06-23,196.25,200.1499,195.82,197.97,9866782
2020-06-24,197.02,197.48,190.69,191.41,9453097
2020-06-25,191.10,194.24,189.90,193.98,9936587
2020-06-26,193.10,194.125,189.08,189.27,11835980
2020-06-29,189.91,191.45,187.3001,191.38,8020373
2020-06-30,191.49,193.75,190.16,193.17,9040104
2020-07-01,193.85,195.35,192.6592,193.78,6394132
2020-07-02,196.00,197.9164,195.00,195.67,6299276
2020-07-06,198.73,199.18,195.68,197.76,7292237
2020-07-07,196.81,198.90,193.81,194.20,7660130
2020-07-08,195.08,195.52,193.12,195.07,8367953
2020-07-09,195.00,195.49,189.95,192.21,8548236
2020-07-10,191.65,192.82,189.44,192.55,7674187
2020-07-13,193.61,195.19,188.70,189.02,8564070
2020-07-14,189.50,193.47,187.18,193.33,8003917
2020-07-15,195.23,197.765,194.50,196.55,7681064
2020-07-16,195.33,195.71,192.52,193.50,5063990
2020-07-17,194.83,195.57,193.12,195.09,6420921
2020-07-20,194.74,199.48,193.6701,198.47,6985253
2020-07-21,200.00,200.17,195.68,196.48,7219418
2020-07-22,196.48,199.00,196.25,198.86,6823385
2020-07-23,198.44,200.95,196.43,197.43,6106708
2020-07-24,195.67,197.48,194.03,195.15,7160336
2020-07-27,195.16,197.81,194.20,196.91,5604702
2020-07-28,197.69,199.365,196.71,196.74,6897278
2020-07-29,193.09,198.89,193.05,198.58,9471295
2020-07-30,195.20,196.56,192.12,194.06,10499360
2020-07-31,194.42,194.69,189.44,190.40,14186000
2020-08-03,191.80,193.34,190.2105,190.69,11407910
2020-08-04,191.13,192.94,190.08,192.29,8203979
2020-08-05,193.56,198.18,193.10,196.10,8907332
2020-08-06,195.98,198.92,194.79,198.77,7480317
2020-08-07,197.59,197.98,195.30,196.36,5653969
2020-08-10,196.36,198.31,195.33,196.79,5525401
2020-08-11,197.82,202.89,196.335,197.77,11549610
2020-08-12,199.00,200.23,198.24,198.74,5432755
2020-08-13,197.13,199.94,197.03,197.58,7014804
2020-08-14,197.01,198.07,195.77,196.64,5014416
2020-08-17,197.30,200.46,196.71,199.43,6256203
2020-08-18,199.98,200.10,196.8223,199.01,6519888
2020-08-19,198.92,202.8425,198.90,200.99,9467594
2020-08-20,199.90,204.44,199.60,204.15,8849171
2020-08-21,204.50,205.14,203.34,204.13,9998308
2020-08-24,205.01,206.45,204.67,206.41,6159596
2020-08-25,207.19,208.20,205.5407,208.10,5828348
2020-08-26,208.10,210.80,207.3025,210.26,7035221
2020-08-27,211.21,212.18,209.05,211.03,8619578
2020-08-28,212.00,216.16,211.22,215.71,7349837
2020-08-31,215.54,215.96,211.56,211.99,9326852
2020-09-01,212.21,213.89,211.12,213.35,5648766
2020-09-02,214.13,217.35,213.77,216.48,9863801
2020-09-03,214.93,214.93,207.09,208.96,11310190
2020-09-04,208.49,210.50,200.15,204.66,13243600
2020-09-08,200.78,202.25,199.214,200.12,14186880
2020-09-09,204.35,206.29,201.9462,204.06,7532626
2020-09-10,204.86,207.00,200.45,201.54,7242970
2020-09-11,201.58,202.41,198.91,200.68,7439317
2020-09-14,203.35,206.41,203.14,204.98,11730450
2020-09-15,206.75,208.21,204.77,205.39,6328575
2020-09-16,206.74,207.745,204.95,205.13,6135541
2020-09-17,202.85,205.58,202.00,205.27,7474944
2020-09-18,205.47,205.72,201.72,202.61,9084141
2020-09-21,199.91,201.25,194.70,197.45,9656041
2020-09-22,198.09,200.71,196.80,200.56,7543137
2020-09-23,200.80,201.09,194.57,195.37,6310558
2020-09-24,195.15,197.67,193.13,195.52,9865265
2020-09-25,195.02,198.14,193.51,197.25,5496052
2020-09-28,200.63,201.72,199.83,200.32,5565280
2020-09-29,200.58,202.38,199.37,199.44,5559814
2020-09-30,200.85,202.54,198.89,199.97,9157591
2020-10-01,202.21,205.195,201.6357,203.35,7234628
2020-10-02,200.00,202.83,199.40,201.46,6019734
2020-10-05,202.71,203.65,201.05,203.54,6090528
2020-10-06,204.11,205.10,199.71,200.45,5841141
2020-10-07,202.00,202.79,199.99,202.47,6713433
2020-10-08,204.00,204.30,202.23,202.98,3955634
2020-10-09,204.00,207.08,203.675,206.64,5562948
2020-10-12,206.94,207.97,205.73,206.40,6622714
2020-10-13,203.38,205.21,203.03,204.32,5621674
2020-10-14,204.71,204.9699,201.13,202.20,5321915
2020-10-15,201.01,204.70,197.60,199.55,8887367
2020-10-16,199.99,202.65,199.41,200.26,6387996
2020-10-19,200.85,201.07,196.50,196.97,7449606
2020-10-20,197.55,199.66,196.71,197.70,7429822
2020-10-21,197.83,200.42,197.83,198.43,6067207
2020-10-22,199.34,199.7665,195.76,197.99,4911939
2020-10-23,199.75,199.88,196.02,198.01,5877238
2020-10-26,196.00,196.42,190.72,193.07,12608690
2020-10-27,193.00,193.70,189.22,190.06,8690350
2020-10-28,183.98,184.70,179.34,180.87,17809450
2020-10-29,183.00,187.00,179.34,184.87,16820870
2020-10-30,182.66,184.22,179.23,181.71,10256300
2020-11-02,184.51,186.92,183.89,184.74,8057085
2020-11-03,186.83,189.53,185.16,188.34,6467857
2020-11-04,192.89,196.88,191.53,193.97,8102656
2020-11-05,198.36,200.99,197.29,197.64,7132143
2020-11-06,197.35,199.68,195.4265,198.47,6180509
2020-11-09,214.69,217.65,212.28,212.68,17916900
2020-11-10,211.94,214.06,210.545,213.31,7943557
2020-11-11,212.17,214.28,211.67,212.70,5331383
2020-11-12,211.43,212.54,207.14,208.26,7303816
2020-11-13,209.91,211.28,207.30,210.48,6378517
2020-11-16,214.57,215.09,211.83,212.70,12083210
2020-11-17,210.56,212.09,209.50,210.71,7268825
2020-11-18,209.72,211.15,207.67,207.83,6977923
2020-11-19,207.24,208.73,205.53,207.57,5657248
2020-11-20,207.13,208.11,203.805,203.88,9654712
2020-11-23,204.70,209.00,204.70,208.16,6107265
2020-11-24,210.85,213.82,209.40,209.68,10112750
2020-11-25,209.67,211.95,208.87,210.89,6772894
2020-11-27,212.00,212.03,208.81,211.00,3512893
2020-11-30,209.54,210.54,206.60,210.35,7725515
2020-12-01,212.13,213.67,211.04,211.20,8049443
2020-12-02,211.00,211.40,208.48,210.18,9728898
2020-12-03,209.78,211.113,207.61,208.05,9203327
2020-12-04,209.74,212.72,208.51,212.68,5720129
2020-12-07,211.97,214.50,211.7981,212.65,10624500
2020-12-08,209.95,213.13,209.89,212.77,8646231
2020-12-09,213.23,213.50,208.95,209.58,6251066
2020-12-10,208.51,209.30,207.25,207.61,10492040
2020-12-11,205.36,206.89,204.50,206.24,9227638
2020-12-14,207.85,211.30,206.97,207.25,11967700
2020-12-15,208.54,209.44,206.16,208.36,9799032
2020-12-16,208.48,209.125,207.14,208.27,7504356
2020-12-17,209.00,211.78,208.85,211.18,6517228
2020-12-18,211.02,211.98,209.87,211.31,13298240
2020-12-21,208.27,209.80,204.79,209.01,7576684
2020-12-22,208.39,208.40,205.60,205.84,7403829
2020-12-23,207.33,207.33,205.11,205.30,6523085
2020-12-24,206.64,208.816,206.60,208.70,3367895
2020-12-28,209.85,213.46,208.95,212.63,5816208
2020-12-29,214.61,215.24,213.54,214.37,6093412
2020-12-30,216.00,220.39,215.65,218.36,8875066
2020-12-31,218.40,219.82,216.20,218.73,5922170
2021-01-04,220.25,220.25,214.24,217.76,10318330
2021-01-05,216.31,218.46,213.64,214.51,6869718
2021-01-06,213.80,216.17,212.07,212.62,7206248
2021-01-07,212.20,215.22,212.20,213.81,10967870
2021-01-08,214.17,216.12,212.75,215.45,6513279
2021-01-11,213.96,214.86,212.48,212.89,7354527
2021-01-12,212.34,212.79,207.47,208.86,9331611
2021-01-13,209.41,211.00,208.63,209.35,6688464
2021-01-14,210.57,211.21,201.73,201.86,12887480
2021-01-15,201.54,203.26,200.425,201.59,8755049
2021-01-19,203.05,204.165,200.07,201.66,9772034
2021-01-20,203.03,207.19,202.23,206.01,12675730
2021-01-21,206.05,207.1727,204.75,205.14,6517948
2021-01-22,203.99,205.33,201.80,202.02,7316201
2021-01-25,200.34,201.64,195.75,200.98,19282360
2021-01-26,201.76,203.49,200.9701,202.01,9605270
2021-01-27,197.64,199.70,193.96,194.97,13772440
2021-01-28,200.00,202.00,198.17,198.22,11041250
2021-01-29,197.82,203.05,192.81,193.25,21503040
2021-02-01,195.14,199.21,195.02,198.36,12970670
2021-02-02,200.85,204.35,200.00,202.61,11305050
2021-02-03,203.07,203.51,200.98,201.36,13458640
2021-02-04,203.24,209.68,203.10,209.25,14534750
2021-02-05,209.98,210.13,208.66,208.77,10283950
2021-02-08,210.00,210.65,205.91,206.89,8637076
2021-02-09,205.76,207.63,203.70,206.52,7619438
2021-02-10,207.97,207.97,205.94,206.44,8467602
2021-02-11,207.33,211.59,207.19,210.66,8411071
2021-02-12,209.36,211.13,207.68,209.96,6911014
2021-02-16,210.66,211.05,207.35,207.90,9652749
2021-02-17,205.26,208.28,205.0627,207.51,8375014
