Date,Open,High,Low,Close,Volume
2020-01-10,146.72,147.32,144.86,145.51,1248359
2020-01-13,148.69,150.33,147.70,148.66,1554445
2020-01-14,149.22,150.20,147.66,147.78,1302874
2020-01-15,147.55,148.5273,144.065,144.43,1257792
2020-01-16,146.21,147.60,145.0703,147.32,1114846
2020-01-17,147.90,148.97,147.12,148.07,1007599
2020-01-21,147.80,149.4184,145.89,146.09,1022231
2020-01-22,146.37,147.00,144.9024,145.69,1270028
2020-01-23,146.04,146.625,144.77,145.57,1038974
2020-01-24,147.00,149.90,145.05,145.19,1023830
2020-01-27,141.80,143.42,140.90,141.78,1354107
2020-01-28,142.40,145.87,141.83,145.49,937139
2020-01-29,146.43,146.72,143.65,145.42,1129169
2020-01-30,144.55,150.38,144.35,150.25,1502944
2020-01-31,149.53,150.04,145.4201,146.61,1266456
2020-02-03,147.51,148.945,146.00,148.59,737027
2020-02-04,150.52,155.01,149.77,154.28,1306366
2020-02-05,155.75,156.319,150.59,151.50,1210205
2020-02-06,151.90,152.57,149.00,151.11,912656
2020-02-07,150.80,154.16,149.576,151.63,755516
2020-02-10,151.63,153.46,151.16,153.43,978135
2020-02-11,155.14,155.55,152.62,154.02,826551
2020-02-12,154.30,156.28,152.19,154.47,760574
2020-02-13,153.40,155.97,152.81,153.95,695431
2020-02-14,155.85,159.775,155.30,158.87,1050364
2020-02-18,159.65,162.42,159.06,162.02,1664583
2020-02-19,164.19,167.97,163.42,163.89,1565087
2020-02-20,163.89,166.21,161.721,164.97,1260728
2020-02-21,164.19,164.23,158.12,159.82,1013402
2020-02-24,151.45,156.03,151.45,154.02,1233204
2020-02-25,155.49,156.0616,148.05,149.96,1501536
2020-02-26,150.21,152.65,146.065,147.49,1502969
2020-02-27,143.84,149.00,141.82,144.43,1921194
2020-02-28,139.67,144.2774,135.12,141.97,2466653
2020-03-02,142.29,144.48,138.48,144.05,1868554
2020-03-03,144.00,147.335,138.66,141.50,2260488
2020-03-04,149.00,150.63,139.5101,144.12,3708048
2020-03-05,142.50,149.75,141.95,146.54,2412533
2020-03-06,143.11,146.71,141.3898,146.25,2767724
2020-03-09,136.25,143.00,135.90,139.00,2553071
2020-03-10,142.59,146.84,137.89,146.31,2744179
2020-03-11,143.23,145.20,139.822,144.38,3030051
2020-03-12,133.85,142.76,131.41,133.21,3444924
2020-03-13,139.07,140.77,130.37,138.40,2149659
2020-03-16,123.00,132.55,120.53,120.93,2243781
2020-03-17,122.92,132.97,118.11,132.94,2197355
2020-03-18,125.49,140.86,123.01,140.53,2462322
2020-03-19,139.93,151.25,137.055,147.64,3448556
2020-03-20,150.71,151.69,132.76,133.45,3197111
2020-03-23,132.31,133.00,121.5257,132.00,2470937
2020-03-24,137.65,146.39,136.33,144.93,2551336
2020-03-25,143.15,147.70,133.57,134.31,1798339
2020-03-26,135.08,147.36,133.82,147.09,1658304
2020-03-27,145.13,147.645,141.65,145.55,1660432
2020-03-30,147.72,158.00,145.2419,157.94,1898997
2020-03-31,156.87,159.12,154.48,156.37,1739451
2020-04-01,150.34,159.48,149.00,153.51,1589790
2020-04-02,148.52,158.59,148.2483,156.16,1281891
2020-04-03,154.75,157.715,148.50,150.11,1587133
2020-04-06,152.39,157.62,151.87,156.81,1093300
2020-04-07,159.44,160.00,152.56,154.26,1180948
2020-04-08,156.76,161.44,152.24,160.49,1215552
2020-04-09,160.58,163.96,158.56,162.11,1292692
2020-04-13,161.32,163.79,157.3697,162.85,805404
2020-04-14,165.90,176.8974,165.50,173.59,1951963
2020-04-15,172.00,181.8565,170.24,174.68,1889793
2020-04-16,177.01,179.98,173.00,174.23,1628553
2020-04-17,177.08,181.18,173.50,181.12,1418274
2020-04-20,179.60,187.84,178.51,184.40,1300103
2020-04-21,183.38,183.38,170.02,176.24,1660190
2020-04-22,179.40,185.39,178.35,183.95,981015
2020-04-23,183.95,189.555,183.50,184.70,992946
2020-04-24,184.70,191.05,182.64,187.63,1111415
2020-04-27,190.00,191.76,185.42,185.59,1192906
2020-04-28,186.68,186.68,178.76,182.74,1639047
2020-04-29,184.47,190.67,182.145,188.55,1109760
2020-04-30,188.12,195.90,188.12,190.80,1756839
2020-05-01,189.41,189.98,182.7917,187.77,1056356
2020-05-04,185.82,190.80,185.0243,189.14,922028
2020-05-05,191.99,195.69,189.86,192.86,810179
2020-05-06,194.49,197.51,191.76,192.96,595750
2020-05-07,197.99,198.00,190.88,191.25,1113086
2020-05-08,192.26,194.28,189.29,192.34,941470
2020-05-11,192.04,200.36,189.71,197.66,1478839
2020-05-12,200.49,201.67,195.26,197.37,938682
2020-05-13,198.27,202.76,192.7417,195.15,1256835
2020-05-14,194.00,196.36,191.50,196.03,898299
2020-05-15,196.13,201.41,194.99,200.43,821242
2020-05-18,200.82,205.67,196.10,197.17,1200971
2020-05-19,197.00,200.84,196.04,196.04,1381130
2020-05-20,199.74,203.45,197.30,202.17,998086
2020-05-21,200.78,201.49,196.13,197.47,849527
2020-05-22,195.00,203.00,194.52,202.96,982451
2020-05-26,206.00,206.90,194.95,195.12,1751874
2020-05-27,193.00,194.99,183.24,191.99,1425255
2020-05-28,193.69,206.68,193.16,204.20,2242954
2020-05-29,211.11,219.72,209.00,218.87,2985832
2020-06-01,216.68,220.91,211.10,218.96,1325273
2020-06-02,218.38,220.19,213.16,219.61,1534490
2020-06-03,217.05,219.72,214.385,215.24,1051838
2020-06-04,213.53,217.99,205.37,206.20,1498761
2020-06-05,203.35,207.9693,199.00,202.80,1420828
