Date,Open,High,Low,Close,Volume
2020-01-10,11.83,11.88,11.52,11.67,3927919
2020-01-13,11.58,11.77,11.56,11.67,1175948
2020-01-14,11.74,11.83,11.65,11.70,564749
2020-01-15,11.75,11.86,11.63,11.71,1517671
2020-01-16,11.70,11.91,11.67,11.67,684517
2020-01-17,11.70,11.70,11.40,11.40,1550838
2020-01-21,11.59,11.69,11.47,11.50,1932744
2020-01-22,11.52,11.72,11.50,11.59,1907434
2020-01-23,11.55,11.7532,11.41,11.70,2965797
2020-01-24,11.70,12.16,11.70,11.91,3502682
2020-01-27,11.83,12.28,11.77,12.16,4482042
2020-01-28,12.15,12.71,12.15,12.51,2480504
2020-01-29,12.50,12.95,12.40,12.63,2262522
2020-01-30,12.74,12.85,12.45,12.49,1207071
2020-01-31,12.47,12.50,12.28,12.40,2143960
2020-02-03,12.40,12.51,12.3082,12.38,1195115
2020-02-04,12.47,12.87,12.35,12.69,1775011
2020-02-05,12.70,12.83,12.48,12.79,1138577
2020-02-06,12.77,13.54,12.62,12.86,2820775
2020-02-07,13.15,13.20,12.695,12.88,475742
2020-02-10,13.20,13.43,12.88,13.00,738005
2020-02-11,13.75,13.75,12.51,12.75,2963503
2020-02-12,12.74,13.15,12.50,12.50,1178314
2020-02-13,12.66,12.9115,12.45,12.67,1863787
2020-02-14,13.10,13.179,12.80,13.00,2181960
2020-02-18,13.00,13.50,13.00,13.34,3368475
2020-02-19,13.45,13.50,13.34,13.46,1836379
2020-02-20,13.41,13.50,12.90,13.00,2198959
2020-02-21,13.34,13.34,12.70,12.85,2137084
2020-02-24,12.09,12.77,12.09,12.69,2670249
2020-02-25,12.84,13.065,12.20,12.50,3332867
2020-02-26,12.88,12.95,12.23,12.32,2051492
2020-02-27,12.20,12.57,11.65,11.84,3491181
2020-02-28,11.39,12.00,11.11,11.79,2809951
2020-03-02,11.80,11.9354,11.24,11.76,1710006
2020-03-03,11.90,11.91,10.87,11.14,3235456
2020-03-04,11.35,11.63,11.07,11.24,3358019
2020-03-05,11.12,11.12,10.47,10.49,3424893
2020-03-06,10.31,10.34,9.59,10.00,3305505
2020-03-09,8.50,10.90,8.50,9.95,3629621
2020-03-10,10.09,11.345,10.03,11.10,3061764
2020-03-11,10.67,10.95,10.25,10.65,2294058
2020-03-12,10.22,10.40,8.62,8.70,4272838
2020-03-13,9.20,9.67,8.05,8.90,4997566
2020-03-16,7.89,7.89,6.70,7.73,5696068
2020-03-17,7.80,7.80,6.50,7.25,2917709
2020-03-18,6.75,6.76,5.00,5.57,5092456
2020-03-19,5.65,7.12,4.75,6.76,3926032
2020-03-20,6.66,7.40,6.6501,7.36,3384063
2020-03-23,7.12,7.34,6.01,6.76,3538381
2020-03-24,7.11,7.68,7.09,7.68,3402957
2020-03-25,7.70,9.15,7.29,8.92,1863678
2020-03-26,8.65,9.00,8.58,8.88,2393641
2020-03-27,8.48,8.48,7.74,8.22,2577767
2020-03-30,8.19,8.34,7.99,8.14,1332676
2020-03-31,8.02,8.71,7.81,8.65,1628753
2020-04-01,8.54,8.64,7.91,8.07,2206309
2020-04-02,8.06,8.4093,7.92,8.13,1339208
2020-04-03,8.10,8.17,7.66,7.90,1483071
2020-04-06,8.08,8.755,8.05,8.60,1415926
2020-04-07,9.02,9.28,8.10,8.14,1974679
2020-04-08,8.23,8.73,8.19,8.50,1550591
2020-04-09,8.80,9.36,8.75,9.19,2207526
2020-04-13,8.97,9.76,8.95,9.65,2202695
2020-04-14,9.72,10.37,9.72,9.88,2254348
2020-04-15,9.70,10.015,9.24,9.72,1091608
2020-04-16,9.77,10.15,9.67,10.00,1551075
2020-04-17,10.33,10.60,10.075,10.28,2105732
2020-04-20,10.13,10.60,9.85,10.26,865774
2020-04-21,10.08,10.32,9.76,9.98,2111253
2020-04-22,10.12,10.35,9.84,10.00,1884469
2020-04-23,10.01,10.38,9.87,10.09,981040
2020-04-24,10.23,10.47,10.04,10.26,753698
2020-04-27,10.40,10.57,10.21,10.37,1096789
2020-04-28,10.50,10.81,10.10,10.45,1191953
2020-04-29,10.71,10.86,10.50,10.65,1242380
2020-04-30,10.63,10.835,10.06,10.59,1567048
2020-05-01,10.42,10.59,9.82,10.29,2055298
2020-05-04,10.40,10.40,9.98,10.09,1527421
2020-05-05,10.13,10.50,10.10,10.40,2763663
2020-05-06,9.85,10.87,9.72,10.65,4518485
2020-05-07,11.03,11.36,10.79,10.87,2720542
2020-05-08,10.96,11.40,10.90,11.01,2308560
2020-05-11,11.23,11.80,11.06,11.54,2556448
2020-05-12,11.64,11.80,11.48,11.56,1971722
2020-05-13,11.53,11.65,11.07,11.24,2782986
2020-05-14,11.07,11.64,10.75,11.59,1927100
2020-05-15,11.50,11.63,11.28,11.45,1591749
2020-05-18,11.75,12.25,11.44,11.71,2161805
2020-05-19,11.69,12.18,11.65,11.75,1527600
2020-05-20,12.00,12.44,11.96,11.97,2236488
2020-05-21,12.01,12.30,11.77,12.02,2635358
2020-05-22,12.06,12.18,11.98,12.07,2370674
2020-05-26,12.47,12.58,12.21,12.49,3573417
2020-05-27,12.75,12.75,12.305,12.45,3815187
2020-05-28,12.55,12.80,12.25,12.55,1189082
2020-05-29,12.43,12.83,12.12,12.73,3242438
2020-06-01,12.75,13.61,12.73,13.31,2224666
2020-06-02,13.27,13.66,13.10,13.47,2440443
2020-06-03,13.60,14.005,13.44,13.92,2661900
2020-06-04,13.70,14.07,13.47,13.64,2451918
2020-06-05,13.96,14.42,13.68,14.00,2637985
2020-06-08,14.23,15.03,14.05,14.86,7791451
2020-06-09,14.69,15.05,14.16,14.22,2446156
2020-06-10,14.28,14.54,14.08,14.22,2268671
2020-06-11,13.78,14.02,13.44,13.54,2480528
2020-06-12,13.95,14.55,13.8971,14.26,2562201
2020-06-15,13.96,14.315,13.87,14.24,2419584
2020-06-16,14.54,14.84,14.33,14.49,2556448
2020-06-17,14.61,14.61,13.93,14.16,4404759
2020-06-18,14.02,14.44,14.02,14.27,5284365
2020-06-19,14.34,14.47,13.76,13.82,5114572
2020-06-22,13.78,13.895,13.16,13.48,7418154
2020-06-23,13.77,14.01,13.43,13.58,7218315
2020-06-24,13.48,13.655,13.04,13.19,2230433
2020-06-25,13.19,13.27,12.67,12.98,2936838
2020-06-26,13.01,13.16,12.09,12.27,16064140
2020-06-29,12.42,13.11,12.11,13.11,2720743
2020-06-30,13.14,13.64,12.79,13.56,3386549
2020-07-01,13.50,14.04,13.37,13.97,3588975
2020-07-02,14.17,14.17,13.91,14.07,2013073
2020-07-06,14.29,14.35,13.875,13.97,1592654
2020-07-07,13.93,13.93,13.51,13.62,2169265
2020-07-08,13.61,13.97,13.61,13.83,3022713
2020-07-09,13.82,14.00,13.465,13.88,2176355
2020-07-10,13.92,14.01,13.68,13.90,1746889
2020-07-13,14.00,14.02,13.41,13.54,3102151
2020-07-14,13.45,13.89,13.45,13.85,1694668
2020-07-15,14.00,14.02,13.90,14.00,3458901
2020-07-16,13.95,14.045,13.815,13.88,1537390
2020-07-17,13.94,14.33,13.91,14.24,2682811
2020-07-20,14.41,14.57,13.94,13.99,1466693
2020-07-21,14.02,14.12,13.84,13.88,1519140
2020-07-22,13.85,13.85,13.54,13.76,2370209
2020-07-23,13.74,13.89,13.51,13.56,2122804
2020-07-24,13.50,13.58,13.21,13.58,1550890
2020-07-27,13.56,13.69,13.45,13.66,947924
2020-07-28,13.54,13.725,13.51,13.55,1183901
2020-07-29,13.61,14.02,13.61,14.00,1137464
2020-07-30,13.78,14.29,13.70,14.25,1261557
2020-07-31,14.30,14.57,14.07,14.50,1462089
2020-08-03,14.66,15.10,14.65,15.01,3192639
2020-08-04,15.24,15.55,14.83,15.20,2256114
2020-08-05,16.71,17.23,16.43,16.89,4648771
2020-08-06,16.95,16.99,16.10,16.42,3011283
2020-08-07,16.43,16.77,16.38,16.49,1753209
2020-08-10,16.64,17.13,16.64,16.88,2350236
2020-08-11,17.08,17.11,16.69,16.77,2344406
2020-08-12,16.03,16.505,15.63,15.76,4877456
2020-08-13,16.43,16.71,16.10,16.66,12446490
2020-08-14,16.69,16.80,16.29,16.30,2871713
2020-08-17,16.32,16.425,15.75,15.75,4364857
2020-08-18,15.75,15.93,15.50,15.50,3634390
2020-08-19,15.50,15.80,15.42,15.68,3102811
2020-08-20,15.63,16.37,15.45,16.20,3072491
2020-08-21,16.08,16.18,15.90,15.91,4479150
2020-08-24,16.01,16.545,16.01,16.50,3710191
2020-08-25,16.53,17.04,16.53,16.92,2553824
2020-08-26,16.87,17.05,16.57,16.74,1933022
2020-08-27,16.78,16.97,16.42,16.75,1988381
2020-08-28,16.91,17.06,16.45,16.50,1167120
2020-08-31,16.56,16.69,16.01,16.23,1802690
2020-09-01,16.23,16.69,16.06,16.44,1393554
2020-09-02,16.50,16.68,16.23,16.64,1696139
2020-09-03,16.51,16.59,15.77,15.96,2272461
2020-09-04,16.00,16.35,15.50,16.10,2199480
2020-09-08,16.21,16.665,15.89,16.35,2792908
2020-09-09,16.43,16.99,16.43,16.85,2324876
2020-09-10,17.09,17.46,16.7964,16.91,2899772
2020-09-11,17.01,17.21,16.7338,16.95,1451246
2020-09-14,17.20,17.59,17.14,17.54,2518236
2020-09-15,18.00,18.00,17.515,17.66,2277396
2020-09-16,17.70,17.94,17.57,17.58,2338879
2020-09-17,17.38,17.83,17.195,17.40,2589615
2020-09-18,17.52,17.77,17.39,17.61,11179650
2020-09-21,17.23,17.2792,16.75,16.95,3094368
2020-09-22,17.08,17.19,16.68,16.97,1667677
2020-09-23,16.97,17.035,16.455,16.73,2038920
2020-09-24,16.63,16.815,16.29,16.64,1479659
2020-09-25,16.74,16.90,16.45,16.82,1291009
2020-09-28,17.11,17.21,16.765,16.97,1916458
2020-09-29,17.00,17.21,16.84,17.13,2273827
2020-09-30,17.08,17.5299,17.03,17.32,2140643
2020-10-01,17.58,17.90,17.32,17.90,3281634
2020-10-02,17.26,18.04,17.24,17.59,2072488
2020-10-05,17.84,18.10,17.60,17.80,4075524
2020-10-06,17.88,18.20,17.685,17.84,2456238
2020-10-07,18.01,18.225,17.80,18.10,2521111
2020-10-08,18.24,18.40,18.00,18.14,1661541
2020-10-09,18.24,18.3665,17.945,18.04,1036033
2020-10-12,18.17,18.245,17.835,17.98,1562093
2020-10-13,17.82,18.09,17.76,17.93,1520466
2020-10-14,18.43,18.6439,18.20,18.31,2604821
2020-10-15,18.02,18.50,17.90,18.33,2096567
2020-10-16,18.50,18.59,18.30,18.34,3382432
2020-10-19,18.86,18.93,18.21,18.32,3165937
2020-10-20,18.36,18.84,18.34,18.51,1921166
2020-10-21,18.63,18.875,18.48,18.57,2029862
2020-10-22,18.63,19.08,18.60,19.05,2902152
2020-10-23,19.00,19.1827,18.4499,18.84,2237622
2020-10-26,18.62,18.65,18.04,18.17,3688438
2020-10-27,18.15,18.28,17.71,17.92,2148218
2020-10-28,17.54,17.90,17.505,17.60,1650832
2020-10-29,17.74,18.00,17.515,17.94,1506661
2020-10-30,17.84,18.01,17.32,17.65,2097124
2020-11-02,17.89,18.13,17.29,17.41,3679760
2020-11-03,17.62,17.91,17.27,17.60,2448034
2020-11-04,17.65,18.6499,17.24,17.35,3916014
2020-11-05,17.93,18.10,17.21,17.28,2086197
2020-11-06,17.32,17.45,16.88,16.96,2642651
2020-11-09,17.87,17.98,16.85,16.90,3974592
2020-11-10,16.90,17.00,16.645,16.82,2996243
2020-11-11,16.96,17.35,16.8227,17.35,1742425
2020-11-12,17.47,17.61,17.06,17.31,1934489
2020-11-13,17.97,18.20,17.65,17.99,16417780
2020-11-16,18.25,18.47,17.94,18.27,6663799
2020-11-17,18.17,18.63,18.11,18.41,3459954
2020-11-18,18.45,18.67,18.09,18.10,4944997
2020-11-19,18.19,18.655,18.01,18.54,2605768
2020-11-20,18.42,18.72,18.40,18.62,2086578
2020-11-23,18.80,18.995,18.71,18.97,2501690
2020-11-24,19.04,19.15,18.49,18.64,3199558
2020-11-25,18.54,18.91,18.29,18.83,1766638
2020-11-27,18.94,18.99,18.725,18.85,831245
2020-11-30,18.85,19.15,18.52,18.71,2224014
2020-12-01,18.77,19.4056,18.56,19.39,6335568
2020-12-02,19.41,19.58,18.95,19.39,2584288
2020-12-03,19.40,19.75,19.095,19.24,3120000
2020-12-04,19.40,19.75,19.24,19.75,1927956
2020-12-07,19.79,19.79,19.20,19.39,2415657
2020-12-08,19.67,19.91,19.40,19.91,3607786
2020-12-09,20.04,20.14,18.745,18.92,4283835
2020-12-10,18.66,19.15,18.66,19.03,3212253
2020-12-11,19.00,19.41,18.95,18.98,3147190
2020-12-14,19.10,19.2543,18.62,19.03,2983145
2020-12-15,19.22,19.26,18.93,19.00,2411082
2020-12-16,18.83,18.975,18.56,18.75,3401613
2020-12-17,18.86,19.47,18.715,19.28,4416147
2020-12-18,19.37,19.59,18.975,19.19,4474285
2020-12-21,18.95,19.20,18.88,19.01,2361876
2020-12-22,19.11,19.17,18.675,18.96,2289096
2020-12-23,19.05,19.105,18.885,19.00,1814873
2020-12-24,18.89,19.056,18.88,18.93,506062
2020-12-28,19.12,19.16,18.635,18.65,2069769
2020-12-29,18.72,18.7837,18.41,18.50,1927689
2020-12-30,18.50,18.81,18.44,18.59,1942074
2020-12-31,18.65,18.81,18.47,18.67,1724305
2021-01-04,18.76,18.84,18.34,18.52,3548838
2021-01-05,18.46,18.65,18.085,18.15,3283460
2021-01-06,18.17,18.42,17.93,18.25,4894526
2021-01-07,18.54,18.65,18.10,18.27,3248195
2021-01-08,18.22,18.47,17.88,18.07,6195006
2021-01-11,17.97,18.365,17.945,18.08,3523174
2021-01-12,18.13,18.44,18.13,18.37,4936880
2021-01-13,18.39,18.70,18.14,18.69,5570359
2021-01-14,18.87,19.00,18.60,18.78,6251982
2021-01-15,18.63,19.56,18.63,19.51,4458392
2021-01-19,19.79,20.64,19.60,20.61,7240602
2021-01-20,21.15,21.49,20.62,20.79,10998700
2021-01-21,20.89,21.07,20.13,20.61,6646698
2021-01-22,20.53,20.68,19.85,20.01,3341146
2021-01-25,20.00,20.27,19.68,20.20,3258170
2021-01-26,20.46,20.96,20.46,20.71,4830748
2021-01-27,20.32,20.32,19.58,19.69,7543922
2021-01-28,19.86,20.20,19.37,20.02,4299137
2021-01-29,20.01,20.47,19.64,20.12,4961995
2021-02-01,20.42,20.63,19.91,20.14,4228277
