Date,Open,High,Low,Close,Volume
2020-01-10,22.86,23.065,22.665,22.76,4132506
2020-01-13,22.72,22.86,22.50,22.53,5545652
2020-01-14,22.51,22.74,22.48,22.67,3805829
2020-01-15,22.60,23.01,22.60,22.73,4738638
2020-01-16,22.81,23.43,22.81,23.20,6538147
2020-01-17,23.26,23.36,22.93,22.94,3208687
2020-01-21,22.93,22.99,22.70,22.71,3703124
2020-01-22,22.83,23.02,22.69,22.74,2727456
2020-01-23,22.77,23.01,22.63,22.96,3577180
2020-01-24,22.88,22.935,22.06,22.17,3768643
2020-01-27,22.01,22.09,21.65,21.65,3039962
2020-01-28,21.71,21.79,21.54,21.54,2610435
2020-01-29,21.51,22.22,21.36,22.13,5300439
2020-01-30,22.16,22.45,21.82,22.41,4797833
2020-01-31,22.30,22.60,22.22,22.52,5032675
2020-02-03,22.53,22.75,22.37,22.57,3294272
2020-02-04,22.68,22.83,22.04,22.04,3919645
2020-02-05,22.07,22.505,21.85,21.93,4304254
2020-02-06,21.96,22.01,21.72,21.72,3945318
2020-02-07,21.74,22.36,21.74,22.30,4736808
2020-02-10,22.30,22.375,22.07,22.27,2971351
2020-02-11,22.37,23.44,22.33,22.98,9173354
2020-02-12,22.83,23.195,22.83,22.93,5164391
2020-02-13,22.93,23.09,22.86,23.07,1847176
2020-02-14,23.13,23.30,23.06,23.29,3262074
2020-02-18,23.38,23.60,23.16,23.36,4229062
2020-02-19,23.40,23.455,22.68,22.69,3211129
2020-02-20,22.71,22.96,22.585,22.91,3439149
2020-02-21,22.87,23.46,22.79,23.43,4101610
2020-02-24,23.18,23.19,22.62,22.98,3824408
2020-02-25,23.04,23.28,22.13,22.14,6927068
2020-02-26,22.32,22.625,21.67,21.68,6505708
2020-02-27,21.58,21.60,20.46,20.59,7335171
2020-02-28,20.43,20.43,18.75,19.23,12557880
2020-03-02,19.30,20.235,18.94,20.14,8020816
2020-03-03,20.25,21.03,20.10,20.25,5850379
2020-03-04,20.52,21.08,20.42,21.05,5557898
2020-03-05,20.88,21.00,20.38,20.64,4195658
2020-03-06,19.91,20.83,19.84,20.53,3905478
2020-03-09,19.04,19.315,18.04,18.43,7633811
2020-03-10,18.97,19.38,17.89,19.34,5197139
2020-03-11,18.76,18.94,17.27,17.79,10648700
2020-03-12,16.36,16.75,14.27,14.55,9958389
2020-03-13,15.41,15.91,14.51,15.49,8778906
2020-03-16,14.26,15.475,13.50,13.69,6744132
2020-03-17,14.07,14.38,12.665,12.89,5373884
2020-03-18,11.95,13.04,11.30,12.60,8804365
2020-03-19,12.43,14.44,12.34,14.22,7457717
2020-03-20,14.60,14.73,13.825,14.08,11443220
2020-03-23,14.03,14.12,12.705,12.92,9830688
2020-03-24,13.73,15.015,13.675,14.61,6688247
2020-03-25,14.57,15.5299,13.86,14.69,6976628
2020-03-26,14.84,16.205,14.26,15.79,7048646
2020-03-27,15.21,16.71,14.72,16.39,6820251
2020-03-30,16.49,16.63,15.46,16.06,4086321
2020-03-31,15.83,16.26,15.595,15.96,5448257
2020-04-01,15.27,15.455,15.04,15.33,4538303
2020-04-02,15.16,16.03,15.09,15.98,6455492
2020-04-03,15.85,16.15,15.60,15.83,7313296
2020-04-06,16.49,16.82,15.73,16.02,6454294
2020-04-07,16.60,16.97,16.26,16.30,4790592
2020-04-08,16.40,17.53,16.31,17.46,2937611
2020-04-09,17.78,18.69,17.415,17.79,3392711
2020-04-13,17.69,17.74,16.47,17.14,2806929
2020-04-14,17.46,17.71,16.97,17.42,4031938
2020-04-15,16.87,16.97,15.975,16.19,5434640
2020-04-16,16.27,16.32,15.77,16.10,5722528
2020-04-17,16.50,17.63,16.41,17.54,4376065
2020-04-20,17.22,17.59,16.68,16.89,5457238
2020-04-21,16.53,17.075,16.36,17.02,4577539
2020-04-22,17.39,17.73,17.07,17.64,2847333
2020-04-23,17.75,17.77,17.37,17.50,2386363
2020-04-24,17.52,18.2257,17.46,18.04,1728722
2020-04-27,18.39,19.07,18.13,18.95,3005916
