Date,Open,High,Low,Close,Volume
2020-01-10,152.00,153.65,151.14,152.63,469521
2020-01-13,152.77,156.28,152.77,155.94,606338
2020-01-14,155.95,157.55,155.4338,156.49,453465
2020-01-15,156.37,158.72,156.37,157.19,415137
2020-01-16,157.50,158.57,156.95,158.36,452571
2020-01-17,158.78,159.21,157.12,157.59,348379
2020-01-21,156.92,158.21,156.92,157.61,311275
2020-01-22,158.07,158.68,156.85,157.22,506226
2020-01-23,156.77,157.69,156.42,156.55,814613
2020-01-24,157.04,157.2285,155.32,155.75,391162
2020-01-27,153.85,156.70,152.88,155.49,615496
2020-01-28,156.00,157.63,155.92,157.33,204809
2020-01-29,157.44,159.29,156.98,158.11,261202
2020-01-30,157.48,159.08,156.96,157.95,331570
2020-01-31,157.08,157.515,155.065,155.95,567879
2020-02-03,156.60,158.48,156.60,158.29,324083
2020-02-04,159.82,161.21,158.46,158.94,376817
2020-02-05,159.80,161.00,159.11,159.57,474914
2020-02-06,159.66,160.55,158.80,160.38,197321
2020-02-07,160.03,160.26,158.43,159.09,227136
2020-02-10,158.83,160.16,158.435,160.06,182280
2020-02-11,160.91,162.4529,160.71,162.20,247143
2020-02-12,162.34,162.85,161.00,162.20,464556
2020-02-13,165.46,175.11,165.46,174.38,615016
2020-02-14,174.78,175.21,172.12,174.57,396932
2020-02-18,174.39,175.19,172.995,173.22,477939
2020-02-19,172.58,176.66,169.93,174.76,473498
2020-02-20,173.34,174.50,170.46,171.67,481460
2020-02-21,171.47,171.72,169.76,170.16,307137
2020-02-24,166.49,168.70,165.15,166.89,337641
2020-02-25,167.31,167.69,162.35,162.57,448291
2020-02-26,162.66,164.63,158.30,158.30,483233
2020-02-27,155.46,160.53,154.81,154.81,468135
2020-02-28,151.56,152.81,147.57,150.56,834498
2020-03-02,151.54,156.67,150.59,156.49,446490
2020-03-03,156.72,159.91,151.92,153.98,485944
2020-03-04,157.05,159.33,155.50,158.90,489213
2020-03-05,156.19,157.24,151.32,153.48,301323
2020-03-06,149.79,150.27,145.99,149.95,552345
2020-03-09,149.00,149.00,138.75,139.80,735825
2020-03-10,143.14,144.44,136.65,143.54,571942
2020-03-11,140.09,149.50,139.44,147.83,1014668
2020-03-12,140.51,147.04,139.37,142.76,1054158
2020-03-13,146.99,148.80,136.05,146.11,930816
2020-03-16,137.09,139.925,129.87,130.47,971776
2020-03-17,132.84,145.13,129.55,143.09,891214
2020-03-18,135.47,151.6335,130.51,143.49,823131
2020-03-19,143.49,146.41,135.11,139.28,683869
2020-03-20,137.56,139.49,130.04,130.65,709564
2020-03-23,130.45,132.62,124.53,128.96,555369
2020-03-24,134.11,140.85,132.00,135.48,623384
2020-03-25,135.97,139.99,132.02,135.31,483112
2020-03-26,136.43,146.43,136.43,146.43,671526
2020-03-27,142.79,146.39,138.66,141.08,546614
2020-03-30,143.73,152.475,143.655,151.81,445376
2020-03-31,153.02,159.83,151.67,152.25,556773
2020-04-01,149.27,153.32,145.78,149.80,481026
2020-04-02,149.00,156.56,148.15,155.68,495240
2020-04-03,154.28,156.42,149.725,151.35,604624
2020-04-06,156.00,162.00,153.99,161.30,351549
2020-04-07,165.84,167.83,157.03,158.14,535817
2020-04-08,157.82,164.80,154.40,164.79,401264
2020-04-09,164.79,166.39,159.10,162.93,380397
2020-04-13,160.76,162.463,156.92,159.88,336022
2020-04-14,164.00,167.805,161.53,167.09,355632
2020-04-15,164.14,168.82,163.76,165.01,389386
2020-04-16,166.19,168.66,165.23,167.58,363619
2020-04-17,170.26,170.99,168.0945,169.98,408477
2020-04-20,168.76,172.515,167.85,170.37,318424
2020-04-21,167.72,169.12,163.79,165.20,359625
2020-04-22,167.51,170.93,163.83,170.12,751529
2020-04-23,179.05,190.27,177.1292,187.42,1013552
2020-04-24,190.00,196.25,188.61,195.54,885071
2020-04-27,195.86,198.61,194.15,197.84,456019
2020-04-28,199.99,201.79,192.55,193.02,335337
2020-04-29,193.18,195.49,189.01,189.60,516825
2020-04-30,188.07,192.94,187.10,189.26,682382
2020-05-01,187.64,191.78,185.09,191.64,352460
2020-05-04,191.11,191.11,186.82,188.32,397189
2020-05-05,190.17,196.885,189.94,194.80,426550
2020-05-06,195.30,199.485,194.15,197.02,362322
2020-05-07,197.99,198.88,195.41,197.97,413351
2020-05-08,199.75,203.45,197.89,200.01,387867
2020-05-11,198.80,210.98,198.14,210.25,786125
2020-05-12,212.00,213.785,205.63,205.67,505887
2020-05-13,205.45,209.75,201.085,203.87,475125
2020-05-14,202.34,210.61,202.01,210.35,447628
