Date,Open,High,Low,Close,Volume
2020-01-10,143.08,148.00,141.85,143.01,2180574
2020-01-13,143.85,147.88,143.50,147.21,1820155
2020-01-14,149.39,150.74,147.18,150.03,2227451
2020-01-15,149.28,150.77,149.08,150.025,1913029
2020-01-16,151.00,152.74,150.66,152.21,1639677
2020-01-17,152.69,153.41,150.72,151.62,2177760
2020-01-21,143.14,145.30,140.38,142.31,5409651
2020-01-22,144.24,144.40,139.14,140.09,2903646
2020-01-23,134.76,139.99,133.50,139.11,4867659
2020-01-24,138.40,138.44,132.11,134.75,3988356
2020-01-27,122.92,127.11,121.10,123.89,5826519
2020-01-28,125.74,126.3999,121.83,124.97,4260350
2020-01-29,125.30,125.80,123.0701,123.85,2324918
2020-01-30,122.46,126.81,121.01,126.62,3611581
2020-01-31,124.72,126.62,123.55,126.16,2379944
2020-02-03,126.57,129.99,126.57,128.58,2503996
2020-02-04,128.77,134.88,128.48,132.70,3969214
2020-02-05,135.00,135.73,131.20,132.28,2170589
2020-02-06,133.60,135.42,132.935,134.19,2544263
2020-02-07,129.05,130.75,126.60,126.91,5615960
2020-02-10,126.00,128.28,125.00,127.88,2908163
2020-02-11,128.60,133.83,127.61,131.99,2948798
2020-02-12,136.04,137.28,134.33,136.82,3640197
2020-02-13,134.27,135.56,132.4518,133.62,3013599
2020-02-14,133.35,133.47,130.77,132.14,1496553
2020-02-18,132.23,134.08,130.48,133.46,1581311
2020-02-19,134.51,137.58,133.89,136.17,1781001
2020-02-20,134.23,135.71,131.45,133.33,1849625
2020-02-21,131.51,132.23,126.75,127.95,2853667
2020-02-24,121.29,124.65,120.02,120.17,4549103
2020-02-25,121.15,121.50,112.96,113.89,4285364
2020-02-26,115.44,117.8605,110.27,110.75,4158872
2020-02-27,109.21,115.91,103.90,111.16,5670093
2020-02-28,108.00,111.375,106.29,107.98,5946193
2020-03-02,107.95,109.41,104.35,107.94,4675342
2020-03-03,107.90,110.765,101.57,102.44,4346267
2020-03-04,104.52,106.45,101.74,105.66,3137802
2020-03-05,102.76,102.95,95.01,95.58,5576252
2020-03-06,92.00,98.00,90.00,94.03,5512254
2020-03-09,84.50,87.90,80.6301,81.93,5092086
2020-03-10,87.54,90.38,83.10,90.17,5037304
2020-03-11,86.50,87.125,80.16,80.87,5663050
