Date,Open,High,Low,Close,Volume
2020-01-10,69.93,69.96,69.12,69.14,11997130
2020-01-13,69.20,69.87,69.11,69.80,9965210
2020-01-14,69.38,69.5799,68.89,69.20,16267400
2020-01-15,69.20,69.5899,68.89,69.09,11390260
2020-01-16,69.30,69.585,68.80,68.82,13340350
2020-01-17,68.75,69.08,68.29,68.56,18144100
2020-01-21,68.38,68.42,67.51,67.58,17982600
2020-01-22,67.56,67.70,67.00,67.19,17033140
2020-01-23,66.71,66.93,66.05,66.77,19605870
2020-01-24,66.54,66.675,66.04,66.32,18238550
2020-01-27,65.42,65.73,64.70,64.74,21231010
2020-01-28,65.11,65.20,64.63,64.65,19664700
2020-01-29,65.03,65.13,63.90,64.11,14229480
2020-01-30,63.78,64.88,63.43,64.79,18544660
2020-01-31,63.20,63.20,61.86,62.12,34282900
2020-02-03,61.38,61.42,60.37,60.73,27397310
2020-02-04,61.45,61.91,59.89,59.97,31922060
2020-02-05,60.75,62.925,60.60,62.73,32099200
2020-02-06,62.93,63.01,61.78,61.88,16055370
2020-02-07,61.41,61.655,61.06,61.47,15112540
2020-02-10,60.48,60.52,59.62,59.96,20934460
2020-02-11,60.58,60.89,60.17,60.53,14908720
2020-02-12,61.34,61.53,60.56,61.27,17862130
2020-02-13,61.06,61.4157,60.56,60.93,16949360
2020-02-14,61.15,61.16,60.2829,60.65,10855300
2020-02-18,60.15,60.39,59.45,59.88,18954760
2020-02-19,60.11,60.6225,59.83,60.34,12804910
2020-02-20,60.23,60.54,59.72,59.86,14817240
2020-02-21,59.51,59.51,58.79,59.13,20315710
2020-02-24,57.62,57.80,56.36,56.36,32096620
2020-02-25,56.75,56.75,53.97,54.20,36414540
2020-02-26,54.55,54.82,52.93,53.01,29812350
2020-02-27,51.71,52.435,49.80,49.82,48141280
2020-02-28,48.77,51.44,48.01,51.44,62468380
2020-03-02,52.59,53.89,51.1299,53.88,38127630
2020-03-03,53.95,54.15,50.98,51.30,50580660
2020-03-04,52.23,52.48,51.12,52.42,24079620
2020-03-05,50.42,50.70,49.04,50.11,40788170
2020-03-06,48.84,49.01,47.20,47.69,55640490
2020-03-09,41.71,44.57,40.80,41.86,72896300
2020-03-10,46.17,46.26,41.45,43.41,60376720
2020-03-11,42.39,43.48,41.75,41.98,52015040
2020-03-12,39.90,40.65,37.00,37.18,65725310
2020-03-13,40.01,40.14,35.00,38.12,79891530
2020-03-16,34.40,37.88,33.25,34.49,48924720
2020-03-17,35.21,37.3774,34.20,36.81,41204450
2020-03-18,34.55,36.71,31.23,33.12,54036420
2020-03-19,33.73,34.90,32.35,34.43,49412440
2020-03-20,34.84,35.18,31.56,32.74,76534630
2020-03-23,32.53,32.70,30.11,31.45,56952490
2020-03-24,34.42,36.17,33.333,35.44,61835600
2020-03-25,36.51,38.59,35.18,37.29,56607670
2020-03-26,37.50,39.56,36.72,38.82,46754740
2020-03-27,37.13,37.68,36.20,36.95,51558550
2020-03-30,36.23,38.15,35.86,37.50,45834990
2020-03-31,38.34,39.45,37.37,37.97,41491610
2020-04-01,36.86,38.70,36.34,37.53,36045930
2020-04-02,38.74,41.96,37.90,40.40,62000160
2020-04-03,41.45,42.18,38.52,39.21,48425660
2020-04-06,39.88,40.83,39.23,40.47,41301930
2020-04-07,42.90,43.315,41.16,41.24,48921830
2020-04-08,41.95,44.04,41.47,43.85,33355550
2020-04-09,45.46,46.71,41.74,43.13,60208060
2020-04-13,44.45,44.69,41.97,42.76,29651940
2020-04-14,43.00,43.75,41.91,42.43,30768970
2020-04-15,41.00,41.06,39.38,40.48,33125000
2020-04-16,40.48,40.48,38.93,39.15,30933970
2020-04-17,39.88,43.32,39.87,43.22,40829140
2020-04-20,40.75,42.735,40.54,41.18,39260780
2020-04-21,40.40,42.13,39.63,40.96,44381590
2020-04-22,42.60,42.93,41.86,42.13,27084690
2020-04-23,43.13,44.66,42.81,43.45,35270950
2020-04-24,44.40,44.89,43.13,43.73,28667000
2020-04-27,43.59,44.32,42.23,43.94,28274370
2020-04-28,44.37,45.39,44.11,44.97,26545070
2020-04-29,46.26,47.60,46.16,47.46,29502520
2020-04-30,47.68,47.68,45.77,46.47,37076300
2020-05-01,45.63,46.39,43.00,43.14,35399320
2020-05-04,42.51,44.94,42.22,44.88,27465640
2020-05-05,46.26,47.15,44.66,44.83,29276150
2020-05-06,44.93,45.27,43.90,43.99,22659020
2020-05-07,44.96,45.27,43.97,44.24,22160320
2020-05-08,45.31,46.22,44.975,46.18,19998700
2020-05-11,46.11,46.20,45.51,45.74,22258030
2020-05-12,45.42,45.6699,44.12,44.12,25439100
2020-05-13,43.74,43.87,41.60,41.93,30827910
2020-05-14,41.07,42.55,40.20,42.30,24856520
2020-05-15,42.38,43.005,41.85,42.00,22445560
2020-05-18,44.40,45.58,44.06,45.34,32046110
2020-05-19,45.55,46.63,43.93,43.94,21771650
2020-05-20,44.62,45.58,44.5701,45.37,19352440
2020-05-21,45.44,45.79,44.39,44.56,19130740
2020-05-22,44.05,44.67,43.45,44.60,15406400
2020-05-26,45.74,46.30,45.47,45.91,20356450
2020-05-27,46.66,47.14,45.405,46.24,20788290
2020-05-28,46.43,46.46,44.93,45.04,19705890
2020-05-29,44.82,45.69,44.37,45.47,25886240
2020-06-01,45.32,46.45,44.80,46.28,19038400
2020-06-02,46.86,47.45,46.7474,47.31,22318980
2020-06-03,48.00,49.40,47.95,49.24,23418050
2020-06-04,48.88,49.145,48.16,49.10,18731360
2020-06-05,51.65,53.45,51.60,53.08,41328940
2020-06-08,54.72,55.36,53.46,54.74,33579420
