Date,Open,High,Low,Close,Volume
2020-01-10,80.25,80.93,79.64,79.94,1361232
2020-01-13,80.23,81.31,80.09,81.28,1264844
2020-01-14,81.21,82.01,81.01,81.37,1372435
2020-01-15,81.21,82.58,81.065,82.45,1109287
2020-01-16,83.01,83.35,82.50,83.16,1117938
2020-01-17,83.47,83.96,83.04,83.46,1203340
2020-01-21,83.00,83.17,82.20,82.40,1156502
2020-01-22,82.88,83.07,82.09,82.21,844684
2020-01-23,81.77,82.41,81.33,82.36,1422067
2020-01-24,82.47,82.97,81.25,81.48,1086324
2020-01-27,80.00,80.89,79.675,80.22,879800
2020-01-28,80.58,81.68,80.05,81.27,767538
2020-01-29,81.91,83.715,81.47,83.17,1310406
2020-01-30,82.16,83.75,82.09,83.66,908840
2020-01-31,83.23,83.36,81.57,81.66,1553243
2020-02-03,82.49,84.46,82.285,83.34,1259285
2020-02-04,85.00,86.5351,84.60,86.51,1380879
2020-02-05,87.40,87.70,86.25,87.61,1803742
2020-02-06,81.00,83.31,80.80,83.12,5052431
2020-02-07,83.36,84.91,83.13,84.20,2496828
2020-02-10,84.00,86.17,83.84,85.72,1249322
2020-02-11,86.38,87.45,85.86,87.24,1508418
2020-02-12,87.85,89.34,86.74,89.13,1462781
2020-02-13,88.48,88.85,86.87,87.05,2098588
2020-02-14,87.25,88.5183,86.99,88.14,1605644
2020-02-18,88.00,88.38,87.385,88.05,1310261
2020-02-19,88.35,88.69,87.62,87.96,1068737
2020-02-20,87.64,89.15,87.26,88.66,1298422
2020-02-21,88.07,88.65,87.375,88.52,1010571
2020-02-24,85.75,87.09,85.585,86.43,1249356
2020-02-25,87.00,87.26,83.86,84.33,1421873
2020-02-26,84.96,85.81,83.79,83.93,1344603
2020-02-27,82.47,84.00,80.66,80.66,1711580
2020-02-28,77.79,78.8995,75.54,77.34,2786839
2020-03-02,77.95,82.42,77.495,82.29,2012099
2020-03-03,82.06,84.28,79.74,79.88,1490394
2020-03-04,81.63,85.69,80.91,85.32,1921088
2020-03-05,82.30,84.07,81.80,82.46,1495652
2020-03-06,80.46,81.44,78.85,81.22,1610124
2020-03-09,75.68,78.17,73.57,75.94,1944873
2020-03-10,73.34,76.80,71.87,76.79,2743132
