Date,Open,High,Low,Close,Volume
2020-01-10,68.46,69.51,67.89,67.99,6706477
2020-01-13,68.24,69.05,67.82,68.66,9771545
2020-01-14,68.99,69.28,68.10,68.17,6082749
2020-01-15,68.54,71.00,68.50,70.36,9214619
2020-01-16,70.95,71.00,69.19,69.52,6087219
2020-01-17,69.84,70.30,69.19,69.38,4960178
2020-01-21,69.20,69.62,68.31,68.31,4912861
2020-01-22,68.92,70.047,68.69,68.69,4916474
2020-01-23,68.86,69.44,67.55,69.29,4552678
2020-01-24,70.63,71.92,70.02,71.14,10976680
2020-01-27,68.39,72.45,68.34,71.05,11085080
2020-01-28,71.47,74.98,71.03,74.80,15597160
2020-01-29,74.50,77.07,74.24,76.16,11956270
2020-01-30,75.42,76.39,74.06,76.10,8730012
2020-01-31,75.80,76.38,74.33,74.69,7514187
2020-02-03,74.89,79.805,74.60,79.80,15190120
2020-02-04,79.90,81.68,79.25,80.90,10405830
2020-02-05,81.98,82.10,77.84,78.25,10671600
2020-02-06,78.66,79.20,77.8217,78.51,6172287
2020-02-07,77.80,80.00,77.34,78.86,4650625
2020-02-10,79.60,80.62,78.90,80.17,4150161
2020-02-11,80.56,81.45,79.61,79.88,3973060
2020-02-12,80.01,80.9059,79.61,80.00,3574922
2020-02-13,79.30,82.54,79.08,80.99,6872117
2020-02-14,81.39,82.59,81.01,81.86,5073161
2020-02-18,81.68,82.98,81.3508,82.42,4730556
2020-02-19,83.01,86.48,82.93,85.24,9115010
2020-02-20,85.23,87.25,80.30,85.70,12070030
2020-02-21,85.63,86.21,82.725,83.49,7744995
2020-02-24,76.57,80.8451,76.07,80.21,11071530
2020-02-25,80.74,81.3999,75.79,77.05,9425262
2020-02-26,77.68,79.0775,76.00,76.59,11305000
2020-02-27,81.39,85.9354,79.05,79.31,35935010
2020-02-28,76.44,84.15,76.42,83.33,23486740
2020-03-02,82.80,84.42,79.57,80.67,17800000
2020-03-03,80.49,80.60,75.81,78.84,18049730
2020-03-04,78.35,79.49,75.82,79.26,13374580
2020-03-05,77.78,79.02,75.66,76.32,11269410
2020-03-06,75.03,75.94,70.27,73.09,16409450
2020-03-09,67.21,67.41,63.33,65.73,16418440
2020-03-10,68.32,68.56,63.37,67.24,11806910
2020-03-11,66.35,66.35,60.82,62.44,13632440
2020-03-12,55.00,58.045,52.9701,53.57,19529240
2020-03-13,56.74,57.79,52.31,57.77,14666100
2020-03-16,49.25,49.25,40.00,41.27,27721250
2020-03-17,43.79,45.2917,39.00,44.73,22695550
2020-03-18,41.03,42.0805,32.33,39.50,27154640
2020-03-19,40.18,47.42,37.00,40.00,24555610
2020-03-20,41.85,43.84,37.80,38.09,26896770
2020-03-23,38.47,40.55,36.11,40.01,21783450
2020-03-24,43.50,48.88,42.56,46.31,26174690
2020-03-25,50.29,58.10,49.53,52.39,34929310
2020-03-26,53.79,59.25,53.78,56.03,23628720
2020-03-27,54.00,54.4173,51.48,53.34,14655620
2020-03-30,52.90,55.44,51.5301,55.00,12054280
2020-03-31,54.69,55.24,51.135,52.38,18349360
2020-04-01,49.78,50.01,46.05,46.81,16596390
2020-04-02,46.33,48.03,45.00,45.88,12871450
2020-04-03,46.02,46.68,42.33,43.72,18748620
2020-04-06,47.22,51.10,46.19,50.42,25521720
2020-04-07,54.78,54.91,49.70,50.31,17104990
2020-04-08,51.81,57.75,51.81,57.04,24785130
2020-04-09,58.88,64.94,58.50,59.21,30870890
2020-04-13,60.10,60.10,56.12,59.42,15199520
2020-04-14,60.02,62.61,59.6145,62.41,17905480
2020-04-15,59.67,61.76,59.33,61.38,12468780
2020-04-16,58.10,59.30,56.63,57.32,19879170
2020-04-17,59.50,61.44,58.70,61.09,14044770
2020-04-20,59.44,63.59,59.15,61.06,14342420
2020-04-21,60.00,60.44,56.86,57.40,15333930
2020-04-22,59.35,61.25,58.01,60.96,13461030
2020-04-23,61.31,63.50,60.9209,61.82,13098760
2020-04-24,62.23,62.56,61.04,62.01,9628491
2020-04-27,63.61,64.24,61.81,63.55,10241680
2020-04-28,64.17,65.025,60.90,61.75,11852090
2020-04-29,63.44,66.72,63.39,65.77,14387330
2020-04-30,65.00,66.89,64.72,65.14,10525870
2020-05-01,62.84,63.9095,61.44,63.00,10042420
2020-05-04,61.34,64.17,61.09,63.69,7556932
2020-05-05,66.00,68.59,65.21,66.69,12011490
2020-05-06,67.32,69.81,67.12,68.10,16202940
2020-05-07,69.86,76.80,69.58,74.62,31027020
2020-05-08,72.04,76.40,72.00,76.05,20041140
2020-05-11,75.70,75.9027,74.36,74.90,12720570
2020-05-12,76.00,77.39,74.31,75.21,17015470
2020-05-13,75.32,75.80,70.82,73.79,13970120
2020-05-14,72.17,78.25,71.07,78.20,16038940
2020-05-15,77.75,81.13,76.65,80.26,16311990
2020-05-18,78.70,81.35,76.44,76.63,16255260
2020-05-19,76.45,82.14,76.25,79.25,14225550
2020-05-20,81.50,83.10,80.52,82.04,10152180
2020-05-21,79.50,81.70,78.76,81.49,10082070
2020-05-22,81.23,82.49,80.83,81.49,6262001
2020-05-26,83.98,84.09,80.50,80.79,9682757
2020-05-27,80.04,81.14,76.02,81.02,11637080
2020-05-28,81.02,82.32,79.00,79.62,9942677
2020-05-29,79.73,81.95,79.34,81.08,8329131
2020-06-01,81.00,83.42,80.12,82.72,8709651
2020-06-02,82.96,88.27,82.38,88.00,18364240
2020-06-03,88.00,92.5496,87.09,91.97,17089220
2020-06-04,90.96,92.9599,86.19,87.72,13368100
2020-06-05,90.00,91.45,88.067,89.93,11127650
2020-06-08,90.50,91.23,88.03,89.62,8751124
2020-06-09,89.02,91.6538,87.87,89.53,7748990
2020-06-10,90.26,92.97,89.50,91.91,9486666
2020-06-11,87.75,90.00,85.77,86.09,14754700
2020-06-12,89.02,89.18,84.25,86.72,9937283
2020-06-15,84.79,91.30,84.06,91.00,9813033
2020-06-16,93.07,95.8681,92.56,94.74,13026440
2020-06-17,94.78,100.00,94.70,97.03,17113700
2020-06-18,97.00,98.6499,95.82,98.27,8766867
2020-06-19,100.10,102.26,97.92,97.98,13879790
2020-06-22,99.74,105.46,99.25,104.22,17116980
2020-06-23,105.00,106.36,103.05,104.75,14042840
2020-06-24,104.00,105.7492,98.93,100.88,13250380
2020-06-25,102.46,106.15,101.286,104.78,13569790
2020-06-26,105.03,107.84,102.5176,104.30,19759110
2020-06-29,105.15,105.28,101.22,103.68,9210828
2020-06-30,103.50,105.30,102.8875,104.94,7605064
2020-07-01,106.92,117.13,106.54,115.90,22480940
2020-07-02,118.00,118.78,113.23,113.39,15066350
2020-07-06,118.79,128.36,118.03,118.97,34424020
2020-07-07,121.20,129.84,120.03,125.60,28573940
2020-07-08,127.20,133.43,127.00,133.35,25627380
2020-07-09,132.54,133.81,127.67,129.39,21959350
2020-07-10,128.39,129.60,125.255,128.05,11260840
2020-07-13,131.05,133.24,116.67,118.65,18489530
2020-07-14,118.59,121.8536,111.14,121.24,17175130
2020-07-15,124.01,124.48,117.66,122.20,9606889
2020-07-16,119.94,123.30,117.55,119.95,11827550
2020-07-17,120.98,122.38,118.59,120.73,6968161
2020-07-20,121.26,129.46,120.53,128.39,12423990
2020-07-21,129.95,130.80,125.07,126.99,10787520
2020-07-22,127.49,131.71,127.06,129.18,8437494
2020-07-23,127.74,129.8494,121.32,122.93,11010220
2020-07-24,119.89,122.91,117.00,121.41,8059974
2020-07-27,124.62,126.77,122.34,125.75,9685703
2020-07-28,125.20,127.53,123.32,123.51,7126066
2020-07-29,125.14,128.95,124.90,128.55,8693399
2020-07-30,128.54,131.37,125.33,129.13,10192330
2020-07-31,131.34,131.90,127.36,129.85,8606777
2020-08-03,130.26,136.135,130.26,134.80,11472570
2020-08-04,135.88,137.80,133.60,136.83,10870280
2020-08-05,153.16,158.43,146.20,146.55,39629710
2020-08-06,149.76,155.89,149.12,154.00,19352780
2020-08-07,151.51,153.8399,143.35,147.22,15577280
2020-08-10,147.53,147.82,138.66,139.34,13066330
2020-08-11,137.94,142.9475,135.03,138.25,13157140
2020-08-12,140.01,143.42,137.69,139.02,10603820
2020-08-13,140.90,145.51,140.20,143.19,9834960
2020-08-14,143.89,143.9999,139.7303,141.96,6654720
2020-08-17,144.49,153.68,143.18,152.48,13280510
